sample_id,source,gesture,mst,split
3a040604-a613-448e-a19a-2d8068a75754,hagrid,call,6,train
freihand_00018443,freihand,unknown,6,train
022fb692-c5c0-4e00-ac14-455bb4367a7b,hagrid,one,6,train
000484ab-5fd0-49b8-9253-23a22b71d7b1,hagrid,like,7,train
02c295ab-548e-4339-8f1f-c54f6baaaca5,hagrid,fist,7,train
freihand_00013493,freihand,unknown,5,train
02e04033-7e66-4664-a91f-257687650c21,hagrid,one,6,train
freihand_00022724,freihand,unknown,5,train
30ebf9be-edaa-4e38-9133-f5e373feb92d,hagrid,two_up_inverted,5,train
0403b967-899e-491b-a29f-921e2d21148d,hagrid,rock,5,train
14d1d275-27ef-4104-9a62-50d388537ec6,hagrid,stop_inverted,6,train
freihand_00016052,freihand,unknown,5,train
5e7d89ab-6cb3-43b8-b575-88e692d055d1,hagrid,call,5,train
freihand_00029429,freihand,unknown,6,train
freihand_00010385,freihand,unknown,5,train
59bfe381-3f68-4ed2-8440-14cf161567cd,hagrid,two_up_inverted,6,train
0390056d-9f9e-4e88-93cd-d5f0055a1b1d,hagrid,rock,7,train
freihand_00010523,freihand,unknown,6,train
freihand_00014729,freihand,unknown,5,train
freihand_00024731,freihand,unknown,7,train
01a2dc5c-9350-4a56-84ae-e01969ef5a9a,hagrid,rock,5,train
110220d4-84fd-40f4-a506-6be48acece10,hagrid,call,7,train
0071b6c0-36d3-4221-a5a3-4409d6305db5,hagrid,dislike,6,train
0205289b-d357-4df7-8f1e-84da4f092735,hagrid,one,6,train
freihand_00013619,freihand,unknown,6,train
0ad116cc-24bb-494e-a7fb-22d826e66d4c,hagrid,three,5,train
freihand_00010808,freihand,unknown,5,train
freihand_00012995,freihand,unknown,5,train
13714189-bba7-471e-b883-d14da7107441,hagrid,call,5,train
05c87ec4-e35b-494f-a13e-cdd4b4e001af,hagrid,one,7,train
freihand_00012116,freihand,unknown,6,train
04fe45b8-16c1-4bd2-a2ec-798dd858e096,hagrid,ok,7,train
f7713264-f147-47f3-ace3-e3a8b1492e25,hagrid,stop_inverted,5,train
freihand_00029462,freihand,unknown,6,train
freihand_00030164,freihand,unknown,6,train
freihand_00013106,freihand,unknown,5,train
04c868e3-55be-4e57-8d99-41bbea377613,hagrid,rock,7,train
05a03461-338f-4b4e-9b41-06e0dd052f6c,hagrid,like,7,train
freihand_00008900,freihand,unknown,5,train
freihand_00018746,freihand,unknown,5,train
cb0cb8ea-1560-48cc-b664-c91a333a5642,hagrid,two_up_inverted,6,train
freihand_00002116,freihand,unknown,7,train
005a09d1-e64f-4eb8-8592-6085867e97da,hagrid,mute,6,train
01b96736-12f6-4f61-a181-3d421998fd04,hagrid,mute,6,train
freihand_00009704,freihand,unknown,5,train
0598ef3e-2ea1-449a-9735-f4aa82d5ff2c,hagrid,dislike,5,train
freihand_00026825,freihand,unknown,5,train
freihand_00013646,freihand,unknown,5,train
001a7123-ac05-485e-868a-ea057c5c1280,hagrid,one,5,train
014a0df0-892e-48e4-bb26-70e246f2cf2e,hagrid,peace,5,train
