sample_id,path_secuencia,path_landmarks,dataset,source_kind,T
sample_00024_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00024_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00024_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00025_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00025_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00025_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00026_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00026_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00026_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00027_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00027_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00027_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00028_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00028_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00028_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00029_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00029_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00029_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00030_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00030_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00030_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00031_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00031_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00031_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00032_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00032_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00032_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00033_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00033_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00033_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00034_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00034_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00034_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00035_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00035_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00035_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00036_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00036_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00036_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00037_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00037_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00037_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00038_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00038_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00038_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00039_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00039_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00039_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00040_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00040_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00040_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00041_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00041_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00041_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00042_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00042_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00042_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00043_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00043_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00043_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00044_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00044_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00044_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00045_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00045_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00045_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00046_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00046_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00046_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00047_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00047_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00047_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00048_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00048_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00048_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00049_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00049_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00049_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00050_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00050_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00050_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00051_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00051_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00051_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00052_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00052_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00052_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00053_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00053_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00053_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00054_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00054_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00054_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00055_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00055_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00055_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00056_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00056_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00056_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00057_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00057_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00057_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00058_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00058_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00058_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00059_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00059_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00059_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00060_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00060_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00060_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00061_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00061_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00061_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00062_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00062_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00062_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00063_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00063_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00063_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00064_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00064_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00064_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00065_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00065_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00065_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00066_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00066_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00066_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00067_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00067_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00067_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00068_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00068_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00068_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00069_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00069_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00069_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00070_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00070_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00070_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00071_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00071_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00071_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00072_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00072_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00072_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00073_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00073_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00073_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00074_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00074_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00074_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00075_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00075_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00075_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00076_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00076_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00076_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00077_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00077_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00077_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00078_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00078_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00078_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00079_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00079_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00079_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00080_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00080_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00080_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00081_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00081_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00081_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00082_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00082_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00082_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00083_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00083_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00083_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00084_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00084_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00084_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00085_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00085_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00085_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00086_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00086_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00086_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00087_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00087_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00087_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00088_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00088_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00088_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00089_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00089_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00089_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00090_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00090_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00090_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00091_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00091_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00091_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00092_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00092_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00092_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00093_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00093_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00093_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00094_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00094_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00094_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00095_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00095_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00095_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00096_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00096_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00096_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00097_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00097_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00097_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00098_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00098_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00098_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00099_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00099_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00099_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00100_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00100_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00100_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00101_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00101_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00101_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00102_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00102_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00102_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00103_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00103_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00103_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00104_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00104_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00104_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00105_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00105_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00105_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00106_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00106_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00106_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00107_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00107_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00107_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00108_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00108_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00108_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00109_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00109_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00109_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00110_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00110_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00110_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00111_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00111_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00111_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00112_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00112_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00112_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00113_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00113_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00113_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00114_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00114_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00114_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00115_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00115_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00115_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00116_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00116_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00116_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00117_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00117_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00117_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00118_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00118_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00118_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00119_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00119_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00119_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00120_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00120_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00120_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00121_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00121_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00121_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00122_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00122_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00122_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00123_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00123_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00123_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00124_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00124_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00124_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00125_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00125_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00125_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00126_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00126_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00126_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00127_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00127_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00127_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00128_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00128_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00128_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00129_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00129_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00129_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00130_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00130_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00130_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00131_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00131_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00131_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00132_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00132_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00132_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00133_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00133_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00133_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00134_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00134_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00134_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00135_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00135_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00135_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00136_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00136_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00136_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00137_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00137_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00137_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00138_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00138_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00138_MST_1_landmarks3d.npy,mano,synthetic,16
sample_00139_MST_1,data/processed/secuencias_stgcn/mano/mano_sample_00139_MST_1.npy,datasets/synthetic_mst/mano_samples_balanced/sample_00139_MST_1_landmarks3d.npy,mano,synthetic,16
