sample_id,path,dataset,mst_level,mst_block,source_kind,input_csv
f234ee85-efd6-488c-87d2-7cbaf96e867b,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_peace/f234ee85-efd6-488c-87d2-7cbaf96e867b.jpg,hagrid,6,medio,real,csv/mst_hagrid_sample_30k_384p.csv
4f68550e-1464-4d37-9682-34775384c192,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_mute/4f68550e-1464-4d37-9682-34775384c192.jpg,hagrid,6,medio,real,csv/mst_hagrid_sample_30k_384p.csv
7fb7fb05-f410-4436-8974-d6757bd433d5,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_like/7fb7fb05-f410-4436-8974-d6757bd433d5.jpg,hagrid,4,claro,real,csv/mst_hagrid_sample_30k_384p.csv
freihand_00008914,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/FreiHAND_pub_v2/training/rgb/00008914.jpg,freihand,4,claro,real,csv/mst_freihand_real_images.csv
sample_09869_MST_10,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_09869_MST_10.png,mano,10,oscuro,synthetic,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced
sample_07159_MST_8,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_07159_MST_8.png,mano,8,oscuro,synthetic,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced
f8a2238f-cee3-42e8-bcbf-6f48e8280b2d,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_stop_inverted/f8a2238f-cee3-42e8-bcbf-6f48e8280b2d.jpg,hagrid,7,medio,real,csv/mst_hagrid_sample_30k_384p.csv
sample_02421_MST_3,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_02421_MST_3.png,mano,3,claro,synthetic,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced
sample_01240_MST_2,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_01240_MST_2.png,mano,2,claro,synthetic,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced
freihand_00013444,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/FreiHAND_pub_v2/training/rgb/00013444.jpg,freihand,8,oscuro,real,csv/mst_freihand_real_images.csv
sample_01686_MST_2,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_01686_MST_2.png,mano,2,claro,synthetic,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced
freihand_00003853,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/FreiHAND_pub_v2/training/rgb/00003853.jpg,freihand,8,oscuro,real,csv/mst_freihand_real_images.csv
freihand_00019759,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/FreiHAND_pub_v2/training/rgb/00019759.jpg,freihand,8,oscuro,real,csv/mst_freihand_real_images.csv
2bcad5b7-9cd2-4394-b53f-3b88101527a9,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_two_up/2bcad5b7-9cd2-4394-b53f-3b88101527a9.jpg,hagrid,6,medio,real,csv/mst_hagrid_sample_30k_384p.csv
sample_07100_MST_8,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_07100_MST_8.png,mano,8,oscuro,synthetic,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced
freihand_00023989,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/FreiHAND_pub_v2/training/rgb/00023989.jpg,freihand,5,medio,real,csv/mst_freihand_real_images.csv
sample_03905_MST_4,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_03905_MST_4.png,mano,4,claro,synthetic,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced
sample_02656_MST_3,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_02656_MST_3.png,mano,3,claro,synthetic,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced
freihand_00013397,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/FreiHAND_pub_v2/training/rgb/00013397.jpg,freihand,6,medio,real,csv/mst_freihand_real_images.csv
freihand_00022205,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/FreiHAND_pub_v2/training/rgb/00022205.jpg,freihand,8,oscuro,real,csv/mst_freihand_real_images.csv
freihand_00032090,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/FreiHAND_pub_v2/training/rgb/00032090.jpg,freihand,8,oscuro,real,csv/mst_freihand_real_images.csv
sample_00510_MST_1,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_00510_MST_1.png,mano,1,claro,synthetic,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced
freihand_00016667,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/FreiHAND_pub_v2/training/rgb/00016667.jpg,freihand,4,claro,real,csv/mst_freihand_real_images.csv
sample_03752_MST_4,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_03752_MST_4.png,mano,4,claro,synthetic,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced
c58a87ac-2b19-4894-ae4b-095ea891a370,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_four/c58a87ac-2b19-4894-ae4b-095ea891a370.jpg,hagrid,6,medio,real,csv/mst_hagrid_sample_30k_384p.csv
79568bc1-0776-4ac1-b1f3-108e4132c2b2,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_three/79568bc1-0776-4ac1-b1f3-108e4132c2b2.jpg,hagrid,5,medio,real,csv/mst_hagrid_sample_30k_384p.csv
freihand_00009754,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/FreiHAND_pub_v2/training/rgb/00009754.jpg,freihand,4,claro,real,csv/mst_freihand_real_images.csv
sample_01696_MST_2,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_01696_MST_2.png,mano,2,claro,synthetic,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced
sample_00457_MST_1,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_00457_MST_1.png,mano,1,claro,synthetic,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced
15aafd88-6194-4aac-9f3d-bf89b3a5921d,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_rock/15aafd88-6194-4aac-9f3d-bf89b3a5921d.jpg,hagrid,6,medio,real,csv/mst_hagrid_sample_30k_384p.csv
sample_08868_MST_9,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_08868_MST_9.png,mano,9,oscuro,synthetic,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced
freihand_00001673,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/FreiHAND_pub_v2/training/rgb/00001673.jpg,freihand,8,oscuro,real,csv/mst_freihand_real_images.csv
sample_07228_MST_8,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_07228_MST_8.png,mano,8,oscuro,synthetic,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced
sample_01360_MST_2,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_01360_MST_2.png,mano,2,claro,synthetic,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced
freihand_00018720,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/FreiHAND_pub_v2/training/rgb/00018720.jpg,freihand,8,oscuro,real,csv/mst_freihand_real_images.csv
freihand_00014531,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/FreiHAND_pub_v2/training/rgb/00014531.jpg,freihand,4,claro,real,csv/mst_freihand_real_images.csv
sample_09244_MST_10,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_09244_MST_10.png,mano,10,oscuro,synthetic,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced
sample_02209_MST_3,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_02209_MST_3.png,mano,3,claro,synthetic,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced
freihand_00024176,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/FreiHAND_pub_v2/training/rgb/00024176.jpg,freihand,6,medio,real,csv/mst_freihand_real_images.csv
sample_09453_MST_10,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_09453_MST_10.png,mano,10,oscuro,synthetic,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced
freihand_00020031,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/FreiHAND_pub_v2/training/rgb/00020031.jpg,freihand,5,medio,real,csv/mst_freihand_real_images.csv
freihand_00009967,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/FreiHAND_pub_v2/training/rgb/00009967.jpg,freihand,7,medio,real,csv/mst_freihand_real_images.csv
sample_05155_MST_6,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_05155_MST_6.png,mano,6,medio,synthetic,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced
freihand_00013786,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/FreiHAND_pub_v2/training/rgb/00013786.jpg,freihand,7,medio,real,csv/mst_freihand_real_images.csv
freihand_00032261,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/FreiHAND_pub_v2/training/rgb/00032261.jpg,freihand,4,claro,real,csv/mst_freihand_real_images.csv
sample_08571_MST_9,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_08571_MST_9.png,mano,9,oscuro,synthetic,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced
sample_00764_MST_1,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_00764_MST_1.png,mano,1,claro,synthetic,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced
freihand_00029102,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/FreiHAND_pub_v2/training/rgb/00029102.jpg,freihand,8,oscuro,real,csv/mst_freihand_real_images.csv
sample_01771_MST_2,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_01771_MST_2.png,mano,2,claro,synthetic,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced
sample_00972_MST_1,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_00972_MST_1.png,mano,1,claro,synthetic,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced
9749e211-7e23-48da-ae42-b097e4e680ae,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_fist/9749e211-7e23-48da-ae42-b097e4e680ae.jpg,hagrid,6,medio,real,csv/mst_hagrid_sample_30k_384p.csv
freihand_00002488,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/FreiHAND_pub_v2/training/rgb/00002488.jpg,freihand,4,claro,real,csv/mst_freihand_real_images.csv
freihand_00028905,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/FreiHAND_pub_v2/training/rgb/00028905.jpg,freihand,6,medio,real,csv/mst_freihand_real_images.csv
freihand_00014408,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/FreiHAND_pub_v2/training/rgb/00014408.jpg,freihand,8,oscuro,real,csv/mst_freihand_real_images.csv
freihand_00013714,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/FreiHAND_pub_v2/training/rgb/00013714.jpg,freihand,6,medio,real,csv/mst_freihand_real_images.csv
b0ec6272-a320-4cf6-8a78-5be8e87526d4,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_like/b0ec6272-a320-4cf6-8a78-5be8e87526d4.jpg,hagrid,6,medio,real,csv/mst_hagrid_sample_30k_384p.csv
a1bff587-a99a-4785-ae03-47a8264912d5,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_dislike/a1bff587-a99a-4785-ae03-47a8264912d5.jpg,hagrid,7,medio,real,csv/mst_hagrid_sample_30k_384p.csv
sample_08945_MST_9,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_08945_MST_9.png,mano,9,oscuro,synthetic,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced
831ad7c4-1b64-4939-b869-1761ff72a70b,/home/mateo/PRACTICAS/balanceo_def/balanceo_datasets/datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_peace_inverted/831ad7c4-1b64-4939-b869-1761ff72a70b.jpg,hagrid,6,medio,real,csv/mst_hagrid_sample_30k_384p.csv
