sample_id,path,path_landmarks,label,condition,dataset,split
7ad0797a-dce0-4757-9f37-c8fb5b067c4e,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_one/7ad0797a-dce0-4757-9f37-c8fb5b067c4e.jpg,data/processed/landmarks/7ad0797a-dce0-4757-9f37-c8fb5b067c4e.npy,one,sin_mst,hagrid,train
9ecbfa0e-bd33-400e-860b-88f9d9f7208c,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_one/9ecbfa0e-bd33-400e-860b-88f9d9f7208c.jpg,data/processed/landmarks/9ecbfa0e-bd33-400e-860b-88f9d9f7208c.npy,one,sin_mst,hagrid,train
freihand_00008080,datasets/training/rgb/00008080.jpg,data/processed/landmarks/freihand_00008080.npy,hand,sin_mst,freihand,train
freihand_00015745,datasets/training/rgb/00015745.jpg,data/processed/landmarks/freihand_00015745.npy,hand,sin_mst,freihand,train
freihand_00018891,datasets/training/rgb/00018891.jpg,data/processed/landmarks/freihand_00018891.npy,hand,sin_mst,freihand,train
e1c4294a-1d7b-45f3-b264-351a041d4596,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_palm/e1c4294a-1d7b-45f3-b264-351a041d4596.jpg,data/processed/landmarks/e1c4294a-1d7b-45f3-b264-351a041d4596.npy,palm,sin_mst,hagrid,train
freihand_00024755,datasets/training/rgb/00024755.jpg,data/processed/landmarks/freihand_00024755.npy,hand,sin_mst,freihand,train
sample_07086_MST_8,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_07086_MST_8.png,data/processed/landmarks/sample_07086_MST_8.npy,,sin_mst,mano,train
freihand_00027600,datasets/training/rgb/00027600.jpg,data/processed/landmarks/freihand_00027600.npy,hand,sin_mst,freihand,train
freihand_00027208,datasets/training/rgb/00027208.jpg,data/processed/landmarks/freihand_00027208.npy,hand,sin_mst,freihand,train
6689df55-bf5d-40bb-aba6-644486b6ced8,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_three2/6689df55-bf5d-40bb-aba6-644486b6ced8.jpg,data/processed/landmarks/6689df55-bf5d-40bb-aba6-644486b6ced8.npy,three2,sin_mst,hagrid,train
freihand_00030138,datasets/training/rgb/00030138.jpg,data/processed/landmarks/freihand_00030138.npy,hand,sin_mst,freihand,train
90187df5-d885-4abe-81bc-c194beeff2c0,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_two_up_inverted/90187df5-d885-4abe-81bc-c194beeff2c0.jpg,data/processed/landmarks/90187df5-d885-4abe-81bc-c194beeff2c0.npy,two_up_inverted,sin_mst,hagrid,train
sample_02009_MST_3,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_02009_MST_3.png,data/processed/landmarks/sample_02009_MST_3.npy,,sin_mst,mano,train
freihand_00003911,datasets/training/rgb/00003911.jpg,data/processed/landmarks/freihand_00003911.npy,hand,sin_mst,freihand,train
freihand_00026113,datasets/training/rgb/00026113.jpg,data/processed/landmarks/freihand_00026113.npy,hand,sin_mst,freihand,train
sample_02047_MST_3,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_02047_MST_3.png,data/processed/landmarks/sample_02047_MST_3.npy,,sin_mst,mano,train
e6696b21-d0f4-4f97-b32b-024476c62723,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_stop/e6696b21-d0f4-4f97-b32b-024476c62723.jpg,data/processed/landmarks/e6696b21-d0f4-4f97-b32b-024476c62723.npy,stop,sin_mst,hagrid,train
sample_03303_MST_4,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_03303_MST_4.png,data/processed/landmarks/sample_03303_MST_4.npy,,sin_mst,mano,train
98613edd-1b95-47c0-bdec-bbfcb5ae3eb5,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_peace_inverted/98613edd-1b95-47c0-bdec-bbfcb5ae3eb5.jpg,data/processed/landmarks/98613edd-1b95-47c0-bdec-bbfcb5ae3eb5.npy,peace_inverted,sin_mst,hagrid,train
sample_00845_MST_1,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_00845_MST_1.png,data/processed/landmarks/sample_00845_MST_1.npy,,sin_mst,mano,train
3e282bbf-0546-4642-ae37-48ce2467975a,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_peace/3e282bbf-0546-4642-ae37-48ce2467975a.jpg,data/processed/landmarks/3e282bbf-0546-4642-ae37-48ce2467975a.npy,peace,sin_mst,hagrid,train
sample_06471_MST_7,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_06471_MST_7.png,data/processed/landmarks/sample_06471_MST_7.npy,,sin_mst,mano,train
sample_01650_MST_2,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_01650_MST_2.png,data/processed/landmarks/sample_01650_MST_2.npy,,sin_mst,mano,train
a35f8cb9-8ee7-4e00-846b-0248b7efc875,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_call/a35f8cb9-8ee7-4e00-846b-0248b7efc875.jpg,data/processed/landmarks/a35f8cb9-8ee7-4e00-846b-0248b7efc875.npy,call,sin_mst,hagrid,train
sample_03596_MST_4,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_03596_MST_4.png,data/processed/landmarks/sample_03596_MST_4.npy,,sin_mst,mano,train
4e166921-76e1-4c78-b101-6d5bb19bdbfb,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_three/4e166921-76e1-4c78-b101-6d5bb19bdbfb.jpg,data/processed/landmarks/4e166921-76e1-4c78-b101-6d5bb19bdbfb.npy,three,sin_mst,hagrid,train
sample_09261_MST_10,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_09261_MST_10.png,data/processed/landmarks/sample_09261_MST_10.npy,,sin_mst,mano,train
sample_02038_MST_3,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_02038_MST_3.png,data/processed/landmarks/sample_02038_MST_3.npy,,sin_mst,mano,train
freihand_00025806,datasets/training/rgb/00025806.jpg,data/processed/landmarks/freihand_00025806.npy,hand,sin_mst,freihand,train
sample_01614_MST_2,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_01614_MST_2.png,data/processed/landmarks/sample_01614_MST_2.npy,,sin_mst,mano,train
be83c3b2-86dc-4803-a06d-de9927638ab5,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_four/be83c3b2-86dc-4803-a06d-de9927638ab5.jpg,data/processed/landmarks/be83c3b2-86dc-4803-a06d-de9927638ab5.npy,four,sin_mst,hagrid,train
sample_09359_MST_10,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_09359_MST_10.png,data/processed/landmarks/sample_09359_MST_10.npy,,sin_mst,mano,train
freihand_00000099,datasets/training/rgb/00000099.jpg,data/processed/landmarks/freihand_00000099.npy,hand,sin_mst,freihand,train
sample_00521_MST_1,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_00521_MST_1.png,data/processed/landmarks/sample_00521_MST_1.npy,,sin_mst,mano,train
38d0817f-4ba5-448c-b359-661077467cf9,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_stop_inverted/38d0817f-4ba5-448c-b359-661077467cf9.jpg,data/processed/landmarks/38d0817f-4ba5-448c-b359-661077467cf9.npy,stop_inverted,sin_mst,hagrid,train
sample_01268_MST_2,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_01268_MST_2.png,data/processed/landmarks/sample_01268_MST_2.npy,,sin_mst,mano,train
ec438ae4-b8b5-4d63-9c9b-13ff75b45e1d,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_rock/ec438ae4-b8b5-4d63-9c9b-13ff75b45e1d.jpg,data/processed/landmarks/ec438ae4-b8b5-4d63-9c9b-13ff75b45e1d.npy,rock,sin_mst,hagrid,train
sample_00742_MST_1,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_00742_MST_1.png,data/processed/landmarks/sample_00742_MST_1.npy,,sin_mst,mano,train
freihand_00008006,datasets/training/rgb/00008006.jpg,data/processed/landmarks/freihand_00008006.npy,hand,sin_mst,freihand,train
sample_03847_MST_4,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_03847_MST_4.png,data/processed/landmarks/sample_03847_MST_4.npy,,sin_mst,mano,train
sample_01242_MST_2,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_01242_MST_2.png,data/processed/landmarks/sample_01242_MST_2.npy,,sin_mst,mano,train
sample_02231_MST_3,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_02231_MST_3.png,data/processed/landmarks/sample_02231_MST_3.npy,,sin_mst,mano,train
e318a837-6e73-491c-a70f-c5caf785ceed,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_three/e318a837-6e73-491c-a70f-c5caf785ceed.jpg,data/processed/landmarks/e318a837-6e73-491c-a70f-c5caf785ceed.npy,three,sin_mst,hagrid,train
3808b29d-4b32-490c-8a1e-46365bd720e0,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_rock/3808b29d-4b32-490c-8a1e-46365bd720e0.jpg,data/processed/landmarks/3808b29d-4b32-490c-8a1e-46365bd720e0.npy,rock,sin_mst,hagrid,train
sample_02892_MST_3,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_02892_MST_3.png,data/processed/landmarks/sample_02892_MST_3.npy,,sin_mst,mano,train
77dcf1e6-0444-49f3-b3a2-00a4398186b7,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_dislike/77dcf1e6-0444-49f3-b3a2-00a4398186b7.jpg,data/processed/landmarks/77dcf1e6-0444-49f3-b3a2-00a4398186b7.npy,dislike,sin_mst,hagrid,train
freihand_00017816,datasets/training/rgb/00017816.jpg,data/processed/landmarks/freihand_00017816.npy,hand,sin_mst,freihand,train
94d0cd33-16d9-46da-8fc2-d53ef061cd79,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_ok/94d0cd33-16d9-46da-8fc2-d53ef061cd79.jpg,data/processed/landmarks/94d0cd33-16d9-46da-8fc2-d53ef061cd79.npy,ok,sin_mst,hagrid,train
sample_02865_MST_3,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_02865_MST_3.png,data/processed/landmarks/sample_02865_MST_3.npy,,sin_mst,mano,train
sample_00386_MST_1,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_00386_MST_1.png,data/processed/landmarks/sample_00386_MST_1.npy,,sin_mst,mano,train
e815571a-14a1-4341-8c7c-b65bb9e17096,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_two_up_inverted/e815571a-14a1-4341-8c7c-b65bb9e17096.jpg,data/processed/landmarks/e815571a-14a1-4341-8c7c-b65bb9e17096.npy,two_up_inverted,sin_mst,hagrid,train
freihand_00021653,datasets/training/rgb/00021653.jpg,data/processed/landmarks/freihand_00021653.npy,hand,sin_mst,freihand,train
sample_00236_MST_1,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_00236_MST_1.png,data/processed/landmarks/sample_00236_MST_1.npy,,sin_mst,mano,train
freihand_00012343,datasets/training/rgb/00012343.jpg,data/processed/landmarks/freihand_00012343.npy,hand,sin_mst,freihand,train
sample_03573_MST_4,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_03573_MST_4.png,data/processed/landmarks/sample_03573_MST_4.npy,,sin_mst,mano,train
sample_02545_MST_3,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_02545_MST_3.png,data/processed/landmarks/sample_02545_MST_3.npy,,sin_mst,mano,train
sample_00804_MST_1,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_00804_MST_1.png,data/processed/landmarks/sample_00804_MST_1.npy,,sin_mst,mano,train
freihand_00001520,datasets/training/rgb/00001520.jpg,data/processed/landmarks/freihand_00001520.npy,hand,sin_mst,freihand,train
ecaf195f-4f72-47b2-85a0-9041791b74f1,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_four/ecaf195f-4f72-47b2-85a0-9041791b74f1.jpg,data/processed/landmarks/ecaf195f-4f72-47b2-85a0-9041791b74f1.npy,four,sin_mst,hagrid,train
sample_07811_MST_8,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_07811_MST_8.png,data/processed/landmarks/sample_07811_MST_8.npy,,sin_mst,mano,train
bdbfc1db-081a-4e94-a3d1-ae75490daf14,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_call/bdbfc1db-081a-4e94-a3d1-ae75490daf14.jpg,data/processed/landmarks/bdbfc1db-081a-4e94-a3d1-ae75490daf14.npy,call,sin_mst,hagrid,train
freihand_00030171,datasets/training/rgb/00030171.jpg,data/processed/landmarks/freihand_00030171.npy,hand,sin_mst,freihand,train
freihand_00018165,datasets/training/rgb/00018165.jpg,data/processed/landmarks/freihand_00018165.npy,hand,sin_mst,freihand,train
ccf1e0cc-83e4-436a-ac89-aa985ef2264f,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_one/ccf1e0cc-83e4-436a-ac89-aa985ef2264f.jpg,data/processed/landmarks/ccf1e0cc-83e4-436a-ac89-aa985ef2264f.npy,one,sin_mst,hagrid,train
sample_01358_MST_2,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_01358_MST_2.png,data/processed/landmarks/sample_01358_MST_2.npy,,sin_mst,mano,train
decd031c-b2f0-477f-bbb6-2ad755837ca8,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_dislike/decd031c-b2f0-477f-bbb6-2ad755837ca8.jpg,data/processed/landmarks/decd031c-b2f0-477f-bbb6-2ad755837ca8.npy,dislike,sin_mst,hagrid,train
sample_02091_MST_3,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_02091_MST_3.png,data/processed/landmarks/sample_02091_MST_3.npy,,sin_mst,mano,train
sample_07401_MST_8,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_07401_MST_8.png,data/processed/landmarks/sample_07401_MST_8.npy,,sin_mst,mano,train
sample_06437_MST_7,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_06437_MST_7.png,data/processed/landmarks/sample_06437_MST_7.npy,,sin_mst,mano,train
5966d901-c5a2-4d1a-b20f-32bfa80ab6a9,datasets/hagrid_sample_30k_384p/hagrid-sample-30k-384p/hagrid_30k/train_val_stop/5966d901-c5a2-4d1a-b20f-32bfa80ab6a9.jpg,data/processed/landmarks/5966d901-c5a2-4d1a-b20f-32bfa80ab6a9.npy,stop,sin_mst,hagrid,train
sample_06769_MST_7,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_06769_MST_7.png,data/processed/landmarks/sample_06769_MST_7.npy,,sin_mst,mano,train
freihand_00007507,datasets/training/rgb/00007507.jpg,data/processed/landmarks/freihand_00007507.npy,hand,sin_mst,freihand,train
freihand_00015369,datasets/training/rgb/00015369.jpg,data/processed/landmarks/freihand_00015369.npy,hand,sin_mst,freihand,train
freihand_00000003,datasets/training/rgb/00000003.jpg,data/processed/landmarks/freihand_00000003.npy,hand,sin_mst,freihand,train
sample_01476_MST_2,/home/mateo/cosas_de_clase/4/PRACTICAS/aaa/balanceo_datasets/datasets/synthetic_mst/mano_samples_balanced/sample_01476_MST_2.png,data/processed/landmarks/sample_01476_MST_2.npy,,sin_mst,mano,train
