sample_id,suggested_label,confidence,path_landmarks,dist_ok,thumb_abduction,palm_arc,prox_T,prox_I,prox_M,prox_R,prox_P
sample_00386_MST_1,two_up,0.65,data/processed/landmarks/sample_00386_MST_1.npy,1.9618174,58.5977,0.27635044,35.714165,84.59006,8.499093,103.07779,103.28303
sample_00236_MST_1,two_up,0.65,data/processed/landmarks/sample_00236_MST_1.npy,1.1440631,50.38008,0.77926034,113.2948,70.46439,40.880283,127.12847,83.344185
sample_03573_MST_4,unknown,0.2,data/processed/landmarks/sample_03573_MST_4.npy,1.3707864,71.297714,0.7861024,46.570293,169.7245,72.16178,27.531387,36.611027
sample_02545_MST_3,fist,0.95,data/processed/landmarks/sample_02545_MST_3.npy,0.9626318,59.67254,1.1128887,132.72508,88.45711,159.62225,101.96885,157.2233
sample_00804_MST_1,peace,0.85,data/processed/landmarks/sample_00804_MST_1.npy,1.6756927,100.50713,1.1177747,76.19589,27.844793,31.592676,53.83024,64.71899
sample_07811_MST_8,unknown,0.2,data/processed/landmarks/sample_07811_MST_8.npy,0.8622901,32.86869,0.7834923,127.92002,87.11475,130.20769,55.62939,100.039696
sample_01358_MST_2,unknown,0.2,data/processed/landmarks/sample_01358_MST_2.npy,2.1868649,69.62033,0.8636444,72.65435,146.0267,102.84499,100.040596,17.815783
sample_02091_MST_3,unknown,0.2,data/processed/landmarks/sample_02091_MST_3.npy,0.76273686,18.627874,0.61132526,138.98212,55.94619,109.16152,68.24621,87.15457
sample_07401_MST_8,like,0.98,data/processed/landmarks/sample_07401_MST_8.npy,4.1740427,147.36378,2.0866332,63.33511,126.55976,112.07604,85.143036,115.66208
sample_06437_MST_7,one,0.85,data/processed/landmarks/sample_06437_MST_7.npy,2.7898085,80.837166,3.4873664,77.5055,3.0562055,156.88019,111.572136,156.94106
sample_06769_MST_7,like,0.98,data/processed/landmarks/sample_06769_MST_7.npy,2.7082953,143.56747,0.7709084,124.7522,117.48213,135.81308,152.97389,167.44405
sample_01476_MST_2,unknown,0.2,data/processed/landmarks/sample_01476_MST_2.npy,1.4393537,53.824783,1.5411488,167.0196,110.397125,102.7144,16.369646,89.1362
sample_03479_MST_4,fist,0.95,data/processed/landmarks/sample_03479_MST_4.npy,5.999356,129.13739,3.8839142,114.1827,91.54682,85.9347,103.47547,126.132744
sample_01759_MST_2,unknown,0.2,data/processed/landmarks/sample_01759_MST_2.npy,2.414226,136.01025,2.0361524,104.211075,51.18643,169.94325,92.08262,92.38274
sample_00058_MST_1,unknown,0.2,data/processed/landmarks/sample_00058_MST_1.npy,0.99394226,30.003613,1.1457671,17.666803,89.56654,128.4094,127.2561,74.28773
sample_03444_MST_4,unknown,0.2,data/processed/landmarks/sample_03444_MST_4.npy,0.8955727,42.571156,1.3385202,94.50783,57.954063,137.40958,77.8202,110.18232
sample_03379_MST_4,three,0.7,data/processed/landmarks/sample_03379_MST_4.npy,3.0132725,151.04858,1.8943511,37.727913,15.419417,138.58678,103.984985,30.718426
sample_01304_MST_2,unknown,0.2,data/processed/landmarks/sample_01304_MST_2.npy,1.2975322,27.729256,1.5002108,146.01205,117.27385,52.56747,48.84889,137.5075
sample_08857_MST_9,unknown,0.2,data/processed/landmarks/sample_08857_MST_9.npy,0.6392915,18.585909,0.56491274,115.31826,83.01395,135.68877,51.577682,131.22469
sample_02066_MST_3,three,0.7,data/processed/landmarks/sample_02066_MST_3.npy,2.8422832,140.00528,1.1372731,136.20612,17.19982,118.10919,6.087114,52.727226
sample_00011_MST_1,like,0.98,data/processed/landmarks/sample_00011_MST_1.npy,2.4266052,125.31806,0.53448343,55.701534,85.9169,88.4286,96.43357,109.76661
sample_07332_MST_8,like,0.98,data/processed/landmarks/sample_07332_MST_8.npy,1.0750365,59.614292,1.4467343,162.1324,92.25272,100.787384,82.4335,92.60625
sample_00579_MST_1,three,0.7,data/processed/landmarks/sample_00579_MST_1.npy,9.18628,88.057594,5.100217,59.431824,144.02676,27.752924,1.5905316,132.26521
sample_03658_MST_4,unknown,0.2,data/processed/landmarks/sample_03658_MST_4.npy,1.3197513,59.75771,0.8506748,153.8297,40.676537,136.53093,54.31478,122.74359
sample_03237_MST_4,fist,0.95,data/processed/landmarks/sample_03237_MST_4.npy,1.2495979,98.872696,0.52796626,142.2525,78.44989,107.320854,116.86135,61.272633
sample_07218_MST_8,fist,0.95,data/processed/landmarks/sample_07218_MST_8.npy,1.6051213,87.816185,1.3824565,130.21086,74.22153,82.04435,120.395645,70.64504
sample_00525_MST_1,like,0.98,data/processed/landmarks/sample_00525_MST_1.npy,2.4081852,81.3026,0.5598402,25.07285,73.54733,130.13306,77.299545,132.45856
sample_03073_MST_4,unknown,0.2,data/processed/landmarks/sample_03073_MST_4.npy,1.5241241,58.938828,0.6163209,63.82843,38.07055,72.11784,74.15032,143.21655
sample_03548_MST_4,one,0.85,data/processed/landmarks/sample_03548_MST_4.npy,2.7959263,95.00049,3.6753647,99.683876,29.083706,87.946266,98.38078,91.18863
sample_02093_MST_3,rock,0.72,data/processed/landmarks/sample_02093_MST_3.npy,2.3662918,159.96538,2.1822886,91.18325,115.8258,130.67859,158.88924,43.42152
sample_00230_MST_1,like,0.98,data/processed/landmarks/sample_00230_MST_1.npy,3.5629163,101.368324,0.6956282,81.367744,163.13988,98.04433,105.41723,146.3016
sample_00464_MST_1,bad_pose,0.5,data/processed/landmarks/sample_00464_MST_1.npy,21.873732,64.30571,19.648731,42.34475,165.26332,125.85921,44.22224,102.74674
sample_03710_MST_4,fist,0.95,data/processed/landmarks/sample_03710_MST_4.npy,2.6446815,113.33613,3.0597756,111.84529,153.5596,145.78589,166.10924,78.37124
sample_02487_MST_3,like,0.98,data/processed/landmarks/sample_02487_MST_3.npy,0.97429365,11.736179,0.5391851,78.6095,91.13248,83.05092,148.7758,159.6543
sample_03552_MST_4,unknown,0.2,data/processed/landmarks/sample_03552_MST_4.npy,1.8940727,76.868416,0.98785585,22.516785,66.04952,99.7019,160.83635,51.667023
sample_02639_MST_3,unknown,0.2,data/processed/landmarks/sample_02639_MST_3.npy,2.2898078,121.37015,2.277864,121.488976,121.54731,45.243725,73.378456,52.806385
sample_01426_MST_2,like,0.98,data/processed/landmarks/sample_01426_MST_2.npy,1.8115085,94.199135,1.0321708,56.295345,119.8307,157.0685,69.2585,74.47836
sample_08589_MST_9,unknown,0.2,data/processed/landmarks/sample_08589_MST_9.npy,1.8168938,127.21112,1.7094718,58.169174,133.05344,47.02233,71.18638,116.642426
sample_02276_MST_3,unknown,0.2,data/processed/landmarks/sample_02276_MST_3.npy,1.543819,78.03186,1.0379459,86.72456,101.307495,172.96516,33.925987,70.10782
sample_01144_MST_2,unknown,0.2,data/processed/landmarks/sample_01144_MST_2.npy,1.686704,87.07405,2.5189865,103.43595,39.002766,83.24262,69.74767,113.79542
sample_04854_MST_5,like,0.98,data/processed/landmarks/sample_04854_MST_5.npy,0.89604884,26.89975,0.91626525,117.8614,121.62326,161.12468,136.9952,69.9759
sample_03054_MST_4,bad_pose,0.5,data/processed/landmarks/sample_03054_MST_4.npy,9.036053,100.25175,2.7131321,28.3655,35.29084,115.193184,58.212437,119.53387
sample_08750_MST_9,one,0.85,data/processed/landmarks/sample_08750_MST_9.npy,1.7903029,82.898,1.4881691,135.79675,12.909314,153.09703,151.16475,108.20412
sample_03372_MST_4,unknown,0.2,data/processed/landmarks/sample_03372_MST_4.npy,2.240304,60.875805,4.059884,113.596725,107.3316,124.52554,26.682882,60.675137
sample_03725_MST_4,three,0.7,data/processed/landmarks/sample_03725_MST_4.npy,1.8673972,126.9391,1.0725714,67.6537,169.70422,129.5986,22.41946,8.526016
sample_01265_MST_2,unknown,0.2,data/processed/landmarks/sample_01265_MST_2.npy,3.2737556,38.618885,3.9832819,137.69868,121.82681,50.02625,106.80005,90.65528
sample_03607_MST_4,unknown,0.2,data/processed/landmarks/sample_03607_MST_4.npy,2.406803,91.24394,1.8358519,83.70879,142.72325,16.919584,102.808426,144.49414
sample_08842_MST_9,two_up,0.65,data/processed/landmarks/sample_08842_MST_9.npy,0.9507141,29.098154,1.1788188,45.945244,72.144104,35.874134,87.03881,78.007324
sample_00317_MST_1,unknown,0.2,data/processed/landmarks/sample_00317_MST_1.npy,2.2418592,67.82991,1.6491666,42.09029,143.67229,60.559555,102.15023,138.14485
sample_02379_MST_3,like,0.98,data/processed/landmarks/sample_02379_MST_3.npy,1.5389705,31.95591,1.9581685,101.71049,128.68819,118.44748,69.26183,67.59053
sample_07881_MST_8,two_up,0.65,data/processed/landmarks/sample_07881_MST_8.npy,1.6190337,106.63864,1.3323988,73.288155,54.787098,41.00015,73.60643,75.33956
sample_08134_MST_9,fist,0.95,data/processed/landmarks/sample_08134_MST_9.npy,1.5366021,62.297913,0.7373897,107.53544,125.66217,84.9141,80.13333,68.70449
sample_02855_MST_3,unknown,0.2,data/processed/landmarks/sample_02855_MST_3.npy,1.9521492,110.24444,0.59662133,73.84083,38.11899,97.79075,133.19806,102.219215
sample_00308_MST_1,call,0.68,data/processed/landmarks/sample_00308_MST_1.npy,4.7365847,146.3767,1.4795209,38.988785,158.74924,98.44391,41.577213,141.63799
sample_00139_MST_1,one,0.85,data/processed/landmarks/sample_00139_MST_1.npy,2.0287013,77.76616,1.1914563,10.194547,19.83024,90.89722,155.74792,125.113815
sample_03484_MST_4,fist,0.95,data/processed/landmarks/sample_03484_MST_4.npy,2.265234,147.89082,0.36716297,60.754414,151.2365,77.76971,105.91173,111.63677
sample_02209_MST_3,unknown,0.2,data/processed/landmarks/sample_02209_MST_3.npy,1.5409708,63.81164,0.3903964,147.55626,71.30191,98.64679,51.201756,96.95007
sample_01037_MST_2,unknown,0.2,data/processed/landmarks/sample_01037_MST_2.npy,0.8032266,39.82869,0.9391597,16.468187,135.08163,113.00816,20.288942,165.9764
sample_01529_MST_2,like,0.98,data/processed/landmarks/sample_01529_MST_2.npy,1.1930019,19.654182,1.6421703,110.1534,82.551994,83.039764,110.30055,92.041084
sample_09191_MST_10,fist,0.95,data/processed/landmarks/sample_09191_MST_10.npy,1.4012579,39.281155,1.4244945,106.07251,172.24437,70.53213,91.62101,86.72478
sample_08681_MST_9,unknown,0.2,data/processed/landmarks/sample_08681_MST_9.npy,1.8584615,123.68941,1.4641514,141.61853,133.05124,45.508526,58.065704,107.03157
sample_01841_MST_2,like,0.98,data/processed/landmarks/sample_01841_MST_2.npy,0.54557925,9.865256,0.86344594,62.763424,121.61939,168.39088,78.58448,105.06699
sample_00787_MST_1,one,0.85,data/processed/landmarks/sample_00787_MST_1.npy,1.5438623,96.25065,1.7554417,51.492176,16.01667,142.18393,99.96701,38.02085
sample_00566_MST_1,unknown,0.2,data/processed/landmarks/sample_00566_MST_1.npy,2.0809271,53.17369,1.1462615,141.42839,153.10197,21.226206,153.97243,112.327415
sample_01167_MST_2,two_up,0.65,data/processed/landmarks/sample_01167_MST_2.npy,0.9876807,74.22382,0.42612594,11.835395,93.135635,26.706964,74.26288,126.917076
sample_01729_MST_2,like,0.98,data/processed/landmarks/sample_01729_MST_2.npy,0.8529903,53.52242,0.6374629,33.68634,161.03035,79.60872,98.99279,106.92983
sample_05159_MST_6,two_up,0.65,data/processed/landmarks/sample_05159_MST_6.npy,0.58468455,44.39415,1.8127823,113.95403,55.749004,12.142782,141.27478,56.938164
sample_00297_MST_1,unknown,0.2,data/processed/landmarks/sample_00297_MST_1.npy,2.130931,100.04495,0.44871637,128.77563,80.9786,99.49616,64.78194,58.498238
sample_00679_MST_1,like,0.98,data/processed/landmarks/sample_00679_MST_1.npy,1.8603512,112.85831,0.6236609,83.749374,152.35788,150.17639,89.03585,152.0129
sample_01150_MST_2,two_up,0.65,data/processed/landmarks/sample_01150_MST_2.npy,2.780764,35.82598,2.6857293,103.373024,69.22906,42.071045,78.7152,45.4121
sample_00704_MST_1,one,0.85,data/processed/landmarks/sample_00704_MST_1.npy,1.9525192,78.70072,1.2436649,28.615328,25.288424,80.63361,94.54137,88.78446
sample_01741_MST_2,fist,0.95,data/processed/landmarks/sample_01741_MST_2.npy,1.5171543,70.92689,1.0286047,138.06168,99.16122,83.64393,95.85944,124.21207
sample_00568_MST_1,unknown,0.2,data/processed/landmarks/sample_00568_MST_1.npy,3.09842,95.90044,1.112552,87.78317,171.13055,139.071,48.091152,146.66159
sample_00752_MST_1,one,0.85,data/processed/landmarks/sample_00752_MST_1.npy,2.9249604,113.1312,1.0809646,47.38391,9.386907,120.26656,46.297604,73.20525
sample_00471_MST_1,rock,0.72,data/processed/landmarks/sample_00471_MST_1.npy,3.0442615,139.70558,2.0640595,105.82562,93.34415,54.847755,96.01358,46.986496
sample_09570_MST_10,rock,0.62,data/processed/landmarks/sample_09570_MST_10.npy,0.9991982,22.347715,0.6664591,57.080406,127.97755,78.74775,130.86868,51.557415
sample_09696_MST_10,like,0.98,data/processed/landmarks/sample_09696_MST_10.npy,1.6001434,81.61726,0.22839195,173.68987,74.95678,103.88882,143.4941,65.60186
sample_01493_MST_2,fist,0.95,data/processed/landmarks/sample_01493_MST_2.npy,1.5239546,91.92994,1.3430572,104.94162,141.96188,153.53905,131.80113,135.01431
sample_02868_MST_3,two_up,0.65,data/processed/landmarks/sample_02868_MST_3.npy,4.298767,69.90612,1.6536334,43.39431,69.09724,49.312313,97.858826,98.843575
sample_03794_MST_4,fist,0.95,data/processed/landmarks/sample_03794_MST_4.npy,0.98480356,56.813503,0.8707927,98.48105,83.729965,96.535194,127.86636,88.39211
sample_00245_MST_1,fist,0.95,data/processed/landmarks/sample_00245_MST_1.npy,1.6136198,86.66959,0.6304447,130.22633,124.82099,95.95024,116.86897,124.92238
sample_00891_MST_1,rock,0.72,data/processed/landmarks/sample_00891_MST_1.npy,2.2325945,103.61927,1.6960921,146.4026,92.605446,158.47821,130.51108,48.167934
sample_00953_MST_1,unknown,0.2,data/processed/landmarks/sample_00953_MST_1.npy,1.6066275,41.784527,4.700311,78.0789,89.05275,53.677452,53.801,139.88084
sample_03318_MST_4,fist,0.95,data/processed/landmarks/sample_03318_MST_4.npy,2.050896,92.32484,1.8254977,75.568054,129.27301,100.61521,69.936325,123.3057
sample_02020_MST_3,call,0.68,data/processed/landmarks/sample_02020_MST_3.npy,2.2661762,123.26292,0.7735441,83.38391,112.83816,111.65702,36.98395,131.89124
sample_09788_MST_10,unknown,0.2,data/processed/landmarks/sample_09788_MST_10.npy,1.4424156,76.33507,1.6291349,154.1392,84.58251,109.32331,76.512375,8.558091
sample_01986_MST_2,one,0.85,data/processed/landmarks/sample_01986_MST_2.npy,2.1248617,85.7403,1.4860395,29.476025,23.892395,110.10918,86.41656,81.94698
sample_03834_MST_4,two_up,0.65,data/processed/landmarks/sample_03834_MST_4.npy,4.4898143,79.38223,2.4291716,76.86018,118.67729,22.61045,69.99035,113.91844
sample_03311_MST_4,like,0.98,data/processed/landmarks/sample_03311_MST_4.npy,0.6396405,26.457207,0.8936117,106.97084,133.12477,80.5741,106.57413,162.5187
sample_09299_MST_10,unknown,0.2,data/processed/landmarks/sample_09299_MST_10.npy,1.37507,64.34113,1.0790048,151.02072,113.592896,166.05867,20.434029,48.214073
sample_09789_MST_10,unknown,0.2,data/processed/landmarks/sample_09789_MST_10.npy,1.2274067,66.52737,0.6347907,168.01831,151.68707,43.775867,100.56923,166.37039
sample_03356_MST_4,unknown,0.2,data/processed/landmarks/sample_03356_MST_4.npy,3.5554252,162.56305,1.265979,144.74973,144.42065,69.61554,50.576492,135.1246
sample_08686_MST_9,fist,0.95,data/processed/landmarks/sample_08686_MST_9.npy,1.679584,118.52799,0.44574383,119.382545,125.17231,61.279102,131.60466,91.90111
sample_07458_MST_8,like,0.98,data/processed/landmarks/sample_07458_MST_8.npy,3.2107751,140.52884,0.78073597,140.082,123.57902,85.35396,126.32221,114.90812
sample_00631_MST_1,fist,0.95,data/processed/landmarks/sample_00631_MST_1.npy,3.3892102,143.44878,1.6942834,92.472336,60.023605,96.950935,60.951977,145.20555
sample_02402_MST_3,like,0.98,data/processed/landmarks/sample_02402_MST_3.npy,3.283688,110.86664,3.0855172,84.783356,101.735725,107.36759,120.835304,142.7104
sample_05328_MST_6,one,0.85,data/processed/landmarks/sample_05328_MST_6.npy,3.187392,123.977394,0.24139462,83.179245,24.002834,90.32478,69.148056,94.12972
sample_02200_MST_3,rock,0.62,data/processed/landmarks/sample_02200_MST_3.npy,1.2784249,50.3753,0.5681463,171.0116,40.749874,158.876,50.741417,27.466307
sample_03304_MST_4,like,0.98,data/processed/landmarks/sample_03304_MST_4.npy,2.7654297,157.33261,1.6138481,114.77806,108.28655,68.30631,102.4231,108.65748
sample_02421_MST_3,like,0.98,data/processed/landmarks/sample_02421_MST_3.npy,2.1029503,55.346325,1.0076606,61.47284,61.76657,134.46046,146.72253,97.168755
sample_02546_MST_3,fist,0.95,data/processed/landmarks/sample_02546_MST_3.npy,1.7091426,139.54308,2.2626035,163.95139,173.8966,87.271904,108.71802,62.623196
sample_02810_MST_3,fist,0.95,data/processed/landmarks/sample_02810_MST_3.npy,1.4375659,61.250893,0.31970194,104.508156,156.20538,121.952736,104.90798,140.88882
sample_00811_MST_1,unknown,0.2,data/processed/landmarks/sample_00811_MST_1.npy,1.8219188,73.67469,2.726871,62.6959,160.18164,129.3532,42.632694,52.94482
sample_03344_MST_4,like,0.98,data/processed/landmarks/sample_03344_MST_4.npy,1.0719451,62.503605,0.51198184,116.4884,90.58149,82.975876,142.05377,154.82541
sample_04128_MST_5,rock,0.62,data/processed/landmarks/sample_04128_MST_5.npy,0.89300084,20.511229,0.58761376,85.753296,75.22591,84.877975,33.635406,42.996506
sample_09385_MST_10,one,0.85,data/processed/landmarks/sample_09385_MST_10.npy,1.7704954,129.4934,1.0554217,150.18878,26.30509,72.81029,108.07878,111.53696
sample_00163_MST_1,like,0.98,data/processed/landmarks/sample_00163_MST_1.npy,3.2978487,149.36708,2.1217577,164.93504,104.024925,93.07809,122.79475,92.79963
sample_01718_MST_2,two_up,0.65,data/processed/landmarks/sample_01718_MST_2.npy,3.254702,49.166145,2.5212731,129.65187,115.1152,36.715603,82.59053,93.91428
sample_03939_MST_4,unknown,0.2,data/processed/landmarks/sample_03939_MST_4.npy,3.1921566,125.50938,2.0506165,47.6286,40.17276,76.529915,96.56927,74.50278
sample_02786_MST_3,like,0.98,data/processed/landmarks/sample_02786_MST_3.npy,3.2573516,99.178986,1.6272167,43.595894,83.68276,138.36717,113.82119,135.03117
sample_03121_MST_4,fist,0.95,data/processed/landmarks/sample_03121_MST_4.npy,3.6270363,95.29695,1.5228302,115.50222,135.69902,161.06143,92.89871,124.71078
sample_03965_MST_4,unknown,0.2,data/processed/landmarks/sample_03965_MST_4.npy,1.0497804,36.88589,1.366703,125.5851,56.668804,70.27901,128.60454,147.57916
sample_02562_MST_3,unknown,0.2,data/processed/landmarks/sample_02562_MST_3.npy,1.7047805,55.224915,0.36483702,95.69394,156.4273,69.83529,31.064318,129.15466
sample_02730_MST_3,unknown,0.2,data/processed/landmarks/sample_02730_MST_3.npy,0.74761677,32.607697,1.3038142,53.939857,37.40617,168.66785,124.925835,100.421104
sample_02031_MST_3,two_up,0.65,data/processed/landmarks/sample_02031_MST_3.npy,2.1188273,166.66591,0.9611096,173.88614,88.499626,42.491344,138.83546,140.78409
sample_00517_MST_1,unknown,0.2,data/processed/landmarks/sample_00517_MST_1.npy,4.424072,137.93091,4.3531165,80.61729,102.049835,57.593334,145.95656,146.3033
sample_04486_MST_5,two_up,0.65,data/processed/landmarks/sample_04486_MST_5.npy,1.9332194,68.77563,1.2694769,150.15291,89.43289,35.761726,94.64558,97.07123
sample_03699_MST_4,unknown,0.2,data/processed/landmarks/sample_03699_MST_4.npy,1.8876519,88.60124,0.7188215,91.7681,164.37779,75.02636,33.302383,56.854877
sample_03024_MST_4,unknown,0.2,data/processed/landmarks/sample_03024_MST_4.npy,2.4112136,104.76809,0.3378422,123.91081,145.45218,79.54728,39.607975,111.73972
sample_03824_MST_4,two_up,0.65,data/processed/landmarks/sample_03824_MST_4.npy,2.1496232,62.766766,1.0118918,96.70414,114.23284,39.64907,124.28992,133.08217
sample_02929_MST_3,like,0.98,data/processed/landmarks/sample_02929_MST_3.npy,2.6290207,74.29114,0.62813675,25.831842,88.355896,149.6704,107.13598,141.75824
sample_07449_MST_8,bad_pose,0.5,data/processed/landmarks/sample_07449_MST_8.npy,5.147823,146.42021,1.2354583,109.67941,115.23202,99.82101,68.85493,14.427273
sample_02397_MST_3,unknown,0.2,data/processed/landmarks/sample_02397_MST_3.npy,0.26797923,5.241871,0.42787808,30.960367,99.05356,159.3927,53.079014,74.09067
sample_00646_MST_1,two_up,0.65,data/processed/landmarks/sample_00646_MST_1.npy,2.92017,129.53886,0.8454905,79.105515,87.46544,44.064495,139.0179,78.86407
sample_00875_MST_1,fist,0.95,data/processed/landmarks/sample_00875_MST_1.npy,1.0324101,30.254946,0.6022685,155.4231,61.18488,91.60826,66.79291,143.4344
sample_02685_MST_3,unknown,0.2,data/processed/landmarks/sample_02685_MST_3.npy,0.9496314,31.23321,0.8332164,137.01527,156.10799,52.21622,136.62856,132.14629
sample_08682_MST_9,like,0.98,data/processed/landmarks/sample_08682_MST_9.npy,3.8585026,146.37466,1.550863,90.984055,133.67941,91.136856,142.38446,138.27692
sample_01396_MST_2,like,0.98,data/processed/landmarks/sample_01396_MST_2.npy,3.3542495,61.195065,2.9675791,97.125565,132.24075,111.35254,149.09904,149.55101
sample_04705_MST_5,fist,0.95,data/processed/landmarks/sample_04705_MST_5.npy,1.5973204,81.53818,1.1496656,148.05127,106.36907,152.66164,67.95727,78.15891
sample_00912_MST_1,unknown,0.2,data/processed/landmarks/sample_00912_MST_1.npy,2.9293265,114.89748,1.5324554,75.495636,137.0876,68.56873,48.267014,115.16263
sample_08558_MST_9,like,0.98,data/processed/landmarks/sample_08558_MST_9.npy,1.4725665,90.59402,0.6401064,132.28127,123.051285,99.26969,106.393074,105.88972
