sample_id,suggested_label,confidence
sample_03311_MST_4,palm,0.9
sample_09299_MST_10,unknown,0.3
sample_09789_MST_10,palm,0.9
sample_03356_MST_4,unknown,0.3
sample_08686_MST_9,unknown,0.3
sample_07458_MST_8,unknown,0.3
sample_00631_MST_1,unknown,0.3
sample_02402_MST_3,unknown,0.3
sample_05328_MST_6,palm,0.9
sample_02200_MST_3,unknown,0.3
sample_03304_MST_4,four,0.8
sample_02421_MST_3,unknown,0.3
sample_02546_MST_3,palm,0.9
sample_02810_MST_3,palm,0.9
sample_00811_MST_1,unknown,0.3
sample_03344_MST_4,palm,0.9
sample_04128_MST_5,palm,0.9
sample_09385_MST_10,four,0.8
sample_00163_MST_1,palm,0.9
sample_01718_MST_2,unknown,0.3
sample_03939_MST_4,palm,0.9
sample_02786_MST_3,unknown,0.3
sample_03121_MST_4,palm,0.9
sample_03965_MST_4,four,0.8
sample_02562_MST_3,unknown,0.3
sample_02730_MST_3,unknown,0.3
sample_02031_MST_3,palm,0.9
sample_00517_MST_1,peace,0.8
sample_04486_MST_5,four,0.8
sample_03699_MST_4,palm,0.9
sample_03024_MST_4,palm,0.9
sample_03824_MST_4,unknown,0.3
sample_02929_MST_3,palm,0.9
sample_07449_MST_8,unknown,0.3
sample_02397_MST_3,palm,0.9
sample_00646_MST_1,unknown,0.3
sample_00875_MST_1,four,0.8
sample_02685_MST_3,palm,0.9
sample_08682_MST_9,unknown,0.3
sample_01396_MST_2,palm,0.9
sample_04705_MST_5,palm,0.9
sample_00912_MST_1,unknown,0.3
sample_08558_MST_9,unknown,0.3
sample_00346_MST_1,unknown,0.3
sample_06910_MST_7,unknown,0.3
sample_03418_MST_4,palm,0.9
sample_00043_MST_1,unknown,0.3
sample_03088_MST_4,unknown,0.3
sample_04452_MST_5,palm,0.9
sample_01643_MST_2,unknown,0.3
sample_00173_MST_1,palm,0.9
sample_02851_MST_3,unknown,0.3
sample_09078_MST_10,unknown,0.3
sample_01791_MST_2,unknown,0.3
sample_08739_MST_9,palm,0.9
sample_01771_MST_2,palm,0.9
sample_02057_MST_3,unknown,0.3
sample_07607_MST_8,palm,0.9
sample_08606_MST_9,unknown,0.3
sample_03975_MST_4,four,0.8
sample_02297_MST_3,unknown,0.3
sample_00848_MST_1,palm,0.9
sample_01993_MST_2,unknown,0.3
sample_08358_MST_9,unknown,0.3
sample_07267_MST_8,unknown,0.3
sample_09990_MST_10,peace,0.8
sample_00557_MST_1,palm,0.9
sample_02384_MST_3,palm,0.9
sample_00112_MST_1,unknown,0.3
sample_00869_MST_1,palm,0.9
sample_08063_MST_9,palm,0.9
sample_09311_MST_10,four,0.8
sample_00438_MST_1,palm,0.9
sample_05697_MST_6,unknown,0.3
sample_09892_MST_10,palm,0.9
sample_07272_MST_8,unknown,0.3
sample_01365_MST_2,palm,0.9
sample_05974_MST_6,palm,0.9
sample_00445_MST_1,palm,0.9
sample_07493_MST_8,palm,0.9
sample_03644_MST_4,palm,0.9
sample_00342_MST_1,unknown,0.3
sample_02428_MST_3,unknown,0.3
sample_02395_MST_3,unknown,0.3
sample_08913_MST_9,palm,0.9
sample_02021_MST_3,four,0.8
sample_04187_MST_5,palm,0.9
sample_05512_MST_6,four,0.8
sample_08149_MST_9,unknown,0.3
sample_00273_MST_1,palm,0.9
sample_02622_MST_3,palm,0.9
sample_08735_MST_9,palm,0.9
sample_01226_MST_2,palm,0.9
sample_09017_MST_10,palm,0.9
sample_01487_MST_2,unknown,0.3
sample_03977_MST_4,palm,0.9
sample_01212_MST_2,unknown,0.3
sample_02705_MST_3,palm,0.9
sample_00352_MST_1,unknown,0.3
sample_01646_MST_2,palm,0.9
sample_01712_MST_2,palm,0.9
sample_07453_MST_8,palm,0.9
sample_03621_MST_4,palm,0.9
sample_01637_MST_2,unknown,0.3
sample_09506_MST_10,four,0.8
sample_02739_MST_3,palm,0.9
sample_09851_MST_10,unknown,0.3
sample_07720_MST_8,palm,0.9
sample_02207_MST_3,palm,0.9
sample_09520_MST_10,palm,0.9
sample_03357_MST_4,palm,0.9
sample_00291_MST_1,four,0.8
sample_00802_MST_1,unknown,0.3
sample_00440_MST_1,unknown,0.3
sample_01376_MST_2,three,0.7
sample_07470_MST_8,palm,0.9
sample_03020_MST_4,palm,0.9
sample_00501_MST_1,palm,0.9
sample_02969_MST_3,unknown,0.3
sample_00713_MST_1,palm,0.9
sample_02681_MST_3,four,0.8
sample_02288_MST_3,unknown,0.3
sample_03255_MST_4,palm,0.9
sample_01241_MST_2,unknown,0.3
sample_02296_MST_3,unknown,0.3
sample_09923_MST_10,unknown,0.3
sample_07046_MST_8,unknown,0.3
sample_02534_MST_3,palm,0.9
sample_01408_MST_2,palm,0.9
sample_01629_MST_2,unknown,0.3
sample_00892_MST_1,palm,0.9
sample_00595_MST_1,palm,0.9
sample_00808_MST_1,palm,0.9
sample_03911_MST_4,unknown,0.3
sample_09073_MST_10,unknown,0.3
sample_00796_MST_1,palm,0.9
sample_00788_MST_1,unknown,0.3
sample_03555_MST_4,palm,0.9
sample_00426_MST_1,palm,0.9
sample_05085_MST_6,palm,0.9
sample_03463_MST_4,palm,0.9
sample_08965_MST_9,unknown,0.3
sample_00451_MST_1,palm,0.9
sample_08036_MST_9,unknown,0.3
sample_01224_MST_2,unknown,0.3
sample_00381_MST_1,unknown,0.3
sample_09856_MST_10,unknown,0.3
sample_03123_MST_4,palm,0.9
sample_09843_MST_10,unknown,0.3
sample_09360_MST_10,unknown,0.3
sample_07642_MST_8,palm,0.9
sample_03754_MST_4,palm,0.9
sample_02223_MST_3,unknown,0.3
sample_00691_MST_1,four,0.8
sample_00901_MST_1,palm,0.9
sample_01677_MST_2,palm,0.9
sample_09109_MST_10,unknown,0.3
sample_02486_MST_3,unknown,0.3
sample_00937_MST_1,palm,0.9
sample_01200_MST_2,unknown,0.3
sample_02632_MST_3,unknown,0.3
sample_00175_MST_1,palm,0.9
sample_02857_MST_3,unknown,0.3
sample_02104_MST_3,palm,0.9
sample_01231_MST_2,unknown,0.3
sample_07463_MST_8,unknown,0.3
sample_09994_MST_10,unknown,0.3
sample_02141_MST_3,palm,0.9
sample_03066_MST_4,unknown,0.3
sample_01134_MST_2,unknown,0.3
sample_03129_MST_4,palm,0.9
sample_03477_MST_4,four,0.8
sample_02523_MST_3,palm,0.9
sample_02041_MST_3,palm,0.9
sample_03145_MST_4,unknown,0.3
sample_07517_MST_8,palm,0.9
sample_02208_MST_3,palm,0.9
sample_09623_MST_10,four,0.8
sample_00980_MST_1,unknown,0.3
sample_00998_MST_1,unknown,0.3
sample_02090_MST_3,unknown,0.3
sample_00737_MST_1,palm,0.9
sample_02310_MST_3,palm,0.9
sample_00208_MST_1,unknown,0.3
sample_00391_MST_1,four,0.8
sample_09169_MST_10,palm,0.9
sample_02502_MST_3,three,0.7
sample_03750_MST_4,palm,0.9
sample_03197_MST_4,palm,0.9
sample_01317_MST_2,palm,0.9
sample_09068_MST_10,unknown,0.3
sample_07558_MST_8,palm,0.9
sample_03767_MST_4,unknown,0.3
sample_00315_MST_1,three,0.7
sample_01320_MST_2,palm,0.9
sample_02936_MST_3,palm,0.9
sample_00938_MST_1,palm,0.9
sample_01641_MST_2,unknown,0.3
sample_08071_MST_9,palm,0.9
sample_03097_MST_4,unknown,0.3
sample_02103_MST_3,palm,0.9
sample_07388_MST_8,palm,0.9
sample_03465_MST_4,unknown,0.3
sample_03580_MST_4,unknown,0.3
sample_00569_MST_1,three,0.7
sample_08670_MST_9,unknown,0.3
sample_08309_MST_9,palm,0.9
sample_07704_MST_8,unknown,0.3
sample_03696_MST_4,unknown,0.3
sample_02438_MST_3,palm,0.9
sample_03521_MST_4,palm,0.9
sample_08766_MST_9,palm,0.9
sample_08385_MST_9,palm,0.9
sample_06544_MST_7,palm,0.9
sample_00653_MST_1,unknown,0.3
sample_09973_MST_10,unknown,0.3
sample_01615_MST_2,palm,0.9
sample_03566_MST_4,four,0.8
sample_03731_MST_4,palm,0.9
sample_07714_MST_8,four,0.8
sample_01103_MST_2,unknown,0.3
sample_00698_MST_1,unknown,0.3
sample_00280_MST_1,unknown,0.3
sample_00418_MST_1,palm,0.9
sample_08229_MST_9,unknown,0.3
sample_02760_MST_3,four,0.8
sample_03112_MST_4,unknown,0.3
sample_03897_MST_4,unknown,0.3
sample_00359_MST_1,palm,0.9
sample_01373_MST_2,rock,0.7
sample_00944_MST_1,palm,0.9
sample_02953_MST_3,palm,0.9
sample_01102_MST_2,unknown,0.3
sample_00774_MST_1,palm,0.9
sample_07624_MST_8,palm,0.9
sample_08673_MST_9,four,0.8
sample_02005_MST_3,palm,0.9
sample_00466_MST_1,unknown,0.3
sample_08464_MST_9,unknown,0.3
sample_08910_MST_9,four,0.8
sample_01625_MST_2,palm,0.9
sample_08875_MST_9,palm,0.9
sample_06213_MST_7,unknown,0.3
sample_03972_MST_4,unknown,0.3
sample_03433_MST_4,unknown,0.3
sample_07162_MST_8,unknown,0.3
sample_00417_MST_1,palm,0.9
sample_03513_MST_4,palm,0.9
sample_03827_MST_4,palm,0.9
sample_07083_MST_8,palm,0.9
sample_02204_MST_3,unknown,0.3
sample_03201_MST_4,palm,0.9
sample_03300_MST_4,palm,0.9
sample_02425_MST_3,palm,0.9
sample_01644_MST_2,palm,0.9
sample_01603_MST_2,palm,0.9
sample_09776_MST_10,unknown,0.3
sample_00142_MST_1,unknown,0.3
sample_03355_MST_4,palm,0.9
sample_08456_MST_9,unknown,0.3
sample_02598_MST_3,unknown,0.3
sample_03032_MST_4,palm,0.9
sample_02842_MST_3,unknown,0.3
sample_08157_MST_9,palm,0.9
sample_03181_MST_4,palm,0.9
sample_03973_MST_4,four,0.8
sample_07007_MST_8,palm,0.9
sample_00154_MST_1,unknown,0.3
sample_01662_MST_2,unknown,0.3
sample_07756_MST_8,palm,0.9
sample_00283_MST_1,palm,0.9
sample_08524_MST_9,unknown,0.3
sample_01330_MST_2,unknown,0.3
sample_01763_MST_2,unknown,0.3
sample_07697_MST_8,unknown,0.3
sample_09699_MST_10,palm,0.9
sample_03491_MST_4,unknown,0.3
sample_00770_MST_1,palm,0.9
sample_02916_MST_3,unknown,0.3
sample_03814_MST_4,palm,0.9
sample_00480_MST_1,palm,0.9
sample_09244_MST_10,unknown,0.3
sample_03011_MST_4,unknown,0.3
sample_02756_MST_3,unknown,0.3
sample_07407_MST_8,four,0.8
sample_01198_MST_2,unknown,0.3
sample_06390_MST_7,palm,0.9
sample_01594_MST_2,three,0.7
sample_00111_MST_1,unknown,0.3
sample_05593_MST_6,palm,0.9
sample_07709_MST_8,palm,0.9
sample_03640_MST_4,palm,0.9
sample_04314_MST_5,unknown,0.3
sample_00659_MST_1,palm,0.9
sample_05719_MST_6,palm,0.9
sample_09783_MST_10,unknown,0.3
sample_01486_MST_2,unknown,0.3
sample_07893_MST_8,palm,0.9
sample_02701_MST_3,palm,0.9
sample_02131_MST_3,palm,0.9
sample_05568_MST_6,unknown,0.3
sample_02918_MST_3,palm,0.9
sample_02636_MST_3,unknown,0.3
sample_02860_MST_3,palm,0.9
sample_01896_MST_2,unknown,0.3
sample_07820_MST_8,pinky,0.6
sample_01937_MST_2,four,0.8
sample_02022_MST_3,palm,0.9
sample_09358_MST_10,unknown,0.3
sample_01488_MST_2,palm,0.9
sample_02629_MST_3,palm,0.9
sample_09350_MST_10,palm,0.9
sample_09585_MST_10,palm,0.9
sample_03986_MST_4,unknown,0.3
sample_07274_MST_8,unknown,0.3
sample_02998_MST_3,palm,0.9
sample_01002_MST_2,palm,0.9
sample_02672_MST_3,unknown,0.3
sample_03168_MST_4,unknown,0.3
sample_00791_MST_1,palm,0.9
sample_01609_MST_2,palm,0.9
sample_02731_MST_3,unknown,0.3
sample_05592_MST_6,palm,0.9
sample_07308_MST_8,palm,0.9
sample_09969_MST_10,palm,0.9
sample_02699_MST_3,unknown,0.3
sample_09703_MST_10,palm,0.9
sample_07588_MST_8,unknown,0.3
sample_00187_MST_1,unknown,0.3
sample_04893_MST_5,palm,0.9
sample_04435_MST_5,four,0.8
sample_07856_MST_8,palm,0.9
sample_01328_MST_2,palm,0.9
sample_02766_MST_3,palm,0.9
sample_03162_MST_4,unknown,0.3
sample_03797_MST_4,palm,0.9
sample_01805_MST_2,unknown,0.3
sample_01204_MST_2,palm,0.9
sample_02273_MST_3,unknown,0.3
sample_01213_MST_2,palm,0.9
sample_01542_MST_2,unknown,0.3
sample_05502_MST_6,palm,0.9
sample_01250_MST_2,four,0.8
sample_03401_MST_4,palm,0.9
sample_08511_MST_9,palm,0.9
sample_01335_MST_2,unknown,0.3
sample_03341_MST_4,unknown,0.3
sample_00726_MST_1,palm,0.9
sample_07621_MST_8,palm,0.9
sample_01990_MST_2,palm,0.9
sample_08676_MST_9,unknown,0.3
sample_02875_MST_3,unknown,0.3
sample_08066_MST_9,palm,0.9
sample_01962_MST_2,peace,0.8
sample_02002_MST_3,palm,0.9
sample_01792_MST_2,unknown,0.3
sample_01657_MST_2,palm,0.9
sample_08232_MST_9,unknown,0.3
sample_01210_MST_2,unknown,0.3
sample_02997_MST_3,unknown,0.3
sample_02013_MST_3,palm,0.9
sample_03694_MST_4,palm,0.9
sample_01739_MST_2,unknown,0.3
sample_00029_MST_1,unknown,0.3
sample_07677_MST_8,unknown,0.3
sample_02114_MST_3,palm,0.9
sample_07781_MST_8,palm,0.9
sample_00488_MST_1,unknown,0.3
sample_02684_MST_3,four,0.8
sample_02335_MST_3,palm,0.9
sample_06320_MST_7,palm,0.9
sample_03727_MST_4,unknown,0.3
sample_03060_MST_4,palm,0.9
sample_00014_MST_1,palm,0.9
sample_07957_MST_8,unknown,0.3
sample_09835_MST_10,unknown,0.3
sample_03448_MST_4,palm,0.9
sample_07184_MST_8,palm,0.9
sample_00401_MST_1,palm,0.9
sample_02506_MST_3,unknown,0.3
sample_03180_MST_4,unknown,0.3
sample_01773_MST_2,palm,0.9
sample_08426_MST_9,unknown,0.3
sample_02118_MST_3,palm,0.9
sample_01598_MST_2,unknown,0.3
sample_00523_MST_1,unknown,0.3
sample_09732_MST_10,palm,0.9
sample_04484_MST_5,unknown,0.3
sample_02163_MST_3,palm,0.9
sample_02116_MST_3,four,0.8
sample_07466_MST_8,unknown,0.3
sample_00115_MST_1,four,0.8
sample_02837_MST_3,palm,0.9
sample_03862_MST_4,palm,0.9
sample_01359_MST_2,palm,0.9
sample_07419_MST_8,palm,0.9
sample_00676_MST_1,palm,0.9
sample_00782_MST_1,unknown,0.3
sample_00424_MST_1,palm,0.9
sample_02185_MST_3,unknown,0.3
sample_03404_MST_4,unknown,0.3
sample_00059_MST_1,unknown,0.3
sample_07477_MST_8,four,0.8
sample_04672_MST_5,unknown,0.3
sample_02976_MST_3,unknown,0.3
sample_04697_MST_5,palm,0.9
sample_01519_MST_2,unknown,0.3
sample_05969_MST_6,unknown,0.3
sample_00516_MST_1,unknown,0.3
sample_02614_MST_3,palm,0.9
sample_00960_MST_1,unknown,0.3
sample_03876_MST_4,palm,0.9
sample_00943_MST_1,palm,0.9
sample_08033_MST_9,palm,0.9
sample_00783_MST_1,palm,0.9
sample_02956_MST_3,palm,0.9
sample_03738_MST_4,palm,0.9
sample_01839_MST_2,unknown,0.3
sample_03936_MST_4,unknown,0.3
sample_08317_MST_9,palm,0.9
sample_00895_MST_1,palm,0.9
sample_09507_MST_10,unknown,0.3
sample_00855_MST_1,unknown,0.3
sample_05522_MST_6,unknown,0.3
sample_02455_MST_3,palm,0.9
sample_02202_MST_3,four,0.8
sample_00876_MST_1,palm,0.9
sample_03313_MST_4,palm,0.9
sample_02121_MST_3,unknown,0.3
sample_09938_MST_10,unknown,0.3
sample_07840_MST_8,unknown,0.3
sample_07804_MST_8,four,0.8
sample_09033_MST_10,unknown,0.3
sample_01077_MST_2,unknown,0.3
sample_01421_MST_2,palm,0.9
sample_09227_MST_10,palm,0.9
sample_02406_MST_3,unknown,0.3
sample_02923_MST_3,unknown,0.3
sample_01761_MST_2,unknown,0.3
sample_02394_MST_3,palm,0.9
sample_01797_MST_2,palm,0.9
sample_03571_MST_4,four,0.8
sample_09200_MST_10,unknown,0.3
sample_05282_MST_6,unknown,0.3
sample_01531_MST_2,palm,0.9
sample_05600_MST_6,palm,0.9
sample_08672_MST_9,palm,0.9
sample_01701_MST_2,unknown,0.3
sample_01273_MST_2,unknown,0.3
sample_00697_MST_1,palm,0.9
sample_01138_MST_2,unknown,0.3
sample_04487_MST_5,unknown,0.3
sample_01255_MST_2,unknown,0.3
sample_08361_MST_9,palm,0.9
sample_09343_MST_10,palm,0.9
sample_03297_MST_4,palm,0.9
sample_09102_MST_10,four,0.8
sample_08934_MST_9,palm,0.9
sample_02689_MST_3,unknown,0.3
sample_08097_MST_9,palm,0.9
sample_02925_MST_3,palm,0.9
sample_02792_MST_3,unknown,0.3
sample_09289_MST_10,palm,0.9
sample_00655_MST_1,unknown,0.3
sample_03988_MST_4,palm,0.9
sample_02007_MST_3,unknown,0.3
sample_03443_MST_4,unknown,0.3
sample_00326_MST_1,palm,0.9
sample_09111_MST_10,palm,0.9
sample_03144_MST_4,palm,0.9
sample_00753_MST_1,palm,0.9
sample_02652_MST_3,palm,0.9
sample_03567_MST_4,unknown,0.3
sample_07467_MST_8,unknown,0.3
sample_09568_MST_10,palm,0.9
sample_01299_MST_2,four,0.8
sample_03149_MST_4,unknown,0.3
sample_01748_MST_2,unknown,0.3
sample_05901_MST_6,palm,0.9
sample_02161_MST_3,unknown,0.3
sample_03148_MST_4,unknown,0.3
sample_09943_MST_10,palm,0.9
sample_01747_MST_2,unknown,0.3
sample_01658_MST_2,palm,0.9
sample_05705_MST_6,unknown,0.3
sample_00888_MST_1,palm,0.9
sample_00639_MST_1,palm,0.9
sample_03100_MST_4,unknown,0.3
sample_02831_MST_3,four,0.8
sample_01457_MST_2,palm,0.9
sample_07324_MST_8,unknown,0.3
sample_02836_MST_3,unknown,0.3
sample_00715_MST_1,palm,0.9
sample_02528_MST_3,palm,0.9
sample_01278_MST_2,unknown,0.3
sample_03154_MST_4,palm,0.9
sample_02318_MST_3,palm,0.9
sample_07824_MST_8,unknown,0.3
sample_01019_MST_2,unknown,0.3
sample_06370_MST_7,palm,0.9
sample_09873_MST_10,palm,0.9
sample_09874_MST_10,unknown,0.3
sample_01915_MST_2,unknown,0.3
sample_00839_MST_1,palm,0.9
sample_08548_MST_9,palm,0.9
sample_00321_MST_1,palm,0.9
sample_01803_MST_2,unknown,0.3
sample_03820_MST_4,palm,0.9
sample_02183_MST_3,four,0.8
sample_02259_MST_3,three,0.7
sample_00518_MST_1,palm,0.9
sample_00279_MST_1,unknown,0.3
sample_00158_MST_1,unknown,0.3
sample_01627_MST_2,unknown,0.3
sample_00630_MST_1,palm,0.9
sample_03764_MST_4,unknown,0.3
sample_01098_MST_2,palm,0.9
sample_07679_MST_8,unknown,0.3
sample_09364_MST_10,unknown,0.3
sample_02153_MST_3,palm,0.9
sample_03295_MST_4,palm,0.9
sample_02981_MST_3,palm,0.9
sample_07646_MST_8,unknown,0.3
sample_01884_MST_2,palm,0.9
sample_00535_MST_1,unknown,0.3
sample_01696_MST_2,palm,0.9
sample_01706_MST_2,palm,0.9
sample_01076_MST_2,palm,0.9
sample_02124_MST_3,palm,0.9
sample_03511_MST_4,unknown,0.3
sample_09134_MST_10,palm,0.9
sample_02076_MST_3,unknown,0.3
sample_09590_MST_10,palm,0.9
sample_01693_MST_2,palm,0.9
sample_03861_MST_4,unknown,0.3
sample_01602_MST_2,palm,0.9
sample_00149_MST_1,four,0.8
sample_07740_MST_8,unknown,0.3
sample_08907_MST_9,three,0.7
sample_04585_MST_5,palm,0.9
sample_05609_MST_6,unknown,0.3
sample_06395_MST_7,unknown,0.3
sample_01837_MST_2,unknown,0.3
sample_02291_MST_3,unknown,0.3
sample_02846_MST_3,unknown,0.3
sample_09807_MST_10,palm,0.9
sample_09850_MST_10,unknown,0.3
sample_02164_MST_3,four,0.8
sample_07307_MST_8,palm,0.9
sample_02690_MST_3,palm,0.9
sample_09398_MST_10,palm,0.9
sample_00706_MST_1,palm,0.9
sample_00343_MST_1,unknown,0.3
sample_03114_MST_4,unknown,0.3
sample_03095_MST_4,palm,0.9
sample_01810_MST_2,palm,0.9
sample_07040_MST_8,palm,0.9
sample_00092_MST_1,palm,0.9
sample_02666_MST_3,palm,0.9
sample_00078_MST_1,three,0.7
sample_02224_MST_3,palm,0.9
sample_01719_MST_2,four,0.8
sample_02350_MST_3,unknown,0.3
sample_00052_MST_1,unknown,0.3
sample_01776_MST_2,unknown,0.3
sample_00040_MST_1,unknown,0.3
sample_01981_MST_2,unknown,0.3
sample_01074_MST_2,unknown,0.3
sample_01481_MST_2,unknown,0.3
sample_03257_MST_4,unknown,0.3
sample_07655_MST_8,unknown,0.3
sample_03265_MST_4,unknown,0.3
sample_09884_MST_10,palm,0.9
sample_09487_MST_10,palm,0.9
sample_00813_MST_1,palm,0.9
sample_03321_MST_4,palm,0.9
sample_03776_MST_4,unknown,0.3
sample_02267_MST_3,unknown,0.3
sample_02650_MST_3,palm,0.9
sample_03147_MST_4,unknown,0.3
sample_09915_MST_10,unknown,0.3
sample_04030_MST_5,palm,0.9
sample_03890_MST_4,unknown,0.3
sample_07843_MST_8,palm,0.9
sample_02489_MST_3,palm,0.9
sample_07041_MST_8,palm,0.9
sample_03227_MST_4,unknown,0.3
sample_00215_MST_1,unknown,0.3
sample_09971_MST_10,palm,0.9
sample_03562_MST_4,palm,0.9
sample_00660_MST_1,palm,0.9
sample_07096_MST_8,palm,0.9
sample_02339_MST_3,unknown,0.3
sample_09714_MST_10,palm,0.9
sample_00416_MST_1,unknown,0.3
sample_02630_MST_3,palm,0.9
sample_00696_MST_1,palm,0.9
sample_04584_MST_5,unknown,0.3
sample_02692_MST_3,unknown,0.3
sample_03087_MST_4,unknown,0.3
sample_05163_MST_6,four,0.8
sample_02058_MST_3,unknown,0.3
sample_08571_MST_9,palm,0.9
sample_02512_MST_3,palm,0.9
sample_03778_MST_4,palm,0.9
sample_02983_MST_3,palm,0.9
sample_09629_MST_10,palm,0.9
sample_00379_MST_1,palm,0.9
sample_06453_MST_7,palm,0.9
sample_09734_MST_10,unknown,0.3
sample_09423_MST_10,unknown,0.3
sample_00034_MST_1,unknown,0.3
sample_02838_MST_3,palm,0.9
sample_00959_MST_1,palm,0.9
sample_03601_MST_4,unknown,0.3
sample_01948_MST_2,palm,0.9
sample_00636_MST_1,palm,0.9
sample_07861_MST_8,palm,0.9
sample_03292_MST_4,four,0.8
sample_00498_MST_1,palm,0.9
sample_02933_MST_3,palm,0.9
sample_07616_MST_8,unknown,0.3
sample_09641_MST_10,palm,0.9
sample_04558_MST_5,palm,0.9
sample_09635_MST_10,unknown,0.3
sample_08282_MST_9,palm,0.9
sample_03495_MST_4,palm,0.9
sample_03683_MST_4,four,0.8
sample_00682_MST_1,palm,0.9
sample_01521_MST_2,palm,0.9
sample_00104_MST_1,palm,0.9
sample_01891_MST_2,four,0.8
sample_02049_MST_3,unknown,0.3
sample_01030_MST_2,unknown,0.3
sample_00164_MST_1,palm,0.9
sample_00610_MST_1,palm,0.9
sample_02194_MST_3,palm,0.9
sample_02292_MST_3,palm,0.9
