sample_id,suggested_label,confidence,path_landmarks,cluster,final_suggestion
sample_02038_MST_3,unknown,0.3,data/processed/landmarks/sample_02038_MST_3.npy,3,ambiguous
sample_01614_MST_2,unknown,0.3,data/processed/landmarks/sample_01614_MST_2.npy,2,ambiguous
sample_09359_MST_10,unknown,0.3,data/processed/landmarks/sample_09359_MST_10.npy,4,ambiguous
sample_00521_MST_1,palm,0.9,data/processed/landmarks/sample_00521_MST_1.npy,10,ambiguous
sample_01268_MST_2,palm,0.9,data/processed/landmarks/sample_01268_MST_2.npy,2,ambiguous
sample_00742_MST_1,unknown,0.3,data/processed/landmarks/sample_00742_MST_1.npy,1,ambiguous
sample_03847_MST_4,unknown,0.3,data/processed/landmarks/sample_03847_MST_4.npy,10,ambiguous
sample_01242_MST_2,unknown,0.3,data/processed/landmarks/sample_01242_MST_2.npy,9,ambiguous
sample_02231_MST_3,palm,0.9,data/processed/landmarks/sample_02231_MST_3.npy,8,ambiguous
sample_02892_MST_3,palm,0.9,data/processed/landmarks/sample_02892_MST_3.npy,11,ambiguous
sample_02865_MST_3,unknown,0.3,data/processed/landmarks/sample_02865_MST_3.npy,2,ambiguous
sample_00386_MST_1,palm,0.9,data/processed/landmarks/sample_00386_MST_1.npy,11,ambiguous
sample_00236_MST_1,palm,0.9,data/processed/landmarks/sample_00236_MST_1.npy,3,ambiguous
sample_03573_MST_4,palm,0.9,data/processed/landmarks/sample_03573_MST_4.npy,0,ambiguous
sample_02545_MST_3,unknown,0.3,data/processed/landmarks/sample_02545_MST_3.npy,0,ambiguous
sample_00804_MST_1,palm,0.9,data/processed/landmarks/sample_00804_MST_1.npy,3,ambiguous
sample_07811_MST_8,unknown,0.3,data/processed/landmarks/sample_07811_MST_8.npy,0,ambiguous
sample_01358_MST_2,palm,0.9,data/processed/landmarks/sample_01358_MST_2.npy,8,ambiguous
sample_02091_MST_3,four,0.8,data/processed/landmarks/sample_02091_MST_3.npy,4,ambiguous
sample_07401_MST_8,palm,0.9,data/processed/landmarks/sample_07401_MST_8.npy,11,ambiguous
sample_06437_MST_7,unknown,0.3,data/processed/landmarks/sample_06437_MST_7.npy,4,ambiguous
sample_06769_MST_7,unknown,0.3,data/processed/landmarks/sample_06769_MST_7.npy,8,ambiguous
sample_01476_MST_2,palm,0.9,data/processed/landmarks/sample_01476_MST_2.npy,0,ambiguous
sample_03479_MST_4,palm,0.9,data/processed/landmarks/sample_03479_MST_4.npy,1,ambiguous
sample_01759_MST_2,unknown,0.3,data/processed/landmarks/sample_01759_MST_2.npy,4,ambiguous
sample_00058_MST_1,unknown,0.3,data/processed/landmarks/sample_00058_MST_1.npy,0,ambiguous
sample_03444_MST_4,unknown,0.3,data/processed/landmarks/sample_03444_MST_4.npy,0,ambiguous
sample_03379_MST_4,palm,0.9,data/processed/landmarks/sample_03379_MST_4.npy,2,ambiguous
sample_01304_MST_2,palm,0.9,data/processed/landmarks/sample_01304_MST_2.npy,10,ambiguous
sample_08857_MST_9,palm,0.9,data/processed/landmarks/sample_08857_MST_9.npy,2,ambiguous
sample_02066_MST_3,unknown,0.3,data/processed/landmarks/sample_02066_MST_3.npy,8,ambiguous
sample_00011_MST_1,palm,0.9,data/processed/landmarks/sample_00011_MST_1.npy,0,ambiguous
sample_07332_MST_8,palm,0.9,data/processed/landmarks/sample_07332_MST_8.npy,2,ambiguous
sample_00579_MST_1,unknown,0.3,data/processed/landmarks/sample_00579_MST_1.npy,5,ambiguous
sample_03658_MST_4,unknown,0.3,data/processed/landmarks/sample_03658_MST_4.npy,3,ambiguous
sample_03237_MST_4,unknown,0.3,data/processed/landmarks/sample_03237_MST_4.npy,2,ambiguous
sample_07218_MST_8,palm,0.9,data/processed/landmarks/sample_07218_MST_8.npy,3,ambiguous
sample_00525_MST_1,palm,0.9,data/processed/landmarks/sample_00525_MST_1.npy,11,ambiguous
sample_03073_MST_4,unknown,0.3,data/processed/landmarks/sample_03073_MST_4.npy,3,ambiguous
sample_03548_MST_4,palm,0.9,data/processed/landmarks/sample_03548_MST_4.npy,4,ambiguous
sample_02093_MST_3,unknown,0.3,data/processed/landmarks/sample_02093_MST_3.npy,3,ambiguous
sample_00230_MST_1,unknown,0.3,data/processed/landmarks/sample_00230_MST_1.npy,11,ambiguous
sample_00464_MST_1,palm,0.9,data/processed/landmarks/sample_00464_MST_1.npy,6,palm
sample_03710_MST_4,unknown,0.3,data/processed/landmarks/sample_03710_MST_4.npy,2,ambiguous
sample_02487_MST_3,unknown,0.3,data/processed/landmarks/sample_02487_MST_3.npy,0,ambiguous
sample_03552_MST_4,four,0.8,data/processed/landmarks/sample_03552_MST_4.npy,2,ambiguous
sample_02639_MST_3,palm,0.9,data/processed/landmarks/sample_02639_MST_3.npy,1,ambiguous
sample_01426_MST_2,unknown,0.3,data/processed/landmarks/sample_01426_MST_2.npy,2,ambiguous
sample_08589_MST_9,unknown,0.3,data/processed/landmarks/sample_08589_MST_9.npy,0,ambiguous
sample_02276_MST_3,unknown,0.3,data/processed/landmarks/sample_02276_MST_3.npy,2,ambiguous
sample_01144_MST_2,unknown,0.3,data/processed/landmarks/sample_01144_MST_2.npy,9,ambiguous
sample_04854_MST_5,unknown,0.3,data/processed/landmarks/sample_04854_MST_5.npy,2,ambiguous
sample_03054_MST_4,unknown,0.3,data/processed/landmarks/sample_03054_MST_4.npy,4,ambiguous
sample_08750_MST_9,unknown,0.3,data/processed/landmarks/sample_08750_MST_9.npy,2,ambiguous
sample_03372_MST_4,unknown,0.3,data/processed/landmarks/sample_03372_MST_4.npy,9,ambiguous
sample_03725_MST_4,unknown,0.3,data/processed/landmarks/sample_03725_MST_4.npy,2,ambiguous
sample_01265_MST_2,palm,0.9,data/processed/landmarks/sample_01265_MST_2.npy,8,ambiguous
sample_03607_MST_4,palm,0.9,data/processed/landmarks/sample_03607_MST_4.npy,9,ambiguous
sample_08842_MST_9,palm,0.9,data/processed/landmarks/sample_08842_MST_9.npy,2,ambiguous
sample_00317_MST_1,unknown,0.3,data/processed/landmarks/sample_00317_MST_1.npy,9,ambiguous
sample_02379_MST_3,unknown,0.3,data/processed/landmarks/sample_02379_MST_3.npy,2,ambiguous
sample_07881_MST_8,palm,0.9,data/processed/landmarks/sample_07881_MST_8.npy,0,ambiguous
sample_08134_MST_9,four,0.8,data/processed/landmarks/sample_08134_MST_9.npy,3,ambiguous
sample_02855_MST_3,palm,0.9,data/processed/landmarks/sample_02855_MST_3.npy,3,ambiguous
sample_00308_MST_1,unknown,0.3,data/processed/landmarks/sample_00308_MST_1.npy,4,ambiguous
sample_00139_MST_1,unknown,0.3,data/processed/landmarks/sample_00139_MST_1.npy,4,ambiguous
sample_03484_MST_4,palm,0.9,data/processed/landmarks/sample_03484_MST_4.npy,8,ambiguous
sample_02209_MST_3,palm,0.9,data/processed/landmarks/sample_02209_MST_3.npy,2,ambiguous
sample_01037_MST_2,palm,0.9,data/processed/landmarks/sample_01037_MST_2.npy,3,ambiguous
sample_01529_MST_2,unknown,0.3,data/processed/landmarks/sample_01529_MST_2.npy,11,ambiguous
sample_09191_MST_10,unknown,0.3,data/processed/landmarks/sample_09191_MST_10.npy,10,ambiguous
sample_08681_MST_9,palm,0.9,data/processed/landmarks/sample_08681_MST_9.npy,2,ambiguous
sample_01841_MST_2,palm,0.9,data/processed/landmarks/sample_01841_MST_2.npy,0,ambiguous
sample_00787_MST_1,unknown,0.3,data/processed/landmarks/sample_00787_MST_1.npy,9,ambiguous
sample_00566_MST_1,palm,0.9,data/processed/landmarks/sample_00566_MST_1.npy,8,ambiguous
sample_01167_MST_2,unknown,0.3,data/processed/landmarks/sample_01167_MST_2.npy,0,ambiguous
sample_01729_MST_2,unknown,0.3,data/processed/landmarks/sample_01729_MST_2.npy,2,ambiguous
sample_05159_MST_6,unknown,0.3,data/processed/landmarks/sample_05159_MST_6.npy,9,ambiguous
sample_00297_MST_1,unknown,0.3,data/processed/landmarks/sample_00297_MST_1.npy,8,ambiguous
sample_00679_MST_1,unknown,0.3,data/processed/landmarks/sample_00679_MST_1.npy,0,ambiguous
sample_01150_MST_2,four,0.8,data/processed/landmarks/sample_01150_MST_2.npy,9,ambiguous
sample_00704_MST_1,palm,0.9,data/processed/landmarks/sample_00704_MST_1.npy,11,ambiguous
sample_01741_MST_2,palm,0.9,data/processed/landmarks/sample_01741_MST_2.npy,0,ambiguous
sample_00568_MST_1,unknown,0.3,data/processed/landmarks/sample_00568_MST_1.npy,4,ambiguous
sample_00752_MST_1,palm,0.9,data/processed/landmarks/sample_00752_MST_1.npy,9,ambiguous
sample_00471_MST_1,palm,0.9,data/processed/landmarks/sample_00471_MST_1.npy,10,ambiguous
sample_09570_MST_10,palm,0.9,data/processed/landmarks/sample_09570_MST_10.npy,3,ambiguous
sample_09696_MST_10,four,0.8,data/processed/landmarks/sample_09696_MST_10.npy,3,ambiguous
sample_01493_MST_2,unknown,0.3,data/processed/landmarks/sample_01493_MST_2.npy,2,ambiguous
sample_02868_MST_3,unknown,0.3,data/processed/landmarks/sample_02868_MST_3.npy,4,ambiguous
sample_03794_MST_4,unknown,0.3,data/processed/landmarks/sample_03794_MST_4.npy,3,ambiguous
sample_00245_MST_1,unknown,0.3,data/processed/landmarks/sample_00245_MST_1.npy,2,ambiguous
sample_00891_MST_1,palm,0.9,data/processed/landmarks/sample_00891_MST_1.npy,0,ambiguous
sample_00953_MST_1,unknown,0.3,data/processed/landmarks/sample_00953_MST_1.npy,9,ambiguous
sample_03318_MST_4,palm,0.9,data/processed/landmarks/sample_03318_MST_4.npy,0,ambiguous
sample_02020_MST_3,unknown,0.3,data/processed/landmarks/sample_02020_MST_3.npy,3,ambiguous
sample_09788_MST_10,palm,0.9,data/processed/landmarks/sample_09788_MST_10.npy,0,ambiguous
sample_01986_MST_2,palm,0.9,data/processed/landmarks/sample_01986_MST_2.npy,2,ambiguous
sample_03834_MST_4,unknown,0.3,data/processed/landmarks/sample_03834_MST_4.npy,7,ambiguous
sample_03311_MST_4,palm,0.9,data/processed/landmarks/sample_03311_MST_4.npy,2,ambiguous
sample_09299_MST_10,unknown,0.3,data/processed/landmarks/sample_09299_MST_10.npy,9,ambiguous
sample_09789_MST_10,palm,0.9,data/processed/landmarks/sample_09789_MST_10.npy,2,ambiguous
sample_03356_MST_4,unknown,0.3,data/processed/landmarks/sample_03356_MST_4.npy,9,ambiguous
sample_08686_MST_9,unknown,0.3,data/processed/landmarks/sample_08686_MST_9.npy,3,ambiguous
sample_07458_MST_8,unknown,0.3,data/processed/landmarks/sample_07458_MST_8.npy,4,ambiguous
sample_00631_MST_1,unknown,0.3,data/processed/landmarks/sample_00631_MST_1.npy,0,ambiguous
sample_02402_MST_3,unknown,0.3,data/processed/landmarks/sample_02402_MST_3.npy,4,ambiguous
sample_05328_MST_6,palm,0.9,data/processed/landmarks/sample_05328_MST_6.npy,0,ambiguous
sample_02200_MST_3,unknown,0.3,data/processed/landmarks/sample_02200_MST_3.npy,0,ambiguous
sample_03304_MST_4,four,0.8,data/processed/landmarks/sample_03304_MST_4.npy,0,ambiguous
sample_02421_MST_3,unknown,0.3,data/processed/landmarks/sample_02421_MST_3.npy,11,ambiguous
sample_02546_MST_3,palm,0.9,data/processed/landmarks/sample_02546_MST_3.npy,3,ambiguous
sample_02810_MST_3,palm,0.9,data/processed/landmarks/sample_02810_MST_3.npy,2,ambiguous
sample_00811_MST_1,unknown,0.3,data/processed/landmarks/sample_00811_MST_1.npy,9,ambiguous
sample_03344_MST_4,palm,0.9,data/processed/landmarks/sample_03344_MST_4.npy,2,ambiguous
sample_04128_MST_5,palm,0.9,data/processed/landmarks/sample_04128_MST_5.npy,9,ambiguous
sample_09385_MST_10,four,0.8,data/processed/landmarks/sample_09385_MST_10.npy,3,ambiguous
sample_00163_MST_1,palm,0.9,data/processed/landmarks/sample_00163_MST_1.npy,8,ambiguous
sample_01718_MST_2,unknown,0.3,data/processed/landmarks/sample_01718_MST_2.npy,2,ambiguous
sample_03939_MST_4,palm,0.9,data/processed/landmarks/sample_03939_MST_4.npy,11,ambiguous
sample_02786_MST_3,unknown,0.3,data/processed/landmarks/sample_02786_MST_3.npy,11,ambiguous
sample_03121_MST_4,palm,0.9,data/processed/landmarks/sample_03121_MST_4.npy,11,ambiguous
sample_03965_MST_4,four,0.8,data/processed/landmarks/sample_03965_MST_4.npy,3,ambiguous
sample_02562_MST_3,unknown,0.3,data/processed/landmarks/sample_02562_MST_3.npy,4,ambiguous
sample_02730_MST_3,unknown,0.3,data/processed/landmarks/sample_02730_MST_3.npy,4,ambiguous
sample_02031_MST_3,palm,0.9,data/processed/landmarks/sample_02031_MST_3.npy,2,ambiguous
sample_00517_MST_1,peace,0.8,data/processed/landmarks/sample_00517_MST_1.npy,10,ambiguous
sample_04486_MST_5,four,0.8,data/processed/landmarks/sample_04486_MST_5.npy,0,ambiguous
sample_03699_MST_4,palm,0.9,data/processed/landmarks/sample_03699_MST_4.npy,0,ambiguous
sample_03024_MST_4,palm,0.9,data/processed/landmarks/sample_03024_MST_4.npy,2,ambiguous
sample_03824_MST_4,unknown,0.3,data/processed/landmarks/sample_03824_MST_4.npy,2,ambiguous
sample_02929_MST_3,palm,0.9,data/processed/landmarks/sample_02929_MST_3.npy,11,ambiguous
sample_07449_MST_8,unknown,0.3,data/processed/landmarks/sample_07449_MST_8.npy,3,ambiguous
sample_02397_MST_3,palm,0.9,data/processed/landmarks/sample_02397_MST_3.npy,3,ambiguous
sample_00646_MST_1,unknown,0.3,data/processed/landmarks/sample_00646_MST_1.npy,0,ambiguous
sample_00875_MST_1,four,0.8,data/processed/landmarks/sample_00875_MST_1.npy,8,ambiguous
sample_02685_MST_3,palm,0.9,data/processed/landmarks/sample_02685_MST_3.npy,3,ambiguous
sample_08682_MST_9,unknown,0.3,data/processed/landmarks/sample_08682_MST_9.npy,4,ambiguous
sample_01396_MST_2,palm,0.9,data/processed/landmarks/sample_01396_MST_2.npy,4,ambiguous
sample_04705_MST_5,palm,0.9,data/processed/landmarks/sample_04705_MST_5.npy,0,ambiguous
sample_00912_MST_1,unknown,0.3,data/processed/landmarks/sample_00912_MST_1.npy,11,ambiguous
sample_08558_MST_9,unknown,0.3,data/processed/landmarks/sample_08558_MST_9.npy,3,ambiguous
sample_00346_MST_1,unknown,0.3,data/processed/landmarks/sample_00346_MST_1.npy,2,ambiguous
sample_06910_MST_7,unknown,0.3,data/processed/landmarks/sample_06910_MST_7.npy,2,ambiguous
sample_03418_MST_4,palm,0.9,data/processed/landmarks/sample_03418_MST_4.npy,0,ambiguous
sample_00043_MST_1,unknown,0.3,data/processed/landmarks/sample_00043_MST_1.npy,3,ambiguous
sample_03088_MST_4,unknown,0.3,data/processed/landmarks/sample_03088_MST_4.npy,2,ambiguous
sample_04452_MST_5,palm,0.9,data/processed/landmarks/sample_04452_MST_5.npy,11,ambiguous
sample_01643_MST_2,unknown,0.3,data/processed/landmarks/sample_01643_MST_2.npy,2,ambiguous
sample_00173_MST_1,palm,0.9,data/processed/landmarks/sample_00173_MST_1.npy,3,ambiguous
sample_02851_MST_3,unknown,0.3,data/processed/landmarks/sample_02851_MST_3.npy,11,ambiguous
sample_09078_MST_10,unknown,0.3,data/processed/landmarks/sample_09078_MST_10.npy,3,ambiguous
sample_01791_MST_2,unknown,0.3,data/processed/landmarks/sample_01791_MST_2.npy,3,ambiguous
sample_08739_MST_9,palm,0.9,data/processed/landmarks/sample_08739_MST_9.npy,3,ambiguous
sample_01771_MST_2,palm,0.9,data/processed/landmarks/sample_01771_MST_2.npy,3,ambiguous
sample_02057_MST_3,unknown,0.3,data/processed/landmarks/sample_02057_MST_3.npy,0,ambiguous
sample_07607_MST_8,palm,0.9,data/processed/landmarks/sample_07607_MST_8.npy,3,ambiguous
sample_08606_MST_9,unknown,0.3,data/processed/landmarks/sample_08606_MST_9.npy,10,ambiguous
sample_03975_MST_4,four,0.8,data/processed/landmarks/sample_03975_MST_4.npy,2,ambiguous
sample_02297_MST_3,unknown,0.3,data/processed/landmarks/sample_02297_MST_3.npy,3,ambiguous
sample_00848_MST_1,palm,0.9,data/processed/landmarks/sample_00848_MST_1.npy,4,ambiguous
sample_01993_MST_2,unknown,0.3,data/processed/landmarks/sample_01993_MST_2.npy,2,ambiguous
sample_08358_MST_9,unknown,0.3,data/processed/landmarks/sample_08358_MST_9.npy,0,ambiguous
sample_07267_MST_8,unknown,0.3,data/processed/landmarks/sample_07267_MST_8.npy,3,ambiguous
sample_09990_MST_10,peace,0.8,data/processed/landmarks/sample_09990_MST_10.npy,4,ambiguous
sample_00557_MST_1,palm,0.9,data/processed/landmarks/sample_00557_MST_1.npy,2,ambiguous
sample_02384_MST_3,palm,0.9,data/processed/landmarks/sample_02384_MST_3.npy,7,ambiguous
sample_00112_MST_1,unknown,0.3,data/processed/landmarks/sample_00112_MST_1.npy,2,ambiguous
sample_00869_MST_1,palm,0.9,data/processed/landmarks/sample_00869_MST_1.npy,3,ambiguous
sample_08063_MST_9,palm,0.9,data/processed/landmarks/sample_08063_MST_9.npy,2,ambiguous
sample_09311_MST_10,four,0.8,data/processed/landmarks/sample_09311_MST_10.npy,0,ambiguous
sample_00438_MST_1,palm,0.9,data/processed/landmarks/sample_00438_MST_1.npy,2,ambiguous
sample_05697_MST_6,unknown,0.3,data/processed/landmarks/sample_05697_MST_6.npy,10,ambiguous
sample_09892_MST_10,palm,0.9,data/processed/landmarks/sample_09892_MST_10.npy,2,ambiguous
sample_07272_MST_8,unknown,0.3,data/processed/landmarks/sample_07272_MST_8.npy,2,ambiguous
sample_01365_MST_2,palm,0.9,data/processed/landmarks/sample_01365_MST_2.npy,11,ambiguous
sample_05974_MST_6,palm,0.9,data/processed/landmarks/sample_05974_MST_6.npy,0,ambiguous
sample_00445_MST_1,palm,0.9,data/processed/landmarks/sample_00445_MST_1.npy,2,ambiguous
sample_07493_MST_8,palm,0.9,data/processed/landmarks/sample_07493_MST_8.npy,4,ambiguous
sample_03644_MST_4,palm,0.9,data/processed/landmarks/sample_03644_MST_4.npy,2,ambiguous
sample_00342_MST_1,unknown,0.3,data/processed/landmarks/sample_00342_MST_1.npy,8,ambiguous
sample_02428_MST_3,unknown,0.3,data/processed/landmarks/sample_02428_MST_3.npy,1,ambiguous
sample_02395_MST_3,unknown,0.3,data/processed/landmarks/sample_02395_MST_3.npy,11,ambiguous
sample_08913_MST_9,palm,0.9,data/processed/landmarks/sample_08913_MST_9.npy,3,ambiguous
sample_02021_MST_3,four,0.8,data/processed/landmarks/sample_02021_MST_3.npy,2,ambiguous
sample_04187_MST_5,palm,0.9,data/processed/landmarks/sample_04187_MST_5.npy,3,ambiguous
sample_05512_MST_6,four,0.8,data/processed/landmarks/sample_05512_MST_6.npy,3,ambiguous
sample_08149_MST_9,unknown,0.3,data/processed/landmarks/sample_08149_MST_9.npy,4,ambiguous
sample_00273_MST_1,palm,0.9,data/processed/landmarks/sample_00273_MST_1.npy,11,ambiguous
sample_02622_MST_3,palm,0.9,data/processed/landmarks/sample_02622_MST_3.npy,3,ambiguous
sample_08735_MST_9,palm,0.9,data/processed/landmarks/sample_08735_MST_9.npy,0,ambiguous
sample_01226_MST_2,palm,0.9,data/processed/landmarks/sample_01226_MST_2.npy,2,ambiguous
sample_09017_MST_10,palm,0.9,data/processed/landmarks/sample_09017_MST_10.npy,2,ambiguous
sample_01487_MST_2,unknown,0.3,data/processed/landmarks/sample_01487_MST_2.npy,4,ambiguous
sample_03977_MST_4,palm,0.9,data/processed/landmarks/sample_03977_MST_4.npy,0,ambiguous
sample_01212_MST_2,unknown,0.3,data/processed/landmarks/sample_01212_MST_2.npy,11,ambiguous
sample_02705_MST_3,palm,0.9,data/processed/landmarks/sample_02705_MST_3.npy,2,ambiguous
sample_00352_MST_1,unknown,0.3,data/processed/landmarks/sample_00352_MST_1.npy,4,ambiguous
sample_01646_MST_2,palm,0.9,data/processed/landmarks/sample_01646_MST_2.npy,3,ambiguous
sample_01712_MST_2,palm,0.9,data/processed/landmarks/sample_01712_MST_2.npy,3,ambiguous
sample_07453_MST_8,palm,0.9,data/processed/landmarks/sample_07453_MST_8.npy,2,ambiguous
sample_03621_MST_4,palm,0.9,data/processed/landmarks/sample_03621_MST_4.npy,2,ambiguous
sample_01637_MST_2,unknown,0.3,data/processed/landmarks/sample_01637_MST_2.npy,8,ambiguous
sample_09506_MST_10,four,0.8,data/processed/landmarks/sample_09506_MST_10.npy,5,ambiguous
sample_02739_MST_3,palm,0.9,data/processed/landmarks/sample_02739_MST_3.npy,3,ambiguous
sample_09851_MST_10,unknown,0.3,data/processed/landmarks/sample_09851_MST_10.npy,0,ambiguous
sample_07720_MST_8,palm,0.9,data/processed/landmarks/sample_07720_MST_8.npy,10,ambiguous
sample_02207_MST_3,palm,0.9,data/processed/landmarks/sample_02207_MST_3.npy,8,ambiguous
sample_09520_MST_10,palm,0.9,data/processed/landmarks/sample_09520_MST_10.npy,4,ambiguous
sample_03357_MST_4,palm,0.9,data/processed/landmarks/sample_03357_MST_4.npy,1,ambiguous
sample_00291_MST_1,four,0.8,data/processed/landmarks/sample_00291_MST_1.npy,0,ambiguous
sample_00802_MST_1,unknown,0.3,data/processed/landmarks/sample_00802_MST_1.npy,2,ambiguous
sample_00440_MST_1,unknown,0.3,data/processed/landmarks/sample_00440_MST_1.npy,8,ambiguous
sample_01376_MST_2,three,0.7,data/processed/landmarks/sample_01376_MST_2.npy,2,ambiguous
sample_07470_MST_8,palm,0.9,data/processed/landmarks/sample_07470_MST_8.npy,3,ambiguous
sample_03020_MST_4,palm,0.9,data/processed/landmarks/sample_03020_MST_4.npy,2,ambiguous
sample_00501_MST_1,palm,0.9,data/processed/landmarks/sample_00501_MST_1.npy,2,ambiguous
sample_02969_MST_3,unknown,0.3,data/processed/landmarks/sample_02969_MST_3.npy,0,ambiguous
sample_00713_MST_1,palm,0.9,data/processed/landmarks/sample_00713_MST_1.npy,7,ambiguous
sample_02681_MST_3,four,0.8,data/processed/landmarks/sample_02681_MST_3.npy,3,ambiguous
sample_02288_MST_3,unknown,0.3,data/processed/landmarks/sample_02288_MST_3.npy,0,ambiguous
sample_03255_MST_4,palm,0.9,data/processed/landmarks/sample_03255_MST_4.npy,2,ambiguous
sample_01241_MST_2,unknown,0.3,data/processed/landmarks/sample_01241_MST_2.npy,8,ambiguous
sample_02296_MST_3,unknown,0.3,data/processed/landmarks/sample_02296_MST_3.npy,1,ambiguous
sample_09923_MST_10,unknown,0.3,data/processed/landmarks/sample_09923_MST_10.npy,10,ambiguous
sample_07046_MST_8,unknown,0.3,data/processed/landmarks/sample_07046_MST_8.npy,2,ambiguous
sample_02534_MST_3,palm,0.9,data/processed/landmarks/sample_02534_MST_3.npy,3,ambiguous
sample_01408_MST_2,palm,0.9,data/processed/landmarks/sample_01408_MST_2.npy,8,ambiguous
sample_01629_MST_2,unknown,0.3,data/processed/landmarks/sample_01629_MST_2.npy,2,ambiguous
sample_00892_MST_1,palm,0.9,data/processed/landmarks/sample_00892_MST_1.npy,2,ambiguous
sample_00595_MST_1,palm,0.9,data/processed/landmarks/sample_00595_MST_1.npy,2,ambiguous
sample_00808_MST_1,palm,0.9,data/processed/landmarks/sample_00808_MST_1.npy,1,ambiguous
sample_03911_MST_4,unknown,0.3,data/processed/landmarks/sample_03911_MST_4.npy,9,ambiguous
sample_09073_MST_10,unknown,0.3,data/processed/landmarks/sample_09073_MST_10.npy,3,ambiguous
sample_00796_MST_1,palm,0.9,data/processed/landmarks/sample_00796_MST_1.npy,3,ambiguous
sample_00788_MST_1,unknown,0.3,data/processed/landmarks/sample_00788_MST_1.npy,3,ambiguous
sample_03555_MST_4,palm,0.9,data/processed/landmarks/sample_03555_MST_4.npy,1,ambiguous
sample_00426_MST_1,palm,0.9,data/processed/landmarks/sample_00426_MST_1.npy,3,ambiguous
sample_05085_MST_6,palm,0.9,data/processed/landmarks/sample_05085_MST_6.npy,10,ambiguous
sample_03463_MST_4,palm,0.9,data/processed/landmarks/sample_03463_MST_4.npy,9,ambiguous
sample_08965_MST_9,unknown,0.3,data/processed/landmarks/sample_08965_MST_9.npy,3,ambiguous
sample_00451_MST_1,palm,0.9,data/processed/landmarks/sample_00451_MST_1.npy,7,ambiguous
sample_08036_MST_9,unknown,0.3,data/processed/landmarks/sample_08036_MST_9.npy,3,ambiguous
sample_01224_MST_2,unknown,0.3,data/processed/landmarks/sample_01224_MST_2.npy,2,ambiguous
sample_00381_MST_1,unknown,0.3,data/processed/landmarks/sample_00381_MST_1.npy,3,ambiguous
sample_09856_MST_10,unknown,0.3,data/processed/landmarks/sample_09856_MST_10.npy,3,ambiguous
sample_03123_MST_4,palm,0.9,data/processed/landmarks/sample_03123_MST_4.npy,2,ambiguous
sample_09843_MST_10,unknown,0.3,data/processed/landmarks/sample_09843_MST_10.npy,0,ambiguous
sample_09360_MST_10,unknown,0.3,data/processed/landmarks/sample_09360_MST_10.npy,0,ambiguous
sample_07642_MST_8,palm,0.9,data/processed/landmarks/sample_07642_MST_8.npy,2,ambiguous
sample_03754_MST_4,palm,0.9,data/processed/landmarks/sample_03754_MST_4.npy,3,ambiguous
sample_02223_MST_3,unknown,0.3,data/processed/landmarks/sample_02223_MST_3.npy,11,ambiguous
sample_00691_MST_1,four,0.8,data/processed/landmarks/sample_00691_MST_1.npy,2,ambiguous
