sample_id,suggested_label,confidence,path_landmarks,dist_ok,thumb_abduction,palm_arc,prox_T,prox_I,prox_M,prox_R,prox_P,cluster
sample_01268_MST_2,unknown,0.2,data/processed/landmarks/sample_01268_MST_2.npy,2.1475875,132.47,0.75657976,65.9129,58.417076,80.53173,100.49174,87.1884,3
sample_03847_MST_4,unknown,0.2,data/processed/landmarks/sample_03847_MST_4.npy,5.2780013,27.2476,1.8154203,66.42508,126.05675,43.050385,109.12621,91.20563,0
sample_02231_MST_3,unknown,0.2,data/processed/landmarks/sample_02231_MST_3.npy,0.3147335,12.49315,1.1649197,149.445,119.40719,52.95133,108.38255,138.14458,0
sample_00386_MST_1,unknown,0.2,data/processed/landmarks/sample_00386_MST_1.npy,1.9618174,58.5977,0.27635044,35.714165,84.59006,8.499093,103.07779,103.28303,0
sample_00236_MST_1,unknown,0.2,data/processed/landmarks/sample_00236_MST_1.npy,1.1440631,50.38008,0.77926034,113.2948,70.46439,40.880283,127.12847,83.344185,0
sample_03573_MST_4,unknown,0.2,data/processed/landmarks/sample_03573_MST_4.npy,1.3707864,71.297714,0.7861024,46.570293,169.7245,72.16178,27.531387,36.611027,5
sample_07811_MST_8,unknown,0.2,data/processed/landmarks/sample_07811_MST_8.npy,0.8622901,32.86869,0.7834923,127.92002,87.11475,130.20769,55.62939,100.039696,5
sample_01358_MST_2,unknown,0.2,data/processed/landmarks/sample_01358_MST_2.npy,2.1868649,69.62033,0.8636444,72.65435,146.0267,102.84499,100.040596,17.815783,4
sample_02091_MST_3,unknown,0.2,data/processed/landmarks/sample_02091_MST_3.npy,0.76273686,18.627874,0.61132526,138.98212,55.94619,109.16152,68.24621,87.15457,1
sample_01476_MST_2,unknown,0.2,data/processed/landmarks/sample_01476_MST_2.npy,1.4393537,53.824783,1.5411488,167.0196,110.397125,102.7144,16.369646,89.1362,5
sample_01759_MST_2,unknown,0.2,data/processed/landmarks/sample_01759_MST_2.npy,2.414226,136.01025,2.0361524,104.211075,51.18643,169.94325,92.08262,92.38274,4
sample_03444_MST_4,unknown,0.2,data/processed/landmarks/sample_03444_MST_4.npy,0.8955727,42.571156,1.3385202,94.50783,57.954063,137.40958,77.8202,110.18232,1
sample_01304_MST_2,unknown,0.2,data/processed/landmarks/sample_01304_MST_2.npy,1.2975322,27.729256,1.5002108,146.01205,117.27385,52.56747,48.84889,137.5075,0
sample_08857_MST_9,unknown,0.2,data/processed/landmarks/sample_08857_MST_9.npy,0.6392915,18.585909,0.56491274,115.31826,83.01395,135.68877,51.577682,131.22469,5
sample_03658_MST_4,unknown,0.2,data/processed/landmarks/sample_03658_MST_4.npy,1.3197513,59.75771,0.8506748,153.8297,40.676537,136.53093,54.31478,122.74359,5
sample_03073_MST_4,unknown,0.2,data/processed/landmarks/sample_03073_MST_4.npy,1.5241241,58.938828,0.6163209,63.82843,38.07055,72.11784,74.15032,143.21655,3
sample_02093_MST_3,unknown,0.2,data/processed/landmarks/sample_02093_MST_3.npy,2.3662918,159.96538,2.1822886,91.18325,115.8258,130.67859,158.88924,43.42152,4
sample_00464_MST_1,unknown,0.2,data/processed/landmarks/sample_00464_MST_1.npy,21.873732,64.30571,19.648731,42.34475,165.26332,125.85921,44.22224,102.74674,2
sample_03552_MST_4,unknown,0.2,data/processed/landmarks/sample_03552_MST_4.npy,1.8940727,76.868416,0.98785585,22.516785,66.04952,99.7019,160.83635,51.667023,1
sample_02639_MST_3,unknown,0.2,data/processed/landmarks/sample_02639_MST_3.npy,2.2898078,121.37015,2.277864,121.488976,121.54731,45.243725,73.378456,52.806385,4
sample_08589_MST_9,unknown,0.2,data/processed/landmarks/sample_08589_MST_9.npy,1.8168938,127.21112,1.7094718,58.169174,133.05344,47.02233,71.18638,116.642426,0
sample_02276_MST_3,unknown,0.2,data/processed/landmarks/sample_02276_MST_3.npy,1.543819,78.03186,1.0379459,86.72456,101.307495,172.96516,33.925987,70.10782,5
sample_01144_MST_2,unknown,0.2,data/processed/landmarks/sample_01144_MST_2.npy,1.686704,87.07405,2.5189865,103.43595,39.002766,83.24262,69.74767,113.79542,3
sample_03054_MST_4,unknown,0.2,data/processed/landmarks/sample_03054_MST_4.npy,9.036053,100.25175,2.7131321,28.3655,35.29084,115.193184,58.212437,119.53387,2
sample_03372_MST_4,unknown,0.2,data/processed/landmarks/sample_03372_MST_4.npy,2.240304,60.875805,4.059884,113.596725,107.3316,124.52554,26.682882,60.675137,5
sample_01265_MST_2,unknown,0.2,data/processed/landmarks/sample_01265_MST_2.npy,3.2737556,38.618885,3.9832819,137.69868,121.82681,50.02625,106.80005,90.65528,0
sample_03607_MST_4,unknown,0.2,data/processed/landmarks/sample_03607_MST_4.npy,2.406803,91.24394,1.8358519,83.70879,142.72325,16.919584,102.808426,144.49414,0
sample_08842_MST_9,unknown,0.2,data/processed/landmarks/sample_08842_MST_9.npy,0.9507141,29.098154,1.1788188,45.945244,72.144104,35.874134,87.03881,78.007324,0
sample_07881_MST_8,unknown,0.2,data/processed/landmarks/sample_07881_MST_8.npy,1.6190337,106.63864,1.3323988,73.288155,54.787098,41.00015,73.60643,75.33956,3
sample_02855_MST_3,unknown,0.2,data/processed/landmarks/sample_02855_MST_3.npy,1.9521492,110.24444,0.59662133,73.84083,38.11899,97.79075,133.19806,102.219215,3
sample_00308_MST_1,unknown,0.2,data/processed/landmarks/sample_00308_MST_1.npy,4.7365847,146.3767,1.4795209,38.988785,158.74924,98.44391,41.577213,141.63799,5
sample_02209_MST_3,unknown,0.2,data/processed/landmarks/sample_02209_MST_3.npy,1.5409708,63.81164,0.3903964,147.55626,71.30191,98.64679,51.201756,96.95007,5
sample_01037_MST_2,unknown,0.2,data/processed/landmarks/sample_01037_MST_2.npy,0.8032266,39.82869,0.9391597,16.468187,135.08163,113.00816,20.288942,165.9764,5
sample_08681_MST_9,unknown,0.2,data/processed/landmarks/sample_08681_MST_9.npy,1.8584615,123.68941,1.4641514,141.61853,133.05124,45.508526,58.065704,107.03157,3
sample_00566_MST_1,unknown,0.2,data/processed/landmarks/sample_00566_MST_1.npy,2.0809271,53.17369,1.1462615,141.42839,153.10197,21.226206,153.97243,112.327415,0
sample_01167_MST_2,unknown,0.2,data/processed/landmarks/sample_01167_MST_2.npy,0.9876807,74.22382,0.42612594,11.835395,93.135635,26.706964,74.26288,126.917076,0
sample_05159_MST_6,unknown,0.2,data/processed/landmarks/sample_05159_MST_6.npy,0.58468455,44.39415,1.8127823,113.95403,55.749004,12.142782,141.27478,56.938164,0
sample_00297_MST_1,unknown,0.2,data/processed/landmarks/sample_00297_MST_1.npy,2.130931,100.04495,0.44871637,128.77563,80.9786,99.49616,64.78194,58.498238,4
sample_01150_MST_2,unknown,0.2,data/processed/landmarks/sample_01150_MST_2.npy,2.780764,35.82598,2.6857293,103.373024,69.22906,42.071045,78.7152,45.4121,0
sample_00568_MST_1,unknown,0.2,data/processed/landmarks/sample_00568_MST_1.npy,3.09842,95.90044,1.112552,87.78317,171.13055,139.071,48.091152,146.66159,5
sample_00471_MST_1,unknown,0.2,data/processed/landmarks/sample_00471_MST_1.npy,3.0442615,139.70558,2.0640595,105.82562,93.34415,54.847755,96.01358,46.986496,4
sample_09570_MST_10,unknown,0.2,data/processed/landmarks/sample_09570_MST_10.npy,0.9991982,22.347715,0.6664591,57.080406,127.97755,78.74775,130.86868,51.557415,0
sample_02868_MST_3,unknown,0.2,data/processed/landmarks/sample_02868_MST_3.npy,4.298767,69.90612,1.6536334,43.39431,69.09724,49.312313,97.858826,98.843575,3
sample_00891_MST_1,unknown,0.2,data/processed/landmarks/sample_00891_MST_1.npy,2.2325945,103.61927,1.6960921,146.4026,92.605446,158.47821,130.51108,48.167934,4
sample_00953_MST_1,unknown,0.2,data/processed/landmarks/sample_00953_MST_1.npy,1.6066275,41.784527,4.700311,78.0789,89.05275,53.677452,53.801,139.88084,0
sample_02020_MST_3,unknown,0.2,data/processed/landmarks/sample_02020_MST_3.npy,2.2661762,123.26292,0.7735441,83.38391,112.83816,111.65702,36.98395,131.89124,5
sample_09788_MST_10,unknown,0.2,data/processed/landmarks/sample_09788_MST_10.npy,1.4424156,76.33507,1.6291349,154.1392,84.58251,109.32331,76.512375,8.558091,4
sample_03834_MST_4,unknown,0.2,data/processed/landmarks/sample_03834_MST_4.npy,4.4898143,79.38223,2.4291716,76.86018,118.67729,22.61045,69.99035,113.91844,0
sample_09299_MST_10,unknown,0.2,data/processed/landmarks/sample_09299_MST_10.npy,1.37507,64.34113,1.0790048,151.02072,113.592896,166.05867,20.434029,48.214073,5
sample_09789_MST_10,unknown,0.2,data/processed/landmarks/sample_09789_MST_10.npy,1.2274067,66.52737,0.6347907,168.01831,151.68707,43.775867,100.56923,166.37039,0
sample_03356_MST_4,unknown,0.2,data/processed/landmarks/sample_03356_MST_4.npy,3.5554252,162.56305,1.265979,144.74973,144.42065,69.61554,50.576492,135.1246,3
sample_02200_MST_3,unknown,0.2,data/processed/landmarks/sample_02200_MST_3.npy,1.2784249,50.3753,0.5681463,171.0116,40.749874,158.876,50.741417,27.466307,1
sample_00811_MST_1,unknown,0.2,data/processed/landmarks/sample_00811_MST_1.npy,1.8219188,73.67469,2.726871,62.6959,160.18164,129.3532,42.632694,52.94482,4
sample_04128_MST_5,unknown,0.2,data/processed/landmarks/sample_04128_MST_5.npy,0.89300084,20.511229,0.58761376,85.753296,75.22591,84.877975,33.635406,42.996506,1
sample_01718_MST_2,unknown,0.2,data/processed/landmarks/sample_01718_MST_2.npy,3.254702,49.166145,2.5212731,129.65187,115.1152,36.715603,82.59053,93.91428,0
sample_03939_MST_4,unknown,0.2,data/processed/landmarks/sample_03939_MST_4.npy,3.1921566,125.50938,2.0506165,47.6286,40.17276,76.529915,96.56927,74.50278,3
sample_03965_MST_4,unknown,0.2,data/processed/landmarks/sample_03965_MST_4.npy,1.0497804,36.88589,1.366703,125.5851,56.668804,70.27901,128.60454,147.57916,0
sample_02562_MST_3,unknown,0.2,data/processed/landmarks/sample_02562_MST_3.npy,1.7047805,55.224915,0.36483702,95.69394,156.4273,69.83529,31.064318,129.15466,5
sample_02730_MST_3,unknown,0.2,data/processed/landmarks/sample_02730_MST_3.npy,0.74761677,32.607697,1.3038142,53.939857,37.40617,168.66785,124.925835,100.421104,1
sample_02031_MST_3,unknown,0.2,data/processed/landmarks/sample_02031_MST_3.npy,2.1188273,166.66591,0.9611096,173.88614,88.499626,42.491344,138.83546,140.78409,3
sample_00517_MST_1,unknown,0.2,data/processed/landmarks/sample_00517_MST_1.npy,4.424072,137.93091,4.3531165,80.61729,102.049835,57.593334,145.95656,146.3033,2
sample_04486_MST_5,unknown,0.2,data/processed/landmarks/sample_04486_MST_5.npy,1.9332194,68.77563,1.2694769,150.15291,89.43289,35.761726,94.64558,97.07123,0
sample_03699_MST_4,unknown,0.2,data/processed/landmarks/sample_03699_MST_4.npy,1.8876519,88.60124,0.7188215,91.7681,164.37779,75.02636,33.302383,56.854877,5
sample_03024_MST_4,unknown,0.2,data/processed/landmarks/sample_03024_MST_4.npy,2.4112136,104.76809,0.3378422,123.91081,145.45218,79.54728,39.607975,111.73972,5
sample_03824_MST_4,unknown,0.2,data/processed/landmarks/sample_03824_MST_4.npy,2.1496232,62.766766,1.0118918,96.70414,114.23284,39.64907,124.28992,133.08217,0
sample_07449_MST_8,unknown,0.2,data/processed/landmarks/sample_07449_MST_8.npy,5.147823,146.42021,1.2354583,109.67941,115.23202,99.82101,68.85493,14.427273,4
sample_02397_MST_3,unknown,0.2,data/processed/landmarks/sample_02397_MST_3.npy,0.26797923,5.241871,0.42787808,30.960367,99.05356,159.3927,53.079014,74.09067,1
sample_00646_MST_1,unknown,0.2,data/processed/landmarks/sample_00646_MST_1.npy,2.92017,129.53886,0.8454905,79.105515,87.46544,44.064495,139.0179,78.86407,3
sample_02685_MST_3,unknown,0.2,data/processed/landmarks/sample_02685_MST_3.npy,0.9496314,31.23321,0.8332164,137.01527,156.10799,52.21622,136.62856,132.14629,0
sample_00912_MST_1,unknown,0.2,data/processed/landmarks/sample_00912_MST_1.npy,2.9293265,114.89748,1.5324554,75.495636,137.0876,68.56873,48.267014,115.16263,5
sample_06910_MST_7,unknown,0.2,data/processed/landmarks/sample_06910_MST_7.npy,0.7617587,67.47269,1.6086018,43.164204,136.91258,25.264936,98.43393,157.949,0
sample_03418_MST_4,unknown,0.2,data/processed/landmarks/sample_03418_MST_4.npy,2.2698858,119.05929,1.177106,84.34222,111.50395,56.871258,87.477066,37.429214,4
sample_03088_MST_4,unknown,0.2,data/processed/landmarks/sample_03088_MST_4.npy,1.4184664,65.64944,1.0473791,95.69484,120.42997,79.596115,174.3893,42.34435,1
sample_04452_MST_5,unknown,0.2,data/processed/landmarks/sample_04452_MST_5.npy,2.8186305,68.753265,0.26028356,51.910927,95.545,51.57317,82.361435,85.474625,0
sample_00173_MST_1,unknown,0.2,data/processed/landmarks/sample_00173_MST_1.npy,2.5503626,156.9527,1.9628032,117.105225,139.22537,125.1181,89.4726,47.122513,4
sample_01791_MST_2,unknown,0.2,data/processed/landmarks/sample_01791_MST_2.npy,0.47726244,21.402138,0.5788296,102.18297,104.09251,76.28802,109.91018,38.36376,1
sample_08739_MST_9,unknown,0.2,data/processed/landmarks/sample_08739_MST_9.npy,1.3059126,82.01681,0.7647343,77.77337,91.74714,146.8794,54.20789,109.49023,5
sample_02057_MST_3,unknown,0.2,data/processed/landmarks/sample_02057_MST_3.npy,4.109694,96.8687,3.6058714,65.97192,124.21592,82.70137,119.28468,45.076504,4
sample_08606_MST_9,unknown,0.2,data/processed/landmarks/sample_08606_MST_9.npy,3.3459694,79.10453,3.0398285,41.75905,150.67055,144.95464,82.44084,43.93246,4
sample_01993_MST_2,unknown,0.2,data/processed/landmarks/sample_01993_MST_2.npy,1.4534061,57.80845,0.57203627,160.81592,55.699318,115.61233,115.7348,117.863785,1
sample_08358_MST_9,unknown,0.2,data/processed/landmarks/sample_08358_MST_9.npy,0.92106783,47.856125,0.56234443,62.856247,42.879406,42.43104,84.463356,64.85287,1
sample_09990_MST_10,unknown,0.2,data/processed/landmarks/sample_09990_MST_10.npy,2.7723227,83.71297,1.0656217,116.30764,41.38483,124.44166,149.58775,65.930984,1
sample_00557_MST_1,unknown,0.2,data/processed/landmarks/sample_00557_MST_1.npy,2.1273155,79.84114,1.1132945,82.04701,52.982662,103.37244,101.285515,112.72154,3
sample_00112_MST_1,unknown,0.2,data/processed/landmarks/sample_00112_MST_1.npy,0.67663205,20.43768,1.7531824,56.919605,125.936905,170.82574,139.6741,43.11283,1
sample_09311_MST_10,unknown,0.2,data/processed/landmarks/sample_09311_MST_10.npy,1.0929366,37.326626,0.3650249,75.35295,70.01975,75.10894,64.5107,29.540775,1
sample_00438_MST_1,unknown,0.2,data/processed/landmarks/sample_00438_MST_1.npy,0.6267015,19.058666,1.475627,117.013565,51.17509,56.99973,36.79858,97.3262,1
sample_09892_MST_10,unknown,0.2,data/processed/landmarks/sample_09892_MST_10.npy,1.8504388,88.30556,0.56806546,134.3388,48.484333,37.31106,68.43562,87.37168,3
sample_01365_MST_2,unknown,0.2,data/processed/landmarks/sample_01365_MST_2.npy,1.8436334,30.52123,1.707386,140.5462,106.54123,90.540665,26.07983,80.22964,5
sample_05974_MST_6,unknown,0.2,data/processed/landmarks/sample_05974_MST_6.npy,0.9167048,30.230618,1.0862917,159.93686,101.116516,50.73329,81.3684,114.83751,0
sample_00445_MST_1,unknown,0.2,data/processed/landmarks/sample_00445_MST_1.npy,1.7991711,97.682304,1.1412379,107.034744,55.422554,87.95911,71.22583,146.16374,3
sample_07493_MST_8,unknown,0.2,data/processed/landmarks/sample_07493_MST_8.npy,8.892272,95.22111,6.561411,100.656525,75.38181,60.87844,51.410553,115.91948,2
sample_03644_MST_4,unknown,0.2,data/processed/landmarks/sample_03644_MST_4.npy,3.111784,128.08919,1.7215683,54.41011,90.45521,95.97881,78.78362,52.172955,4
sample_02395_MST_3,unknown,0.2,data/processed/landmarks/sample_02395_MST_3.npy,2.090661,88.50471,2.6006718,123.193,134.73367,132.09929,58.564346,64.38501,4
sample_08913_MST_9,unknown,0.2,data/processed/landmarks/sample_08913_MST_9.npy,0.49879408,12.196356,0.36547384,165.01622,90.34556,76.248116,130.56424,49.219116,1
sample_04187_MST_5,unknown,0.2,data/processed/landmarks/sample_04187_MST_5.npy,0.9564992,45.923008,0.38611123,21.973764,47.57999,41.779083,102.184105,90.28514,1
sample_05512_MST_6,unknown,0.2,data/processed/landmarks/sample_05512_MST_6.npy,1.711972,118.38029,1.6115301,172.35342,114.75746,70.94133,3.5229225,170.75249,5
sample_08149_MST_9,unknown,0.2,data/processed/landmarks/sample_08149_MST_9.npy,3.9255674,98.48967,1.5508918,156.49004,111.903435,104.17451,153.72197,46.571407,4
sample_00273_MST_1,unknown,0.2,data/processed/landmarks/sample_00273_MST_1.npy,3.7048066,100.086555,2.027391,64.68708,88.94685,48.960796,100.7252,57.82045,4
sample_01487_MST_2,unknown,0.2,data/processed/landmarks/sample_01487_MST_2.npy,3.0893202,95.773575,0.8842668,59.98758,41.372074,95.531006,75.72666,50.789062,1
sample_01646_MST_2,unknown,0.2,data/processed/landmarks/sample_01646_MST_2.npy,2.00141,75.22694,1.2710938,86.21745,61.90328,21.060339,160.29694,65.34701,0
sample_07453_MST_8,unknown,0.2,data/processed/landmarks/sample_07453_MST_8.npy,0.5574487,15.494109,1.1639705,81.20085,49.473583,108.57956,114.703415,62.171253,1
sample_02207_MST_3,unknown,0.2,data/processed/landmarks/sample_02207_MST_3.npy,1.2310044,97.53993,1.5369365,141.85597,138.41736,97.00807,36.98468,32.608643,4
sample_09520_MST_10,unknown,0.2,data/processed/landmarks/sample_09520_MST_10.npy,4.2916703,153.44563,2.211575,35.424847,43.20438,75.39688,129.9669,73.72174,3
sample_03357_MST_4,unknown,0.2,data/processed/landmarks/sample_03357_MST_4.npy,2.5770993,150.27924,1.2397854,33.010777,103.57936,161.71346,51.481014,121.95654,5
sample_01376_MST_2,unknown,0.2,data/processed/landmarks/sample_01376_MST_2.npy,2.5311232,127.10768,1.1614877,149.90134,144.9455,52.927887,152.79181,32.69551,4
sample_07470_MST_8,unknown,0.2,data/processed/landmarks/sample_07470_MST_8.npy,0.6809268,14.955749,2.1655343,132.61163,117.51232,93.14279,135.7775,52.57869,1
sample_02681_MST_3,unknown,0.2,data/processed/landmarks/sample_02681_MST_3.npy,1.6250595,125.95847,0.92917943,137.23401,155.19872,66.2599,53.480804,105.90917,5
sample_02288_MST_3,unknown,0.2,data/processed/landmarks/sample_02288_MST_3.npy,3.656412,106.72634,1.600429,99.47628,168.92291,50.06981,71.569885,45.502407,4
sample_01241_MST_2,unknown,0.2,data/processed/landmarks/sample_01241_MST_2.npy,2.9194553,71.90987,1.6415058,136.36635,102.959145,156.84515,127.34543,32.140404,4
sample_02534_MST_3,unknown,0.2,data/processed/landmarks/sample_02534_MST_3.npy,1.2541509,32.683155,0.28673983,94.09761,116.86956,98.64546,69.0298,40.57872,1
sample_01408_MST_2,unknown,0.2,data/processed/landmarks/sample_01408_MST_2.npy,1.192669,44.581,1.3444653,138.51012,61.158535,35.066048,117.192024,70.59976,0
sample_00595_MST_1,unknown,0.2,data/processed/landmarks/sample_00595_MST_1.npy,1.3901383,66.422424,2.1989245,59.90133,137.91464,15.66779,123.254745,37.492245,0
sample_09073_MST_10,unknown,0.2,data/processed/landmarks/sample_09073_MST_10.npy,0.6571137,11.133281,0.7493755,26.22234,108.37177,67.484375,48.444027,126.57282,0
sample_00796_MST_1,unknown,0.2,data/processed/landmarks/sample_00796_MST_1.npy,2.036663,121.1848,0.73984385,29.480942,54.253937,94.574104,26.249895,152.91875,5
sample_00788_MST_1,unknown,0.2,data/processed/landmarks/sample_00788_MST_1.npy,0.6868515,34.851948,0.65514165,112.07249,80.93682,46.435894,128.20955,81.68387,0
sample_03555_MST_4,unknown,0.2,data/processed/landmarks/sample_03555_MST_4.npy,2.44351,62.14789,5.385782,95.763016,61.37388,53.70949,104.447266,78.629196,2
sample_00451_MST_1,unknown,0.2,data/processed/landmarks/sample_00451_MST_1.npy,10.985745,98.51158,0.98157245,49.10098,135.7533,52.307953,126.139015,63.62644,2
sample_03754_MST_4,unknown,0.2,data/processed/landmarks/sample_03754_MST_4.npy,1.6047376,132.5562,1.5428364,161.62103,92.9224,41.27844,140.96909,109.48833,3
sample_02486_MST_3,unknown,0.2,data/processed/landmarks/sample_02486_MST_3.npy,1.6421148,82.41174,1.2148577,75.94274,57.769073,12.282491,61.132656,145.00557,3
sample_01200_MST_2,unknown,0.2,data/processed/landmarks/sample_01200_MST_2.npy,2.3831723,40.56473,1.4252944,61.43826,138.51634,73.01682,45.46464,174.27498,5
sample_00175_MST_1,unknown,0.2,data/processed/landmarks/sample_00175_MST_1.npy,1.3133111,28.948181,1.3360686,100.283615,102.363945,62.436096,114.944984,49.4862,0
sample_02104_MST_3,unknown,0.2,data/processed/landmarks/sample_02104_MST_3.npy,1.1889287,52.57599,0.39843947,41.372696,97.54817,112.82052,25.06387,88.307785,5
sample_07463_MST_8,unknown,0.2,data/processed/landmarks/sample_07463_MST_8.npy,2.2671702,94.265076,1.8424613,131.24692,64.62664,78.435776,70.92908,56.80626,3
sample_09994_MST_10,unknown,0.2,data/processed/landmarks/sample_09994_MST_10.npy,0.37187022,28.882294,1.3451382,115.880165,145.44043,138.65405,110.87042,50.980103,1
sample_02141_MST_3,unknown,0.2,data/processed/landmarks/sample_02141_MST_3.npy,1.035058,33.036934,1.3358794,75.88377,127.86676,56.32427,59.78995,124.46388,0
sample_03066_MST_4,unknown,0.2,data/processed/landmarks/sample_03066_MST_4.npy,0.6297917,13.289205,1.3554193,68.65166,48.731255,100.112656,154.22899,113.3063,1
sample_02523_MST_3,unknown,0.2,data/processed/landmarks/sample_02523_MST_3.npy,0.666645,18.626013,0.70538455,84.923256,35.743042,79.75377,99.3965,155.0521,1
sample_07517_MST_8,unknown,0.2,data/processed/landmarks/sample_07517_MST_8.npy,1.5696125,90.48166,0.6950695,142.75182,84.54796,57.814754,122.97236,155.04065,3
sample_02208_MST_3,unknown,0.2,data/processed/landmarks/sample_02208_MST_3.npy,2.2348657,9.719823,1.9489789,111.186966,98.006096,90.03072,57.29543,76.696045,5
sample_09623_MST_10,unknown,0.2,data/processed/landmarks/sample_09623_MST_10.npy,1.7515267,82.643,2.0771804,127.96764,49.01425,142.41406,61.924637,75.398636,1
sample_00998_MST_1,unknown,0.2,data/processed/landmarks/sample_00998_MST_1.npy,1.0314866,42.89465,1.0257174,107.38413,81.90945,133.19228,52.283905,110.7357,5
sample_02310_MST_3,unknown,0.2,data/processed/landmarks/sample_02310_MST_3.npy,1.3824977,48.741695,0.8718743,148.36938,113.09704,105.1761,121.41834,49.413773,1
sample_00208_MST_1,unknown,0.2,data/processed/landmarks/sample_00208_MST_1.npy,1.7878388,68.316025,1.0331442,129.03926,68.08662,51.86637,105.16839,76.54993,3
sample_09169_MST_10,unknown,0.2,data/processed/landmarks/sample_09169_MST_10.npy,1.779517,61.269787,1.3698399,24.154556,125.07074,116.00711,19.87725,105.88836,5
sample_02502_MST_3,unknown,0.2,data/processed/landmarks/sample_02502_MST_3.npy,0.42261547,19.188026,1.3055407,125.68042,100.83273,106.79282,33.248886,131.34702,5
sample_03197_MST_4,unknown,0.2,data/processed/landmarks/sample_03197_MST_4.npy,1.0883985,44.285,1.0315292,107.27809,133.83235,59.912033,79.93279,126.540886,0
sample_09068_MST_10,unknown,0.2,data/processed/landmarks/sample_09068_MST_10.npy,1.212484,71.037544,0.6850043,71.73967,150.1693,54.566998,132.52351,112.827644,0
sample_00315_MST_1,unknown,0.2,data/processed/landmarks/sample_00315_MST_1.npy,1.365881,53.442814,1.2749693,129.47643,113.252014,157.46895,109.557236,19.413229,1
sample_00938_MST_1,unknown,0.2,data/processed/landmarks/sample_00938_MST_1.npy,1.3597828,57.95754,0.40791646,59.006287,82.20615,132.75417,58.101658,64.81953,1
sample_08071_MST_9,unknown,0.2,data/processed/landmarks/sample_08071_MST_9.npy,1.2151849,29.690073,1.1252373,80.35703,78.215744,61.935696,18.566278,131.38857,5
sample_02103_MST_3,unknown,0.2,data/processed/landmarks/sample_02103_MST_3.npy,3.421425,162.66516,1.5964922,72.823105,111.884514,45.987595,66.35973,111.008385,3
sample_07388_MST_8,unknown,0.2,data/processed/landmarks/sample_07388_MST_8.npy,5.07308,89.41657,2.0610194,83.424416,167.68648,61.550026,84.379684,44.241917,4
sample_03580_MST_4,unknown,0.2,data/processed/landmarks/sample_03580_MST_4.npy,4.2805457,78.007385,2.8455238,98.03105,160.5453,5.0201244,102.92666,137.57271,0
