sample_id,label,mst,condition,correcto,attn_max_nodo
00e78371-4696-42e7-a6af-37bee20614cf,dislike,10,oscuro,1,20
abc625a9-1501-4e36-97fc-f62efe1f9295,stop_inverted,1,claro,1,12
0383e2a1-e8ea-4fb1-8fb8-d585b6cf280a,mute,3,claro,1,8
cba847bb-17b1-48b3-98cb-b8a58393670f,two_up,8,oscuro,1,11
04dbbddf-81bb-4ed4-b53b-156455bef4c8,one,4,claro,1,8
06983888-62ed-4e25-b701-354e983c3372,ok,8,oscuro,0,20
5cb21a04-a696-4218-8360-42579db02a5a,two_up,6,medio,1,12
00678bdb-55b1-46e1-a2e6-7ccb587870f9,ok,5,medio,1,20
020d20da-bd66-4709-9b7a-a37fe7cda6c2,mute,6,medio,1,8
02dc8d48-79af-4249-a6fd-4fa3cd75d353,dislike,6,medio,1,20
018a33f7-5624-42c6-8686-964a3ae48311,ok,1,claro,0,20
909b50aa-0f7c-4c7d-95c0-277a6a1d2e10,peace_inverted,10,oscuro,1,8
022fb692-c5c0-4e00-ac14-455bb4367a7b,one,7,medio,1,8
03b90a1c-0c5c-4d3d-93d2-cfbfabf5fd0f,peace,7,medio,0,11
47a34603-1429-4b86-acd5-56d635262bc2,stop_inverted,10,oscuro,0,1
0186657f-8eea-4361-804f-7ad6002835bb,ok,10,oscuro,1,1
13c9ac86-4335-4b9a-825c-f18ec8f86bc1,three,5,medio,1,15
03146d8f-15d9-406f-9934-61d869a97e0d,mute,10,oscuro,1,20
3ed7699a-99e8-4e8e-b8d2-dca182546208,three,7,medio,1,12
030b7472-0650-471b-bc78-527fb18c324b,rock,5,medio,1,20
00857019-2ed4-4723-9311-4654e8f1d03a,stop,2,claro,0,1
012932cd-b84a-4f8d-a1b9-d28af5f07359,rock,6,medio,1,19
0644de5a-1738-44ee-9399-5ca61dc05985,dislike,9,oscuro,1,20
7e478ba7-938d-4cc8-a3e0-6bd39ba0d714,two_up_inverted,2,claro,1,7
0089f3d7-6a04-4436-b8d0-454135e496ba,ok,2,claro,1,1
b4ab0e44-be32-4fc2-8bae-c2e38b807417,two_up_inverted,2,claro,0,8
00713c1a-007e-4651-bef5-09c4019f19c6,dislike,1,claro,1,20
052b7fcf-84c6-4fb4-aaca-9bb1cbb27c73,like,1,claro,0,1
416f5835-27fb-4691-bcad-ec4cf85293b6,three,2,claro,1,16
b9861ba0-3154-444f-ba86-a10a2f9bdf35,stop_inverted,1,claro,1,8
00ac6dfd-4e4c-40ac-9a16-1f411b4bb7f6,peace,3,claro,0,4
0151d388-a8e3-442d-8601-f721a7b6f1f5,rock,8,oscuro,1,20
0182dc90-3c8f-46f1-8ebb-f7e40cedf8c7,dislike,2,claro,1,18
005286fb-1c9e-45f9-b33a-5fed75d95f4b,two_up_inverted,8,oscuro,1,7
aeb684e1-83cb-458b-bfde-d55f035027b0,two_up_inverted,6,medio,1,8
005a09d1-e64f-4eb8-8592-6085867e97da,mute,7,medio,1,8
3db37e86-b730-4370-b0e8-72631f971372,peace_inverted,3,claro,1,8
9f6b5f0e-3653-4122-8cac-47cd7beae76f,peace_inverted,1,claro,1,8
03a6ef72-a1ab-4b20-b2a9-103d48f2fbea,stop,3,claro,1,11
c74c0d2f-2a63-485d-b04a-db598a27db7f,two_up_inverted,5,medio,1,8
01ef94c3-3ea7-4628-969a-7a224fa15b2d,ok,7,medio,1,16
11ced830-0993-4f0c-99f4-e1ea047b3368,stop_inverted,7,medio,1,7
016a9ac0-9257-4bb6-8291-d4b206fd4fb9,dislike,10,oscuro,1,19
002e5485-87dd-4b79-a9ef-c6a1d723e67b,dislike,5,medio,0,1
030b7472-0650-471b-bc78-527fb18c324b,rock,5,medio,1,20
955791a2-cf34-480a-b167-16ea78d90768,peace_inverted,10,oscuro,0,8
0115e737-7c43-4565-ad40-55f4fea7b6d1,stop,9,oscuro,1,12
0403b967-899e-491b-a29f-921e2d21148d,rock,6,medio,0,1
d2493be6-b897-49fd-af96-16d9502c7ab0,stop_inverted,1,claro,1,8
1c35d2b3-ad2d-4840-be01-dc5cb385f69a,three,8,oscuro,1,16
012d61ab-4619-4804-b263-a24c956f56b7,four,10,oscuro,1,20
200c3af1-0d72-465d-bb6d-b4e46d153a95,three2,8,oscuro,1,12
20ef6b19-76a2-4a3e-8212-5ceef3d85047,stop_inverted,7,medio,1,7
57974375-bb1c-447c-95c6-a7b23a69cbe6,stop_inverted,10,oscuro,1,8
4e09efa1-6d85-41e5-8909-4d812aa7b40c,peace_inverted,4,claro,1,8
00fd8914-530c-43b7-9b76-b457caed0160,fist,2,claro,1,20
0284f933-22e4-4ad4-844e-64e11286e20f,stop,9,oscuro,0,1
059d6174-f7e9-4549-93ca-49e9c079f0bc,one,6,medio,0,1
07eb3863-6caa-40e5-a7b2-162014d02c3f,fist,6,medio,1,20
d828cc5c-f063-4e6e-8a7f-b148990ad002,two_up_inverted,7,medio,1,8
05d41ba2-3745-48a4-b783-4f30a898aec0,fist,6,medio,1,20
06cf2846-61c0-4105-b8fb-567e67a56cc3,four,2,claro,1,1
41c51c65-0081-4c5c-949c-2f360ad4c94b,three,7,medio,1,16
790bf7f7-277b-494c-b253-ec084cd95a4e,three2,7,medio,1,11
051c1b08-6258-4154-bbe7-8bcde0775209,palm,10,oscuro,1,15
45f96fed-18c0-44ef-ac7e-40fc5eeea9e5,call,7,medio,1,4
2eb70e2d-edd7-4467-b46b-1c089515d4c6,three,1,claro,1,16
0151d388-a8e3-442d-8601-f721a7b6f1f5,rock,8,oscuro,1,20
01d4e5dd-ec87-49f2-9d82-b9c8b7fae70a,peace,10,oscuro,1,12
0714e8a3-121b-4ed5-ab0e-ce8dd1e6ca6b,palm,2,claro,1,16
02c27389-42db-4169-898d-76c9e8439335,palm,7,medio,0,16
03a97f1f-b622-482b-ade5-76c8769221a4,palm,2,claro,1,20
060e140b-97a3-4700-94d1-e95c1ef598fb,like,10,oscuro,1,4
00509e79-f0b8-41ac-9ccc-86f1f11d8079,stop,7,medio,1,12
04f86251-9ed7-4161-8fce-dc8d5d68d897,like,1,claro,1,4
080ae570-0229-4497-a2d6-db286ee14813,fist,9,oscuro,1,12
028930ac-4eec-4468-89ce-5fc1af2bfd23,mute,5,medio,1,8
1c297090-8d81-4671-a256-b99ac994c96d,call,7,medio,1,4
0010d045-051c-42b0-a322-02670867dd72,stop,5,medio,1,11
57f82338-1911-4925-8354-5fff9ddd7089,peace_inverted,1,claro,1,8
076e0e49-8129-49fb-86bd-2c260ddba632,like,6,medio,1,4
00255531-cffe-4682-82da-47438a0e6fb4,palm,9,oscuro,0,1
0003a570-72ec-44c8-b0dd-c3ce6bb98a08,two_up_inverted,10,oscuro,1,8
93aa0d1d-2d7c-417d-977e-91a9e41f7823,stop_inverted,2,claro,1,12
06093401-fce2-4434-9603-1261612f01d2,one,2,claro,0,4
5d3d6a28-98d9-4041-93d7-064a274132d9,stop_inverted,2,claro,1,8
0254066e-45c7-4f2c-a33f-c33f24f2d71c,fist,10,oscuro,1,20
07b1745e-2cae-4ada-bf07-23c498d179ab,palm,1,claro,1,15
03146d8f-15d9-406f-9934-61d869a97e0d,mute,10,oscuro,1,20
04f86251-9ed7-4161-8fce-dc8d5d68d897,like,1,claro,1,4
00642ef7-5555-4c53-ac69-67f3e36cdd04,palm,10,oscuro,1,16
02f7cfef-f807-4622-ab62-25ccdc34e35d,stop,8,oscuro,1,11
0154fd8c-2746-4869-adef-2ab0ee8a236f,one,1,claro,1,8
01cb61ac-5e2a-4c7a-ba0e-fa18197352f4,fist,2,claro,1,16
06c344d6-7c3a-4b38-90fb-540c1dbe4d47,ok,7,medio,1,20
04ddfe81-3790-483f-b29a-26b67529c973,mute,5,medio,1,8
018a33f7-5624-42c6-8686-964a3ae48311,ok,1,claro,0,20
3bdac70e-6161-4519-b672-763b1e2503c4,peace_inverted,10,oscuro,1,12
5b480cb2-c82e-4111-a079-0930c85c0310,call,1,claro,1,4
0695699e-c579-4dc1-8c4d-e69f20788cc0,one,5,medio,1,8
03563dfa-3a3e-492c-b73b-aa6bb670d263,mute,5,medio,1,8
5ed00387-230a-40f6-85dc-c5d149cb23d2,peace_inverted,3,claro,1,8
026c6346-9d79-4328-802c-3026f1a7df49,rock,6,medio,1,20
02424736-1c51-4ae7-baa9-c08bc12f5ec3,stop,5,medio,1,1
012d8a6b-8c04-4b15-8d73-04242de0ae92,palm,3,claro,1,15
02aa936d-4531-4579-b6a0-2755f7f6f2e5,mute,3,claro,1,20
034bab50-9607-4800-9885-52eb6e0ca292,stop,3,claro,1,19
0205289b-d357-4df7-8f1e-84da4f092735,one,5,medio,1,8
057c366c-78db-4b22-88db-853779fd5863,fist,7,medio,1,20
048f6985-83e4-417e-b744-5c8270884fd2,ok,6,medio,1,16
4c5944ac-040b-48ca-9baa-f3fe53fd18e4,two_up_inverted,9,oscuro,1,8
63323c2e-07a1-486f-97fa-4f7d9f4268ae,call,1,claro,1,4
343ec356-544b-47cb-acc7-e7d0d0fd111e,three,1,claro,1,11
05a82060-ad55-4b65-aac9-462d3153e857,palm,4,claro,1,20
0445d444-dff5-42db-a7ec-dcac25faabde,like,3,claro,1,4
02ea6444-1f9c-4eb5-ac7c-3fc341ea24d3,palm,1,claro,1,16
034bab50-9607-4800-9885-52eb6e0ca292,stop,3,claro,1,19
843cbafb-3486-45e3-888b-094de6bda6dd,peace_inverted,7,medio,1,8
a2bb141c-f84e-45b8-8d8c-da33e317fabe,three2,3,claro,1,12
045d5ac7-0495-4955-b1c9-a6c2737528e7,rock,10,oscuro,1,20
fac78e45-d942-465d-b619-4a6783f3e8b0,two_up_inverted,1,claro,0,8
2864bf2c-800b-4e18-83a5-3ed1018a8fc8,two_up_inverted,7,medio,1,7
0381b0db-827e-41bd-90a7-3f39144778de,ok,5,medio,1,19
033e8fa8-d6d2-4151-ae06-679266a4569a,one,1,claro,1,8
1c2f8644-2e3c-437c-8d8b-cdc87b20cfab,three,5,medio,1,15
38b675e9-6d10-48e6-9f41-2154e8229239,three,5,medio,1,16
0055c134-c63e-48af-b783-cbb7e50d5925,palm,6,medio,1,15
20ef6b19-76a2-4a3e-8212-5ceef3d85047,stop_inverted,7,medio,1,7
304deb71-6e3d-4be6-abc2-23272027cc66,three,5,medio,1,15
024a6d73-d324-44fe-b85e-4881b9821fa8,palm,1,claro,1,16
5e3974c8-a715-44a2-832b-aaab31373cbc,stop_inverted,7,medio,1,11
393d3a4a-2841-4e23-8c24-959f5e23b42a,call,2,claro,1,4
04a5fb87-8a7b-47b7-8d2e-7efd17972a60,one,6,medio,1,8
ec445721-c4c9-47ca-ac15-1985887c2da8,two_up_inverted,8,oscuro,1,8
761b2708-23a7-41bd-b76b-f32a9e0f2092,call,8,oscuro,1,4
aa34d7be-0d48-4be5-9ff8-210b4e3baf20,two_up_inverted,8,oscuro,1,7
0153a688-8dbf-4b2c-86a9-89f21a9ba276,fist,5,medio,1,20
00481821-8795-4011-bc0a-67f99fa53cac,dislike,8,oscuro,1,19
1c997c2d-d3af-4845-9f74-f6a1ddcb7bf1,two_up_inverted,9,oscuro,1,8
0390056d-9f9e-4e88-93cd-d5f0055a1b1d,rock,6,medio,1,20
41c51c65-0081-4c5c-949c-2f360ad4c94b,three,7,medio,1,16
7321d327-2230-40da-8e44-cce48f0a6411,three2,9,oscuro,1,1
02355348-6ac9-467d-b52f-1a740b9f8f2e,palm,5,medio,1,1
07b1745e-2cae-4ada-bf07-23c498d179ab,palm,1,claro,1,15
06a41c67-754a-43d6-b39f-7753cf40d110,fist,10,oscuro,1,4
073bf9eb-2d07-45d8-81e3-7cf933202839,palm,3,claro,1,12
0583dd64-f274-4533-99b2-4c47bf562b30,like,10,oscuro,0,4
023dab0c-feb3-4f8c-95c4-10b2c6bb9646,ok,6,medio,1,16
073503d5-918a-41f6-ae02-6a67e6c8de27,like,7,medio,1,4
8854a54b-2c01-44da-8206-d02ec89742f7,three2,9,oscuro,1,1
0361d2fd-f2d3-40a6-a1ed-d2c0afb2eaa5,rock,6,medio,0,4
2e0192c7-54e1-4f2c-aa80-7598e7b5a0e5,call,2,claro,1,4
0264faaa-a5e3-4187-8ede-11a7a73e2e11,three2,9,oscuro,1,12
003a238e-6ea2-48b0-ad4c-462f9dc655df,fist,4,claro,1,4
02115e99-917a-4784-80a4-b0ae81f3f725,like,7,medio,1,1
00e4a9b0-56fd-43e7-b389-7e398229af9f,one,2,claro,1,8
012d280f-4106-4ae6-ae5b-3b5bc6bd22ad,stop,1,claro,1,20
0b9af9d1-0cb8-46fb-a046-c0ec2ddf99fe,peace_inverted,10,oscuro,1,7
02dc8d48-79af-4249-a6fd-4fa3cd75d353,dislike,6,medio,1,20
59fb5cc9-a125-4cbf-8105-3efe013f033a,two_up_inverted,10,oscuro,1,8
066be32e-4045-48c5-9aad-0165ff7282f5,peace,1,claro,1,1
2eb70e2d-edd7-4467-b46b-1c089515d4c6,three,1,claro,1,16
0182dc90-3c8f-46f1-8ebb-f7e40cedf8c7,dislike,2,claro,1,18
1c35d2b3-ad2d-4840-be01-dc5cb385f69a,three,8,oscuro,1,16
06e6b6d9-92ad-4efd-b530-bf595608b314,ok,7,medio,0,15
61bcc40e-3ede-4715-a4f2-f84ca6661c0d,peace_inverted,6,medio,1,8
003a238e-6ea2-48b0-ad4c-462f9dc655df,fist,4,claro,1,4
03857ee6-1c0d-41ba-ad71-eb9429c7c055,rock,3,claro,1,20
06021754-9f26-4054-b998-e5156caf48fd,one,10,oscuro,1,20
41234315-a75f-4b80-b363-a2f1773c769a,peace_inverted,10,oscuro,1,8
0e5f176f-ff0e-45c0-bbba-06ac2846de76,three2,9,oscuro,0,4
031a45f8-01d7-4c78-a805-7ee0ebed11d1,stop,6,medio,1,1
030463ad-f7de-419b-bab9-3ab965150afd,one,2,claro,1,1
91423f22-13e1-4e46-9373-f355ac422939,two_up,2,claro,1,12
06bf18e1-3288-4647-9d3e-97f79d061392,like,2,claro,1,4
0669b6a5-9bac-487e-9c62-4c7d91920a6b,palm,6,medio,1,16
01be7af5-6529-480e-8727-b55a5608c863,like,3,claro,1,1
038718c5-a206-4141-ae05-5b4c09ede062,stop,5,medio,1,15
0810a4f3-64e2-4261-b4a5-946e7a8be4d9,two_up,2,claro,1,12
03505293-bf8d-43f1-89e1-386cb024aee6,two_up,3,claro,1,11
332fe237-4402-4917-8bb5-1e0710a9108e,three,10,oscuro,1,12
22d137a0-ef60-4b35-88b8-6075193d89e0,two_up,2,claro,0,8
577c276d-f78a-45a8-b31d-2d4e59d31a89,call,5,medio,0,1
022e0819-c91f-4494-8fd3-30e5da656838,palm,2,claro,0,1
02db8bf6-3fd5-4d69-9e8d-640bc105b44c,dislike,1,claro,1,20
19701ca6-02c2-4196-a452-04488736279e,three,3,claro,0,1
57c67b50-a3e8-4b73-8ff1-16b34c00c1b8,call,1,claro,1,4
b83f04d2-6172-4c1a-bd21-cea6d8757b04,three2,10,oscuro,1,11
01c9313e-c0d5-446e-a454-3673d4bc7dae,dislike,7,medio,0,1
05439db6-95f8-47fa-ab9f-860f154567ed,mute,6,medio,1,8
02afd59f-887a-4345-84db-d446cedc29b1,stop_inverted,1,claro,1,8
03505293-bf8d-43f1-89e1-386cb024aee6,two_up,3,claro,1,11
4d61236f-d6f4-4fb8-8c7f-fa0ac11e5e7a,peace_inverted,9,oscuro,1,8
03edcf00-2b0d-4576-bab8-da2bb5da14e2,dislike,3,claro,1,20
06999615-2e93-4f3a-ab24-4538454b597d,dislike,4,claro,1,20
32ac34ce-1555-4f90-adad-290e92430577,two_up_inverted,10,oscuro,0,8
06358daf-c33c-44db-a867-6224e08f2907,four,7,medio,1,16
1c2f8644-2e3c-437c-8d8b-cdc87b20cfab,three,5,medio,1,15
0d146971-895a-4de1-baa4-35a2b66f6b1d,three2,8,oscuro,1,1
06f95cc8-4e9f-409b-8a04-db1e325fae3a,palm,9,oscuro,0,1
65c78c9d-7bfa-45e8-b168-93fc1e50e5cb,two_up_inverted,3,claro,1,12
00e1370a-bb1f-4eda-982d-104f2e7e4245,rock,7,medio,1,20
3176496a-3b35-4b17-a32e-628cf1189679,three,3,claro,1,16
00987a96-2cdd-4a5f-95a8-457d358a13c1,rock,5,medio,1,20
5005f505-2ab6-4fb0-9789-32e9dbc7f874,two_up,9,oscuro,1,12
30656faf-d253-4576-9a07-025a0ea7d9f6,two_up_inverted,1,claro,1,8
8ef676e1-279b-45ed-954a-da5141812fce,two_up_inverted,2,claro,1,4
0773f55c-e3a4-4372-baa5-7fa0180ef340,palm,9,oscuro,1,15
072edfbe-2400-4af2-91dd-d8ab668a17a3,fist,9,oscuro,1,20
0240a3d7-7e33-478d-aab3-1ae80c779080,rock,6,medio,0,20
0fe9b538-58b2-49f8-94e3-803055af51ed,two_up,10,oscuro,1,12
02ef7428-f346-46e8-9732-bcff292845f1,rock,6,medio,1,19
4d4f9287-7d79-4981-9e0e-ab9040fb88b3,peace_inverted,5,medio,1,7
1579447f-6734-4297-a221-1f4846f8247b,peace_inverted,6,medio,1,8
04c868e3-55be-4e57-8d99-41bbea377613,rock,6,medio,1,19
ec8d9137-d2cf-44e5-8b0a-41de28a6d6fb,two_up_inverted,2,claro,1,12
00c77059-12b4-4334-93e5-545d100179fb,dislike,4,claro,1,1
00e4a9b0-56fd-43e7-b389-7e398229af9f,one,2,claro,1,8
005286fb-1c9e-45f9-b33a-5fed75d95f4b,two_up_inverted,8,oscuro,1,7
001c6f56-85cf-4e45-bfc1-1af53c0e501b,dislike,6,medio,1,1
dfbda925-2ae9-4df2-b88d-8fdb28b1caeb,two_up,5,medio,1,12
46dd8883-e2f3-4095-9de2-36a5559aebbc,two_up_inverted,7,medio,1,8
970d474a-a39e-4f51-a633-a9a6e2c38da3,stop_inverted,8,oscuro,1,11
02d24a11-4c33-4a56-9f93-4d9cc79c85e8,four,9,oscuro,1,20
837be6aa-5355-43ae-a254-3944932b6116,peace_inverted,2,claro,1,8
2f584995-b182-4f48-8655-fbe577b3cf95,three,7,medio,1,16
078f509f-e8ba-43ff-b0e5-5c40192c945e,fist,9,oscuro,1,14
65c78c9d-7bfa-45e8-b168-93fc1e50e5cb,two_up_inverted,3,claro,1,12
054d8515-ddf3-4fc9-b7ab-cf6d18ab1da3,palm,5,medio,1,16
014b8a0a-cc1a-471c-a57f-aec9c95a0f6e,palm,1,claro,1,1
027b34aa-20a1-4267-8765-08a47a46eee7,one,2,claro,1,20
215d97fe-3e7a-495d-ad70-8146a5ce503f,three,10,oscuro,1,16
05b9f9ab-6a12-4450-8cb5-7be7b2f22fd1,one,10,oscuro,1,8
075551fe-87ad-4d4a-9567-24b4c6e57c8d,two_up,7,medio,1,11
021d16d2-1553-497e-abe7-9a37c3d53afb,mute,8,oscuro,1,8
0361d2d9-a284-4a19-8790-9cfe5cc85083,dislike,5,medio,1,20
02ea6444-1f9c-4eb5-ac7c-3fc341ea24d3,palm,1,claro,1,16
02993c44-c3f5-44ff-a46d-259fc7a5a59a,mute,9,oscuro,0,1
94835e79-d051-408a-a27c-def3dfbf08f2,stop_inverted,8,oscuro,1,12
808128e8-63be-418c-ac7f-638cdd08013b,stop_inverted,10,oscuro,1,8
0108da19-0cf5-48ac-9b07-0145e4a2aa41,four,2,claro,1,15
0269cf93-2169-4740-b876-487926270336,one,6,medio,0,1
037fe95f-6dce-4253-85ae-0345c15d4545,ok,1,claro,1,20
04220c41-2bb0-4e80-80e0-8897ce47c2cf,three,4,claro,1,16
022316eb-4858-4077-8032-d85fce03bf1f,fist,5,medio,1,19
16b42dcd-04de-4aca-b99b-ba3f9bc34b15,stop_inverted,8,oscuro,1,12
76150f01-7134-4356-baa5-0724cc818d1d,two_up,9,oscuro,0,4
098243de-24a6-47a3-b4cc-333d0389b8ad,stop_inverted,6,medio,1,8
02b382be-6523-4322-8e19-50fc196288e5,peace,1,claro,1,11
147a1893-1689-4b65-86a0-adcee9d53889,peace_inverted,3,claro,1,8
b9861ba0-3154-444f-ba86-a10a2f9bdf35,stop_inverted,1,claro,1,8
01f81861-93cc-402a-9a0b-1f16f1683b09,dislike,8,oscuro,1,20
01fac68c-99d2-4779-a03c-8a4f96ccc150,mute,9,oscuro,1,8
663a2802-c9cd-4138-8401-218782a64e35,stop_inverted,10,oscuro,1,11
00ef3078-d903-4036-b822-2ccdffad11d0,one,10,oscuro,1,8
161fc79c-d316-42af-b45a-6f1f37b0d31d,three2,8,oscuro,1,12
036c44ca-1592-4b6a-9a3a-e2717899b499,four,2,claro,1,16
067afd51-b8c4-4163-b661-376f2e4a4031,palm,2,claro,1,8
00da9d0a-3c2b-4567-b062-efb14fb2338b,stop,9,oscuro,1,16
78b716c8-07dc-41c3-b284-1ae4e7fd1321,two_up_inverted,2,claro,1,12
0381b0db-827e-41bd-90a7-3f39144778de,ok,5,medio,1,19
03146d8f-15d9-406f-9934-61d869a97e0d,mute,10,oscuro,1,20
4befef33-8307-4b03-9744-bd836800e345,two_up,2,claro,0,12
11669d83-9430-4384-9637-eb7b6a3bbce0,two_up,7,medio,1,11
0412e2ba-1587-4674-ae01-ea07e40e65c4,mute,3,claro,1,8
703f9180-f6f1-4ad8-9807-f81bb2121f2b,two_up,1,claro,1,4
01cd940f-d31c-49f6-87a4-dd1f25d73c74,fist,5,medio,1,12
579fde92-2d38-4496-892d-1e62bcfedeee,call,10,oscuro,1,4
01f606f5-6e63-45df-baed-7e39b6eb1b22,palm,8,oscuro,0,20
01a20793-35c5-4e55-903f-34b5a0ac993e,peace,7,medio,1,12
022b7893-4fc7-4548-9ce9-0faaefaaf3c4,one,8,oscuro,1,8
3bfeb924-a734-4fa4-9b8b-28120eece65c,three2,6,medio,1,8
02067c70-933d-4c90-bbd9-806d6b132195,one,10,oscuro,1,8
ef5c17fc-b8ec-448d-8610-f5e61e2acd1d,two_up,10,oscuro,1,4
010c2809-9193-4ce6-842b-0675733071bf,stop,2,claro,1,16
02c48caa-5f36-4d54-ac27-23536df4e6ca,four,5,medio,1,15
03ab6869-a809-4761-b2ef-44046fc4931c,stop,10,oscuro,1,16
0201aba4-c5c3-43d5-8d18-2576d2614da1,palm,6,medio,1,20
01fb610a-1349-4030-b200-bd3d43f200d8,palm,4,claro,1,1
489a18f2-0665-4ef6-9a27-56720328251a,call,2,claro,1,4
3bdac70e-6161-4519-b672-763b1e2503c4,peace_inverted,10,oscuro,1,12
05386ed0-2716-4ee7-8231-b6470bf4de3b,dislike,3,claro,1,20
07261193-3063-40b9-972b-ec605636d7a6,four,7,medio,0,11
0148cde9-a86d-47a3-a0bf-ca4659042aab,dislike,6,medio,1,19
02a2f8ed-25dc-4a0c-bdb2-b84e7bc76d9b,ok,7,medio,1,19
02d6958d-b7ee-457a-9ef3-c17cc3cf90d3,three,6,medio,1,16
01ef94c3-3ea7-4628-969a-7a224fa15b2d,ok,7,medio,1,16
