sample_id,mst
freihand_00000323,4
freihand_00000324,5
freihand_00000325,6
freihand_00000326,7
freihand_00000327,8
freihand_00000328,9
freihand_00000329,10
freihand_00000330,1
freihand_00000331,2
freihand_00000332,3
freihand_00000333,4
freihand_00000334,5
freihand_00000335,6
freihand_00000336,7
freihand_00000337,8
freihand_00000338,9
freihand_00000339,10
freihand_00000340,1
freihand_00000341,2
freihand_00000342,3
freihand_00000343,4
freihand_00000344,5
freihand_00000345,6
freihand_00000346,7
freihand_00000347,8
freihand_00000348,9
freihand_00000349,10
freihand_00000350,1
freihand_00000351,2
freihand_00000352,3
freihand_00000353,4
freihand_00000354,5
freihand_00000355,6
freihand_00000356,7
freihand_00000357,8
freihand_00000358,9
freihand_00000359,10
freihand_00000360,1
freihand_00000361,2
freihand_00000362,3
freihand_00000363,4
freihand_00000364,5
freihand_00000365,6
freihand_00000366,7
freihand_00000367,8
freihand_00000368,9
freihand_00000369,10
freihand_00000370,1
freihand_00000371,2
freihand_00000372,3
freihand_00000373,4
freihand_00000374,5
freihand_00000375,6
freihand_00000376,7
freihand_00000377,8
freihand_00000378,9
freihand_00000379,10
freihand_00000380,1
freihand_00000381,2
freihand_00000382,3
freihand_00000383,4
freihand_00000384,5
freihand_00000385,6
freihand_00000386,7
freihand_00000387,8
freihand_00000388,9
freihand_00000389,10
freihand_00000390,1
freihand_00000391,2
freihand_00000392,3
freihand_00000393,4
freihand_00000394,5
freihand_00000395,6
freihand_00000396,7
freihand_00000397,8
freihand_00000398,9
freihand_00000399,10
freihand_00000400,1
freihand_00000401,2
freihand_00000402,3
freihand_00000403,4
freihand_00000404,5
freihand_00000405,6
freihand_00000406,7
freihand_00000407,8
freihand_00000408,9
freihand_00000409,10
freihand_00000410,1
freihand_00000411,2
freihand_00000412,3
freihand_00000413,4
freihand_00000414,5
freihand_00000415,6
freihand_00000416,7
freihand_00000417,8
freihand_00000418,9
freihand_00000419,10
freihand_00000420,1
freihand_00000421,2
freihand_00000422,3
freihand_00000423,4
freihand_00000424,5
freihand_00000425,6
freihand_00000426,7
freihand_00000427,8
freihand_00000428,9
freihand_00000429,10
freihand_00000430,1
freihand_00000431,2
freihand_00000432,3
freihand_00000433,4
freihand_00000434,5
freihand_00000435,6
freihand_00000436,7
freihand_00000437,8
freihand_00000438,9
freihand_00000439,10
freihand_00000440,1
freihand_00000441,2
freihand_00000442,3
freihand_00000443,4
freihand_00000444,5
freihand_00000445,6
freihand_00000446,7
freihand_00000447,8
freihand_00000448,9
freihand_00000449,10
freihand_00000450,1
freihand_00000451,2
freihand_00000452,3
freihand_00000453,4
freihand_00000454,5
freihand_00000455,6
freihand_00000456,7
freihand_00000457,8
freihand_00000458,9
freihand_00000459,10
freihand_00000460,1
freihand_00000461,2
freihand_00000462,3
freihand_00000463,4
freihand_00000464,5
freihand_00000465,6
freihand_00000466,7
freihand_00000467,8
freihand_00000468,9
freihand_00000469,10
freihand_00000470,1
freihand_00000471,2
freihand_00000472,3
freihand_00000473,4
freihand_00000474,5
freihand_00000475,6
freihand_00000476,7
freihand_00000477,8
freihand_00000478,9
freihand_00000479,10
freihand_00000480,1
freihand_00000481,2
freihand_00000482,3
freihand_00000483,4
freihand_00000484,5
freihand_00000485,6
freihand_00000486,7
freihand_00000487,8
freihand_00000488,9
freihand_00000489,10
freihand_00000490,1
freihand_00000491,2
freihand_00000492,3
freihand_00000493,4
freihand_00000494,5
freihand_00000495,6
freihand_00000496,7
freihand_00000497,8
freihand_00000498,9
freihand_00000499,10
freihand_00000500,1
freihand_00000501,2
freihand_00000502,3
freihand_00000503,4
freihand_00000504,5
freihand_00000505,6
freihand_00000506,7
freihand_00000507,8
freihand_00000508,9
freihand_00000509,10
freihand_00000510,1
freihand_00000511,2
freihand_00000512,3
freihand_00000513,4
freihand_00000514,5
freihand_00000515,6
freihand_00000516,7
freihand_00000517,8
freihand_00000518,9
freihand_00000519,10
freihand_00000520,1
freihand_00000521,2
freihand_00000522,3
freihand_00000523,4
freihand_00000524,5
freihand_00000525,6
freihand_00000526,7
freihand_00000527,8
freihand_00000528,9
freihand_00000529,10
freihand_00000530,1
freihand_00000531,2
freihand_00000532,3
freihand_00000533,4
freihand_00000534,5
freihand_00000535,6
freihand_00000536,7
freihand_00000537,8
freihand_00000538,9
freihand_00000539,10
freihand_00000540,1
freihand_00000541,2
freihand_00000542,3
freihand_00000543,4
freihand_00000544,5
freihand_00000545,6
freihand_00000546,7
freihand_00000547,8
freihand_00000548,9
freihand_00000549,10
freihand_00000550,1
freihand_00000551,2
freihand_00000552,3
freihand_00000553,4
freihand_00000554,5
freihand_00000555,6
freihand_00000556,7
freihand_00000557,8
freihand_00000558,9
freihand_00000559,10
freihand_00000560,1
freihand_00000561,2
freihand_00000562,3
freihand_00000563,4
freihand_00000564,5
freihand_00000565,6
freihand_00000566,7
freihand_00000567,8
freihand_00000568,9
freihand_00000569,10
freihand_00000570,1
freihand_00000571,2
freihand_00000572,3
freihand_00000573,4
freihand_00000574,5
freihand_00000575,6
freihand_00000576,7
freihand_00000577,8
freihand_00000578,9
freihand_00000579,10
freihand_00000580,1
freihand_00000581,2
freihand_00000582,3
freihand_00000583,4
freihand_00000584,5
freihand_00000585,6
freihand_00000586,7
freihand_00000587,8
freihand_00000588,9
freihand_00000589,10
freihand_00000590,1
freihand_00000591,2
freihand_00000592,3
freihand_00000593,4
freihand_00000594,5
freihand_00000595,6
freihand_00000596,7
freihand_00000597,8
freihand_00000598,9
freihand_00000599,10
freihand_00000600,1
freihand_00000601,2
freihand_00000602,3
freihand_00000603,4
freihand_00000604,5
freihand_00000605,6
freihand_00000606,7
freihand_00000607,8
freihand_00000608,9
freihand_00000609,10
freihand_00000610,1
freihand_00000611,2
freihand_00000612,3
freihand_00000613,4
freihand_00000614,5
freihand_00000615,6
freihand_00000616,7
freihand_00000617,8
freihand_00000618,9
freihand_00000619,10
freihand_00000620,1
freihand_00000621,2
freihand_00000622,3
freihand_00000623,4
freihand_00000624,5
freihand_00000625,6
freihand_00000626,7
freihand_00000627,8
freihand_00000628,9
freihand_00000629,10
freihand_00000630,1
freihand_00000631,2
freihand_00000632,3
freihand_00000633,4
freihand_00000634,5
freihand_00000635,6
freihand_00000636,7
freihand_00000637,8
freihand_00000638,9
freihand_00000639,10
freihand_00000640,1
freihand_00000641,2
freihand_00000642,3
freihand_00000643,4
freihand_00000644,5
freihand_00000645,6
freihand_00000646,7
freihand_00000647,8
freihand_00000648,9
freihand_00000649,10
freihand_00000650,1
freihand_00000651,2
freihand_00000652,3
freihand_00000653,4
freihand_00000654,5
freihand_00000655,6
freihand_00000656,7
freihand_00000657,8
freihand_00000658,9
freihand_00000659,10
freihand_00000660,1
freihand_00000661,2
freihand_00000662,3
freihand_00000663,4
freihand_00000664,5
freihand_00000665,6
freihand_00000666,7
freihand_00000667,8
freihand_00000668,9
freihand_00000669,10
freihand_00000670,1
freihand_00000671,2
freihand_00000672,3
freihand_00000673,4
freihand_00000674,5
freihand_00000675,6
freihand_00000676,7
freihand_00000677,8
freihand_00000678,9
freihand_00000679,10
freihand_00000680,1
freihand_00000681,2
freihand_00000682,3
freihand_00000683,4
freihand_00000684,5
freihand_00000685,6
freihand_00000686,7
freihand_00000687,8
freihand_00000688,9
freihand_00000689,10
freihand_00000690,1
freihand_00000691,2
freihand_00000692,3
freihand_00000693,4
freihand_00000694,5
freihand_00000695,6
freihand_00000696,7
freihand_00000697,8
freihand_00000698,9
freihand_00000699,10
freihand_00000700,1
freihand_00000701,2
freihand_00000702,3
freihand_00000703,4
freihand_00000704,5
freihand_00000705,6
freihand_00000706,7
freihand_00000707,8
freihand_00000708,9
freihand_00000709,10
freihand_00000710,1
freihand_00000711,2
freihand_00000712,3
freihand_00000713,4
freihand_00000714,5
freihand_00000715,6
freihand_00000716,7
freihand_00000717,8
freihand_00000718,9
freihand_00000719,10
freihand_00000720,1
freihand_00000721,2
freihand_00000722,3
freihand_00000723,4
freihand_00000724,5
freihand_00000725,6
freihand_00000726,7
freihand_00000727,8
freihand_00000728,9
freihand_00000729,10
freihand_00000730,1
freihand_00000731,2
freihand_00000732,3
freihand_00000733,4
freihand_00000734,5
freihand_00000735,6
freihand_00000736,7
freihand_00000737,8
freihand_00000738,9
freihand_00000739,10
freihand_00000740,1
freihand_00000741,2
freihand_00000742,3
freihand_00000743,4
freihand_00000744,5
freihand_00000745,6
freihand_00000746,7
freihand_00000747,8
freihand_00000748,9
freihand_00000749,10
freihand_00000750,1
freihand_00000751,2
freihand_00000752,3
freihand_00000753,4
freihand_00000754,5
freihand_00000755,6
freihand_00000756,7
freihand_00000757,8
freihand_00000758,9
freihand_00000759,10
freihand_00000760,1
freihand_00000761,2
freihand_00000762,3
freihand_00000763,4
freihand_00000764,5
freihand_00000765,6
freihand_00000766,7
freihand_00000767,8
freihand_00000768,9
freihand_00000769,10
freihand_00000770,1
freihand_00000771,2
freihand_00000772,3
freihand_00000773,4
freihand_00000774,5
freihand_00000775,6
freihand_00000776,7
freihand_00000777,8
freihand_00000778,9
freihand_00000779,10
freihand_00000780,1
freihand_00000781,2
freihand_00000782,3
freihand_00000783,4
freihand_00000784,5
freihand_00000785,6
freihand_00000786,7
freihand_00000787,8
freihand_00000788,9
freihand_00000789,10
freihand_00000790,1
freihand_00000791,2
freihand_00000792,3
freihand_00000793,4
freihand_00000794,5
freihand_00000795,6
freihand_00000796,7
freihand_00000797,8
freihand_00000798,9
freihand_00000799,10
freihand_00000800,1
freihand_00000801,2
freihand_00000802,3
freihand_00000803,4
freihand_00000804,5
freihand_00000805,6
freihand_00000806,7
freihand_00000807,8
freihand_00000808,9
freihand_00000809,10
freihand_00000810,1
freihand_00000811,2
freihand_00000812,3
freihand_00000813,4
freihand_00000814,5
freihand_00000815,6
freihand_00000816,7
freihand_00000817,8
freihand_00000818,9
freihand_00000819,10
freihand_00000820,1
freihand_00000821,2
freihand_00000822,3
freihand_00000823,4
freihand_00000824,5
freihand_00000825,6
freihand_00000826,7
freihand_00000827,8
freihand_00000828,9
freihand_00000829,10
freihand_00000830,1
freihand_00000831,2
freihand_00000832,3
freihand_00000833,4
freihand_00000834,5
freihand_00000835,6
freihand_00000836,7
freihand_00000837,8
freihand_00000838,9
freihand_00000839,10
freihand_00000840,1
freihand_00000841,2
freihand_00000842,3
freihand_00000843,4
freihand_00000844,5
freihand_00000845,6
freihand_00000846,7
freihand_00000847,8
freihand_00000848,9
freihand_00000849,10
freihand_00000850,1
freihand_00000851,2
freihand_00000852,3
freihand_00000853,4
freihand_00000854,5
freihand_00000855,6
freihand_00000856,7
freihand_00000857,8
freihand_00000858,9
freihand_00000859,10
freihand_00000860,1
freihand_00000861,2
freihand_00000862,3
freihand_00000863,4
freihand_00000864,5
freihand_00000865,6
freihand_00000866,7
freihand_00000867,8
freihand_00000868,9
freihand_00000869,10
freihand_00000870,1
freihand_00000871,2
freihand_00000872,3
freihand_00000873,4
freihand_00000874,5
freihand_00000875,6
freihand_00000876,7
freihand_00000877,8
freihand_00000878,9
freihand_00000879,10
freihand_00000880,1
freihand_00000881,2
freihand_00000882,3
freihand_00000883,4
freihand_00000884,5
freihand_00000885,6
freihand_00000886,7
freihand_00000887,8
freihand_00000888,9
freihand_00000889,10
freihand_00000890,1
freihand_00000891,2
freihand_00000892,3
freihand_00000893,4
freihand_00000894,5
freihand_00000895,6
freihand_00000896,7
freihand_00000897,8
freihand_00000898,9
freihand_00000899,10
freihand_00000900,1
freihand_00000901,2
freihand_00000902,3
freihand_00000903,4
freihand_00000904,5
freihand_00000905,6
freihand_00000906,7
freihand_00000907,8
freihand_00000908,9
freihand_00000909,10
freihand_00000910,1
freihand_00000911,2
freihand_00000912,3
freihand_00000913,4
freihand_00000914,5
freihand_00000915,6
freihand_00000916,7
freihand_00000917,8
freihand_00000918,9
freihand_00000919,10
freihand_00000920,1
freihand_00000921,2
freihand_00000922,3
freihand_00000923,4
freihand_00000924,5
freihand_00000925,6
freihand_00000926,7
freihand_00000927,8
freihand_00000928,9
freihand_00000929,10
freihand_00000930,1
freihand_00000931,2
freihand_00000932,3
freihand_00000933,4
freihand_00000934,5
freihand_00000935,6
freihand_00000936,7
freihand_00000937,8
freihand_00000938,9
freihand_00000939,10
freihand_00000940,1
freihand_00000941,2
freihand_00000942,3
freihand_00000943,4
freihand_00000944,5
freihand_00000945,6
freihand_00000946,7
freihand_00000947,8
freihand_00000948,9
freihand_00000949,10
freihand_00000950,1
freihand_00000951,2
freihand_00000952,3
freihand_00000953,4
freihand_00000954,5
freihand_00000955,6
freihand_00000956,7
freihand_00000957,8
freihand_00000958,9
freihand_00000959,10
freihand_00000960,1
freihand_00000961,2
freihand_00000962,3
freihand_00000963,4
freihand_00000964,5
freihand_00000965,6
freihand_00000966,7
freihand_00000967,8
freihand_00000968,9
freihand_00000969,10
freihand_00000970,1
freihand_00000971,2
freihand_00000972,3
freihand_00000973,4
freihand_00000974,5
freihand_00000975,6
freihand_00000976,7
freihand_00000977,8
freihand_00000978,9
freihand_00000979,10
freihand_00000980,1
freihand_00000981,2
freihand_00000982,3
freihand_00000983,4
freihand_00000984,5
freihand_00000985,6
freihand_00000986,7
freihand_00000987,8
freihand_00000988,9
freihand_00000989,10
freihand_00000990,1
freihand_00000991,2
freihand_00000992,3
freihand_00000993,4
freihand_00000994,5
freihand_00000995,6
freihand_00000996,7
freihand_00000997,8
freihand_00000998,9
freihand_00000999,10
freihand_00001000,1
freihand_00001001,2
freihand_00001002,3
freihand_00001003,4
freihand_00001004,5
freihand_00001005,6
freihand_00001006,7
freihand_00001007,8
freihand_00001008,9
freihand_00001009,10
freihand_00001010,1
freihand_00001011,2
freihand_00001012,3
freihand_00001013,4
freihand_00001014,5
freihand_00001015,6
freihand_00001016,7
freihand_00001017,8
freihand_00001018,9
freihand_00001019,10
freihand_00001020,1
freihand_00001021,2
freihand_00001022,3
freihand_00001023,4
freihand_00001024,5
freihand_00001025,6
freihand_00001026,7
freihand_00001027,8
freihand_00001028,9
freihand_00001029,10
freihand_00001030,1
freihand_00001031,2
freihand_00001032,3
freihand_00001033,4
freihand_00001034,5
freihand_00001035,6
freihand_00001036,7
freihand_00001037,8
freihand_00001038,9
freihand_00001039,10
freihand_00001040,1
freihand_00001041,2
freihand_00001042,3
freihand_00001043,4
freihand_00001044,5
freihand_00001045,6
freihand_00001046,7
freihand_00001047,8
freihand_00001048,9
freihand_00001049,10
freihand_00001050,1
freihand_00001051,2
freihand_00001052,3
freihand_00001053,4
freihand_00001054,5
freihand_00001055,6
freihand_00001056,7
freihand_00001057,8
freihand_00001058,9
freihand_00001059,10
freihand_00001060,1
freihand_00001061,2
freihand_00001062,3
freihand_00001063,4
freihand_00001064,5
freihand_00001065,6
freihand_00001066,7
freihand_00001067,8
freihand_00001068,9
freihand_00001069,10
freihand_00001070,1
freihand_00001071,2
freihand_00001072,3
freihand_00001073,4
freihand_00001074,5
freihand_00001075,6
freihand_00001076,7
freihand_00001077,8
freihand_00001078,9
freihand_00001079,10
freihand_00001080,1
freihand_00001081,2
freihand_00001082,3
freihand_00001083,4
freihand_00001084,5
freihand_00001085,6
freihand_00001086,7
freihand_00001087,8
freihand_00001088,9
freihand_00001089,10
freihand_00001090,1
freihand_00001091,2
freihand_00001092,3
freihand_00001093,4
freihand_00001094,5
freihand_00001095,6
freihand_00001096,7
freihand_00001097,8
freihand_00001098,9
freihand_00001099,10
freihand_00001100,1
freihand_00001101,2
freihand_00001102,3
freihand_00001103,4
freihand_00001104,5
freihand_00001105,6
freihand_00001106,7
freihand_00001107,8
freihand_00001108,9
freihand_00001109,10
freihand_00001110,1
freihand_00001111,2
freihand_00001112,3
freihand_00001113,4
freihand_00001114,5
freihand_00001115,6
freihand_00001116,7
freihand_00001117,8
freihand_00001118,9
freihand_00001119,10
freihand_00001120,1
freihand_00001121,2
freihand_00001122,3
freihand_00001123,4
freihand_00001124,5
freihand_00001125,6
freihand_00001126,7
freihand_00001127,8
freihand_00001128,9
freihand_00001129,10
freihand_00001130,1
freihand_00001131,2
freihand_00001132,3
freihand_00001133,4
freihand_00001134,5
freihand_00001135,6
freihand_00001136,7
freihand_00001137,8
freihand_00001138,9
freihand_00001139,10
freihand_00001140,1
freihand_00001141,2
freihand_00001142,3
freihand_00001143,4
freihand_00001144,5
freihand_00001145,6
freihand_00001146,7
freihand_00001147,8
freihand_00001148,9
freihand_00001149,10
freihand_00001150,1
freihand_00001151,2
freihand_00001152,3
freihand_00001153,4
freihand_00001154,5
freihand_00001155,6
freihand_00001156,7
freihand_00001157,8
freihand_00001158,9
freihand_00001159,10
freihand_00001160,1
freihand_00001161,2
freihand_00001162,3
freihand_00001163,4
freihand_00001164,5
freihand_00001165,6
freihand_00001166,7
freihand_00001167,8
freihand_00001168,9
freihand_00001169,10
freihand_00001170,1
freihand_00001171,2
freihand_00001172,3
freihand_00001173,4
freihand_00001174,5
freihand_00001175,6
freihand_00001176,7
freihand_00001177,8
freihand_00001178,9
freihand_00001179,10
freihand_00001180,1
freihand_00001181,2
freihand_00001182,3
freihand_00001183,4
freihand_00001184,5
freihand_00001185,6
freihand_00001186,7
freihand_00001187,8
freihand_00001188,9
freihand_00001189,10
freihand_00001190,1
freihand_00001191,2
freihand_00001192,3
freihand_00001193,4
freihand_00001194,5
freihand_00001195,6
freihand_00001196,7
freihand_00001197,8
freihand_00001198,9
freihand_00001199,10
freihand_00001200,1
freihand_00001201,2
freihand_00001202,3
freihand_00001203,4
freihand_00001204,5
freihand_00001205,6
freihand_00001206,7
freihand_00001207,8
freihand_00001208,9
freihand_00001209,10
freihand_00001210,1
freihand_00001211,2
freihand_00001212,3
freihand_00001213,4
freihand_00001214,5
freihand_00001215,6
freihand_00001216,7
freihand_00001217,8
freihand_00001218,9
freihand_00001219,10
freihand_00001220,1
freihand_00001221,2
freihand_00001222,3
freihand_00001223,4
freihand_00001224,5
freihand_00001225,6
freihand_00001226,7
freihand_00001227,8
freihand_00001228,9
freihand_00001229,10
freihand_00001230,1
freihand_00001231,2
freihand_00001232,3
freihand_00001233,4
freihand_00001234,5
freihand_00001235,6
freihand_00001236,7
freihand_00001237,8
freihand_00001238,9
freihand_00001239,10
freihand_00001240,1
freihand_00001241,2
freihand_00001242,3
freihand_00001243,4
freihand_00001244,5
freihand_00001245,6
freihand_00001246,7
freihand_00001247,8
freihand_00001248,9
freihand_00001249,10
freihand_00001250,1
freihand_00001251,2
freihand_00001252,3
freihand_00001253,4
freihand_00001254,5
freihand_00001255,6
freihand_00001256,7
freihand_00001257,8
freihand_00001258,9
freihand_00001259,10
freihand_00001260,1
freihand_00001261,2
freihand_00001262,3
freihand_00001263,4
freihand_00001264,5
freihand_00001265,6
freihand_00001266,7
freihand_00001267,8
freihand_00001268,9
freihand_00001269,10
freihand_00001270,1
freihand_00001271,2
freihand_00001272,3
freihand_00001273,4
freihand_00001274,5
freihand_00001275,6
freihand_00001276,7
freihand_00001277,8
freihand_00001278,9
freihand_00001279,10
freihand_00001280,1
freihand_00001281,2
freihand_00001282,3
freihand_00001283,4
freihand_00001284,5
freihand_00001285,6
freihand_00001286,7
freihand_00001287,8
freihand_00001288,9
freihand_00001289,10
freihand_00001290,1
freihand_00001291,2
freihand_00001292,3
freihand_00001293,4
freihand_00001294,5
freihand_00001295,6
freihand_00001296,7
freihand_00001297,8
freihand_00001298,9
freihand_00001299,10
freihand_00001300,1
freihand_00001301,2
freihand_00001302,3
freihand_00001303,4
freihand_00001304,5
freihand_00001305,6
freihand_00001306,7
freihand_00001307,8
freihand_00001308,9
freihand_00001309,10
freihand_00001310,1
freihand_00001311,2
freihand_00001312,3
freihand_00001313,4
freihand_00001314,5
freihand_00001315,6
freihand_00001316,7
freihand_00001317,8
freihand_00001318,9
freihand_00001319,10
freihand_00001320,1
freihand_00001321,2
freihand_00001322,3
freihand_00001323,4
freihand_00001324,5
freihand_00001325,6
freihand_00001326,7
freihand_00001327,8
freihand_00001328,9
freihand_00001329,10
freihand_00001330,1
freihand_00001331,2
freihand_00001332,3
freihand_00001333,4
freihand_00001334,5
freihand_00001335,6
freihand_00001336,7
freihand_00001337,8
freihand_00001338,9
freihand_00001339,10
freihand_00001340,1
freihand_00001341,2
freihand_00001342,3
freihand_00001343,4
freihand_00001344,5
freihand_00001345,6
freihand_00001346,7
freihand_00001347,8
freihand_00001348,9
freihand_00001349,10
freihand_00001350,1
freihand_00001351,2
freihand_00001352,3
freihand_00001353,4
freihand_00001354,5
freihand_00001355,6
freihand_00001356,7
freihand_00001357,8
freihand_00001358,9
freihand_00001359,10
freihand_00001360,1
freihand_00001361,2
freihand_00001362,3
freihand_00001363,4
freihand_00001364,5
freihand_00001365,6
freihand_00001366,7
freihand_00001367,8
freihand_00001368,9
freihand_00001369,10
freihand_00001370,1
freihand_00001371,2
freihand_00001372,3
freihand_00001373,4
freihand_00001374,5
freihand_00001375,6
freihand_00001376,7
freihand_00001377,8
freihand_00001378,9
freihand_00001379,10
freihand_00001380,1
freihand_00001381,2
freihand_00001382,3
freihand_00001383,4
freihand_00001384,5
freihand_00001385,6
freihand_00001386,7
freihand_00001387,8
freihand_00001388,9
freihand_00001389,10
freihand_00001390,1
freihand_00001391,2
freihand_00001392,3
freihand_00001393,4
freihand_00001394,5
freihand_00001395,6
freihand_00001396,7
freihand_00001397,8
