sample_id,source,gesture,mst,split,sampling_weight,augmentation_hint
freihand_00003769,freihand,unknown,10,train,2.0,
90164d61-9900-43ad-8a36-7052327b4a9a,hagrid,stop_inverted,,train,1.0,
freihand_00004645,freihand,unknown,6,train,1.0,
freihand_00000825,freihand,unknown,6,train,1.0,
1ad147d8-a6a0-45fa-9bea-b3e81041ae60,hagrid,three,,train,1.0,
05711c3f-a76a-4f32-a244-b889b53350eb,hagrid,mute,,train,1.0,
ae7f0178-1625-4f82-883c-9884686aacf2,hagrid,stop_inverted,,train,1.0,
0030467f-b54a-405d-b274-7225972f804d,hagrid,stop,,train,1.0,
02d6958d-b7ee-457a-9ef3-c17cc3cf90d3,hagrid,three,,train,1.0,
freihand_00002438,freihand,unknown,9,train,1.0,color_jitter_dark_candidate
freihand_00000156,freihand,unknown,7,train,1.0,
05b2befb-c601-421c-b8c6-aee1cdc6125e,hagrid,dislike,,train,1.0,
f7713264-f147-47f3-ace3-e3a8b1492e25,hagrid,stop_inverted,,train,1.0,
freihand_00001866,freihand,unknown,7,train,1.0,
010264ee-8689-4732-8796-3dc4f05bd659,hagrid,fist,,train,1.0,
freihand_00004279,freihand,unknown,10,train,2.0,
5aff47ad-b759-401b-ba90-9b77a8265f1d,hagrid,two_up,,train,1.0,
freihand_00000530,freihand,unknown,1,train,2.0,
048cb375-6ed6-42ce-ad37-032bba2cc27e,hagrid,like,,train,1.0,
1ad14459-e1ff-4a56-b77a-553af77a0d3b,hagrid,three,,train,1.0,
409f9cd7-9aca-4cb0-9667-5a1936d40368,hagrid,call,,train,1.0,
04c868e3-55be-4e57-8d99-41bbea377613,hagrid,rock,,train,1.0,
freihand_00003919,freihand,unknown,10,train,2.0,
freihand_00000991,freihand,unknown,2,train,2.0,
04e71991-caea-4ee3-975d-767fb5810887,hagrid,rock,,train,1.0,
89722ade-afa8-4524-b485-2cf05af2ebd2,hagrid,three2,,train,1.0,
freihand_00000017,freihand,unknown,8,train,1.0,color_jitter_dark_candidate
freihand_00002849,freihand,unknown,10,train,2.0,
freihand_00000545,freihand,unknown,6,train,1.0,
freihand_00000570,freihand,unknown,1,train,2.0,
0438a9b0-9ef0-4497-9117-818c8e1c7cc8,hagrid,mute,,train,1.0,
freihand_00004080,freihand,unknown,1,train,2.0,
0ae441fc-c9e6-4c78-8374-45f4eb49be6b,hagrid,two_up_inverted,,train,1.0,
11ced830-0993-4f0c-99f4-e1ea047b3368,hagrid,stop_inverted,,train,1.0,
0c37a064-ce13-4a86-8ea2-21ca415443bb,hagrid,three2,,train,1.0,
0421599b-c52e-42cc-9bee-7f5f12358e39,hagrid,rock,,train,1.0,
freihand_00003356,freihand,unknown,7,train,1.0,
025a953a-d1a2-49ec-a1b8-dceaab3305d4,hagrid,rock,,train,1.0,
freihand_00002687,freihand,unknown,8,train,1.0,color_jitter_dark_candidate
43942801-5680-4b32-a306-8f05367adf5d,hagrid,call,,train,1.0,
053a5762-c46d-4fe9-bbc5-f55f2bfb8bb4,hagrid,dislike,,train,1.0,
freihand_00001236,freihand,unknown,7,train,1.0,
freihand_00004414,freihand,unknown,5,train,1.0,
freihand_00003616,freihand,unknown,7,train,1.0,
000dfde3-a3a2-41b3-a3eb-e52744bf3ac4,hagrid,ok,,train,1.0,
freihand_00001957,freihand,unknown,8,train,1.0,color_jitter_dark_candidate
518db6ec-eec7-4515-a253-f47e890b8043,hagrid,stop_inverted,,train,1.0,
freihand_00001429,freihand,unknown,10,train,2.0,
freihand_00000105,freihand,unknown,6,train,1.0,
freihand_00003400,freihand,unknown,1,train,2.0,
freihand_00002532,freihand,unknown,3,train,2.0,
00b52e12-04b4-4c77-a4c6-923a46a7578c,hagrid,one,,train,1.0,
0307c81f-1489-4b3a-b456-fe0481d1ed62,hagrid,four,,train,1.0,
freihand_00004762,freihand,unknown,3,train,2.0,
06bab26c-b87d-4f75-bb64-2eb95e70d2e6,hagrid,three,,train,1.0,
01c949be-3f8d-4921-9079-3550ec816b1b,hagrid,palm,,train,1.0,
022d1cd8-a618-47f4-9b9d-d3abd6746e86,hagrid,mute,,train,1.0,
04225c04-1b83-4d80-ac3b-74b765c43d3e,hagrid,dislike,,train,1.0,
028930ac-4eec-4468-89ce-5fc1af2bfd23,hagrid,mute,,train,1.0,
a94e4c8a-b4be-41fb-9ce4-e87a4b4445a2,hagrid,peace_inverted,,train,1.0,
freihand_00003309,freihand,unknown,10,train,2.0,
a19a92c5-ae8e-4f01-ada6-f0076f7aca1b,hagrid,two_up_inverted,,train,1.0,
01804123-40d9-45c7-97a1-0954c940bd75,hagrid,stop,,train,1.0,
freihand_00000257,freihand,unknown,8,train,1.0,color_jitter_dark_candidate
freihand_00000297,freihand,unknown,8,train,1.0,color_jitter_dark_candidate
freihand_00003400,freihand,unknown,1,train,2.0,
freihand_00000336,freihand,unknown,7,train,1.0,
6e360e0e-ff44-4125-8937-d8fbe5116c07,hagrid,two_up_inverted,,train,1.0,
02d56d52-b7a1-41b2-b182-fe8c285b946c,hagrid,one,,train,1.0,
freihand_00001811,freihand,unknown,2,train,2.0,
ec8d9137-d2cf-44e5-8b0a-41de28a6d6fb,hagrid,two_up_inverted,,train,1.0,
c74c0d2f-2a63-485d-b04a-db598a27db7f,hagrid,two_up_inverted,,train,1.0,
freihand_00004202,freihand,unknown,3,train,2.0,
freihand_00002388,freihand,unknown,9,train,1.0,color_jitter_dark_candidate
freihand_00002019,freihand,unknown,10,train,2.0,
freihand_00003267,freihand,unknown,8,train,1.0,color_jitter_dark_candidate
04a37951-611c-4404-bd5f-106c0bc2586a,hagrid,like,,train,1.0,
freihand_00003488,freihand,unknown,9,train,1.0,color_jitter_dark_candidate
freihand_00003679,freihand,unknown,10,train,2.0,
46dd8883-e2f3-4095-9de2-36a5559aebbc,hagrid,two_up_inverted,,train,1.0,
freihand_00001569,freihand,unknown,10,train,2.0,
03c45817-1f5a-4639-94c2-21e898dd7028,hagrid,mute,,train,1.0,
3b7aae91-e63e-4ecf-b57e-6685bc19b17c,hagrid,three2,,train,1.0,
freihand_00000339,freihand,unknown,10,train,2.0,
freihand_00001215,freihand,unknown,6,train,1.0,
freihand_00000793,freihand,unknown,4,train,1.0,
02c3a03b-0517-44b9-a457-72d7fc97f580,hagrid,stop,,train,1.0,
freihand_00004735,freihand,unknown,6,train,1.0,
02993c44-c3f5-44ff-a46d-259fc7a5a59a,hagrid,mute,,train,1.0,
02638b22-b4a8-44d3-b726-ad9858d1f1f5,hagrid,dislike,,train,1.0,
freihand_00002762,freihand,unknown,3,train,2.0,
05c31e87-9ee7-4e46-b586-109e8abea042,hagrid,one,,train,1.0,
02b382be-6523-4322-8e19-50fc196288e5,hagrid,peace,,train,1.0,
freihand_00004710,freihand,unknown,1,train,2.0,
freihand_00004328,freihand,unknown,9,train,1.0,color_jitter_dark_candidate
freihand_00002659,freihand,unknown,10,train,2.0,
freihand_00004496,freihand,unknown,7,train,1.0,
05167068-095e-4d2b-ab48-533c74e15b0e,hagrid,palm,,train,1.0,
060e140b-97a3-4700-94d1-e95c1ef598fb,hagrid,like,,train,1.0,
freihand_00000348,freihand,unknown,9,train,1.0,color_jitter_dark_candidate
freihand_00002708,freihand,unknown,9,train,1.0,color_jitter_dark_candidate
freihand_00000017,freihand,unknown,8,train,1.0,color_jitter_dark_candidate
freihand_00004047,freihand,unknown,8,train,1.0,color_jitter_dark_candidate
freihand_00000348,freihand,unknown,9,train,1.0,color_jitter_dark_candidate
freihand_00002037,freihand,unknown,8,train,1.0,color_jitter_dark_candidate
freihand_00000078,freihand,unknown,9,train,1.0,color_jitter_dark_candidate
freihand_00000348,freihand,unknown,9,train,1.0,color_jitter_dark_candidate
