sample_id,dataset,mst_level,image_path,status
freihand_00000047,freihand,6,datasets\training\rgb\00000047.jpg,ok
freihand_00000048,freihand,8,datasets\training\rgb\00000048.jpg,ok
freihand_00000049,freihand,6,datasets\training\rgb\00000049.jpg,ok
freihand_00000050,freihand,6,datasets\training\rgb\00000050.jpg,ok
freihand_00000051,freihand,7,datasets\training\rgb\00000051.jpg,ok
freihand_00000052,freihand,7,datasets\training\rgb\00000052.jpg,ok
freihand_00000053,freihand,7,datasets\training\rgb\00000053.jpg,ok
freihand_00000054,freihand,6,datasets\training\rgb\00000054.jpg,ok
freihand_00000055,freihand,6,datasets\training\rgb\00000055.jpg,ok
freihand_00000056,freihand,6,datasets\training\rgb\00000056.jpg,ok
freihand_00000057,freihand,5,datasets\training\rgb\00000057.jpg,ok
freihand_00000058,freihand,7,datasets\training\rgb\00000058.jpg,ok
freihand_00000059,freihand,6,datasets\training\rgb\00000059.jpg,ok
freihand_00000060,freihand,8,datasets\training\rgb\00000060.jpg,ok
freihand_00000061,freihand,9,datasets\training\rgb\00000061.jpg,ok
freihand_00000062,freihand,,datasets\training\rgb\00000062.jpg,error:Fallo en segmentacion
freihand_00000063,freihand,6,datasets\training\rgb\00000063.jpg,ok
freihand_00000064,freihand,7,datasets\training\rgb\00000064.jpg,ok
freihand_00000065,freihand,8,datasets\training\rgb\00000065.jpg,ok
freihand_00000066,freihand,5,datasets\training\rgb\00000066.jpg,ok
freihand_00000067,freihand,5,datasets\training\rgb\00000067.jpg,ok
freihand_00000068,freihand,6,datasets\training\rgb\00000068.jpg,ok
freihand_00000069,freihand,6,datasets\training\rgb\00000069.jpg,ok
freihand_00000070,freihand,6,datasets\training\rgb\00000070.jpg,ok
freihand_00000071,freihand,5,datasets\training\rgb\00000071.jpg,ok
freihand_00000072,freihand,,datasets\training\rgb\00000072.jpg,error:No se detecto mano
freihand_00000073,freihand,5,datasets\training\rgb\00000073.jpg,ok
freihand_00000074,freihand,6,datasets\training\rgb\00000074.jpg,ok
freihand_00000075,freihand,6,datasets\training\rgb\00000075.jpg,ok
freihand_00000076,freihand,5,datasets\training\rgb\00000076.jpg,ok
freihand_00000077,freihand,5,datasets\training\rgb\00000077.jpg,ok
freihand_00000078,freihand,8,datasets\training\rgb\00000078.jpg,ok
freihand_00000079,freihand,6,datasets\training\rgb\00000079.jpg,ok
freihand_00000080,freihand,6,datasets\training\rgb\00000080.jpg,ok
freihand_00000081,freihand,5,datasets\training\rgb\00000081.jpg,ok
freihand_00000082,freihand,,datasets\training\rgb\00000082.jpg,error:No se detecto mano
freihand_00000083,freihand,10,datasets\training\rgb\00000083.jpg,ok
freihand_00000084,freihand,7,datasets\training\rgb\00000084.jpg,ok
freihand_00000085,freihand,7,datasets\training\rgb\00000085.jpg,ok
freihand_00000086,freihand,9,datasets\training\rgb\00000086.jpg,ok
freihand_00000087,freihand,1,datasets\training\rgb\00000087.jpg,ok
freihand_00000088,freihand,7,datasets\training\rgb\00000088.jpg,ok
freihand_00000089,freihand,5,datasets\training\rgb\00000089.jpg,ok
freihand_00000090,freihand,8,datasets\training\rgb\00000090.jpg,ok
freihand_00000091,freihand,5,datasets\training\rgb\00000091.jpg,ok
freihand_00000092,freihand,8,datasets\training\rgb\00000092.jpg,ok
freihand_00000093,freihand,5,datasets\training\rgb\00000093.jpg,ok
freihand_00000094,freihand,5,datasets\training\rgb\00000094.jpg,ok
freihand_00000095,freihand,7,datasets\training\rgb\00000095.jpg,ok
freihand_00000096,freihand,4,datasets\training\rgb\00000096.jpg,ok
freihand_00000097,freihand,7,datasets\training\rgb\00000097.jpg,ok
freihand_00000098,freihand,6,datasets\training\rgb\00000098.jpg,ok
freihand_00000099,freihand,5,datasets\training\rgb\00000099.jpg,ok
freihand_00000100,freihand,8,datasets\training\rgb\00000100.jpg,ok
freihand_00000101,freihand,8,datasets\training\rgb\00000101.jpg,ok
freihand_00000102,freihand,5,datasets\training\rgb\00000102.jpg,ok
freihand_00000103,freihand,7,datasets\training\rgb\00000103.jpg,ok
freihand_00000104,freihand,7,datasets\training\rgb\00000104.jpg,ok
freihand_00000105,freihand,,datasets\training\rgb\00000105.jpg,error:No se detecto mano
freihand_00000106,freihand,6,datasets\training\rgb\00000106.jpg,ok
freihand_00000107,freihand,10,datasets\training\rgb\00000107.jpg,ok
freihand_00000108,freihand,7,datasets\training\rgb\00000108.jpg,ok
freihand_00000109,freihand,7,datasets\training\rgb\00000109.jpg,ok
freihand_00000110,freihand,6,datasets\training\rgb\00000110.jpg,ok
freihand_00000111,freihand,7,datasets\training\rgb\00000111.jpg,ok
freihand_00000112,freihand,7,datasets\training\rgb\00000112.jpg,ok
freihand_00000113,freihand,5,datasets\training\rgb\00000113.jpg,ok
freihand_00000114,freihand,,datasets\training\rgb\00000114.jpg,error:No se detecto mano
freihand_00000115,freihand,,datasets\training\rgb\00000115.jpg,error:No se detecto mano
freihand_00000116,freihand,5,datasets\training\rgb\00000116.jpg,ok
freihand_00000117,freihand,6,datasets\training\rgb\00000117.jpg,ok
freihand_00000118,freihand,7,datasets\training\rgb\00000118.jpg,ok
freihand_00000119,freihand,,datasets\training\rgb\00000119.jpg,error:No se detecto mano
freihand_00000120,freihand,8,datasets\training\rgb\00000120.jpg,ok
freihand_00000121,freihand,7,datasets\training\rgb\00000121.jpg,ok
freihand_00000122,freihand,9,datasets\training\rgb\00000122.jpg,ok
freihand_00000123,freihand,6,datasets\training\rgb\00000123.jpg,ok
freihand_00000124,freihand,6,datasets\training\rgb\00000124.jpg,ok
freihand_00000125,freihand,5,datasets\training\rgb\00000125.jpg,ok
freihand_00000126,freihand,6,datasets\training\rgb\00000126.jpg,ok
freihand_00000127,freihand,6,datasets\training\rgb\00000127.jpg,ok
freihand_00000128,freihand,5,datasets\training\rgb\00000128.jpg,ok
freihand_00000129,freihand,6,datasets\training\rgb\00000129.jpg,ok
freihand_00000130,freihand,,datasets\training\rgb\00000130.jpg,error:No se detecto mano
freihand_00000131,freihand,6,datasets\training\rgb\00000131.jpg,ok
freihand_00000132,freihand,5,datasets\training\rgb\00000132.jpg,ok
freihand_00000133,freihand,,datasets\training\rgb\00000133.jpg,error:No se detecto mano
freihand_00000134,freihand,8,datasets\training\rgb\00000134.jpg,ok
freihand_00000135,freihand,7,datasets\training\rgb\00000135.jpg,ok
freihand_00000136,freihand,6,datasets\training\rgb\00000136.jpg,ok
freihand_00000137,freihand,6,datasets\training\rgb\00000137.jpg,ok
freihand_00000138,freihand,7,datasets\training\rgb\00000138.jpg,ok
freihand_00000139,freihand,9,datasets\training\rgb\00000139.jpg,ok
freihand_00000140,freihand,7,datasets\training\rgb\00000140.jpg,ok
freihand_00000141,freihand,8,datasets\training\rgb\00000141.jpg,ok
freihand_00000142,freihand,,datasets\training\rgb\00000142.jpg,error:No se detecto mano
freihand_00000143,freihand,6,datasets\training\rgb\00000143.jpg,ok
freihand_00000144,freihand,6,datasets\training\rgb\00000144.jpg,ok
freihand_00000145,freihand,5,datasets\training\rgb\00000145.jpg,ok
freihand_00000146,freihand,7,datasets\training\rgb\00000146.jpg,ok
freihand_00000147,freihand,6,datasets\training\rgb\00000147.jpg,ok
freihand_00000148,freihand,5,datasets\training\rgb\00000148.jpg,ok
freihand_00000149,freihand,6,datasets\training\rgb\00000149.jpg,ok
freihand_00000150,freihand,7,datasets\training\rgb\00000150.jpg,ok
freihand_00000151,freihand,5,datasets\training\rgb\00000151.jpg,ok
freihand_00000152,freihand,6,datasets\training\rgb\00000152.jpg,ok
freihand_00000153,freihand,6,datasets\training\rgb\00000153.jpg,ok
freihand_00000154,freihand,9,datasets\training\rgb\00000154.jpg,ok
freihand_00000155,freihand,7,datasets\training\rgb\00000155.jpg,ok
freihand_00000156,freihand,,datasets\training\rgb\00000156.jpg,error:No se detecto mano
freihand_00000157,freihand,7,datasets\training\rgb\00000157.jpg,ok
freihand_00000158,freihand,7,datasets\training\rgb\00000158.jpg,ok
freihand_00000159,freihand,9,datasets\training\rgb\00000159.jpg,ok
freihand_00000160,freihand,7,datasets\training\rgb\00000160.jpg,ok
freihand_00000161,freihand,7,datasets\training\rgb\00000161.jpg,ok
freihand_00000162,freihand,,datasets\training\rgb\00000162.jpg,error:Fallo en segmentacion
freihand_00000163,freihand,8,datasets\training\rgb\00000163.jpg,ok
freihand_00000164,freihand,7,datasets\training\rgb\00000164.jpg,ok
freihand_00000165,freihand,7,datasets\training\rgb\00000165.jpg,ok
freihand_00000166,freihand,5,datasets\training\rgb\00000166.jpg,ok
freihand_00000167,freihand,8,datasets\training\rgb\00000167.jpg,ok
freihand_00000168,freihand,8,datasets\training\rgb\00000168.jpg,ok
freihand_00000169,freihand,5,datasets\training\rgb\00000169.jpg,ok
freihand_00000170,freihand,5,datasets\training\rgb\00000170.jpg,ok
freihand_00000171,freihand,6,datasets\training\rgb\00000171.jpg,ok
freihand_00000172,freihand,6,datasets\training\rgb\00000172.jpg,ok
freihand_00000173,freihand,,datasets\training\rgb\00000173.jpg,error:No se detecto mano
freihand_00000174,freihand,6,datasets\training\rgb\00000174.jpg,ok
freihand_00000175,freihand,5,datasets\training\rgb\00000175.jpg,ok
freihand_00000176,freihand,8,datasets\training\rgb\00000176.jpg,ok
freihand_00000177,freihand,6,datasets\training\rgb\00000177.jpg,ok
freihand_00000178,freihand,6,datasets\training\rgb\00000178.jpg,ok
freihand_00000179,freihand,,datasets\training\rgb\00000179.jpg,error:Fallo en segmentacion
freihand_00000180,freihand,6,datasets\training\rgb\00000180.jpg,ok
freihand_00000181,freihand,7,datasets\training\rgb\00000181.jpg,ok
freihand_00000182,freihand,9,datasets\training\rgb\00000182.jpg,ok
freihand_00000183,freihand,9,datasets\training\rgb\00000183.jpg,ok
freihand_00000184,freihand,7,datasets\training\rgb\00000184.jpg,ok
freihand_00000185,freihand,6,datasets\training\rgb\00000185.jpg,ok
freihand_00000186,freihand,8,datasets\training\rgb\00000186.jpg,ok
freihand_00000187,freihand,5,datasets\training\rgb\00000187.jpg,ok
freihand_00000188,freihand,8,datasets\training\rgb\00000188.jpg,ok
freihand_00000189,freihand,5,datasets\training\rgb\00000189.jpg,ok
freihand_00000190,freihand,6,datasets\training\rgb\00000190.jpg,ok
freihand_00000191,freihand,9,datasets\training\rgb\00000191.jpg,ok
freihand_00000192,freihand,6,datasets\training\rgb\00000192.jpg,ok
freihand_00000193,freihand,5,datasets\training\rgb\00000193.jpg,ok
freihand_00000194,freihand,4,datasets\training\rgb\00000194.jpg,ok
freihand_00000195,freihand,8,datasets\training\rgb\00000195.jpg,ok
freihand_00000196,freihand,5,datasets\training\rgb\00000196.jpg,ok
freihand_00000197,freihand,9,datasets\training\rgb\00000197.jpg,ok
freihand_00000198,freihand,7,datasets\training\rgb\00000198.jpg,ok
freihand_00000199,freihand,5,datasets\training\rgb\00000199.jpg,ok
freihand_00000200,freihand,5,datasets\training\rgb\00000200.jpg,ok
freihand_00000201,freihand,7,datasets\training\rgb\00000201.jpg,ok
freihand_00000202,freihand,7,datasets\training\rgb\00000202.jpg,ok
freihand_00000203,freihand,5,datasets\training\rgb\00000203.jpg,ok
freihand_00000204,freihand,6,datasets\training\rgb\00000204.jpg,ok
freihand_00000205,freihand,9,datasets\training\rgb\00000205.jpg,ok
freihand_00000206,freihand,6,datasets\training\rgb\00000206.jpg,ok
freihand_00000207,freihand,6,datasets\training\rgb\00000207.jpg,ok
freihand_00000208,freihand,7,datasets\training\rgb\00000208.jpg,ok
freihand_00000209,freihand,6,datasets\training\rgb\00000209.jpg,ok
freihand_00000210,freihand,,datasets\training\rgb\00000210.jpg,error:No se detecto mano
freihand_00000211,freihand,9,datasets\training\rgb\00000211.jpg,ok
freihand_00000212,freihand,5,datasets\training\rgb\00000212.jpg,ok
freihand_00000213,freihand,4,datasets\training\rgb\00000213.jpg,ok
freihand_00000214,freihand,5,datasets\training\rgb\00000214.jpg,ok
freihand_00000215,freihand,6,datasets\training\rgb\00000215.jpg,ok
freihand_00000216,freihand,5,datasets\training\rgb\00000216.jpg,ok
freihand_00000217,freihand,8,datasets\training\rgb\00000217.jpg,ok
freihand_00000218,freihand,6,datasets\training\rgb\00000218.jpg,ok
freihand_00000219,freihand,6,datasets\training\rgb\00000219.jpg,ok
freihand_00000220,freihand,6,datasets\training\rgb\00000220.jpg,ok
freihand_00000221,freihand,5,datasets\training\rgb\00000221.jpg,ok
freihand_00000222,freihand,8,datasets\training\rgb\00000222.jpg,ok
freihand_00000223,freihand,7,datasets\training\rgb\00000223.jpg,ok
freihand_00000224,freihand,5,datasets\training\rgb\00000224.jpg,ok
freihand_00000225,freihand,5,datasets\training\rgb\00000225.jpg,ok
freihand_00000226,freihand,5,datasets\training\rgb\00000226.jpg,ok
freihand_00000227,freihand,9,datasets\training\rgb\00000227.jpg,ok
freihand_00000228,freihand,7,datasets\training\rgb\00000228.jpg,ok
freihand_00000229,freihand,8,datasets\training\rgb\00000229.jpg,ok
freihand_00000230,freihand,9,datasets\training\rgb\00000230.jpg,ok
freihand_00000231,freihand,6,datasets\training\rgb\00000231.jpg,ok
freihand_00000232,freihand,7,datasets\training\rgb\00000232.jpg,ok
freihand_00000233,freihand,5,datasets\training\rgb\00000233.jpg,ok
freihand_00000234,freihand,,datasets\training\rgb\00000234.jpg,error:No se detecto mano
freihand_00000235,freihand,7,datasets\training\rgb\00000235.jpg,ok
freihand_00000236,freihand,6,datasets\training\rgb\00000236.jpg,ok
freihand_00000237,freihand,7,datasets\training\rgb\00000237.jpg,ok
freihand_00000238,freihand,7,datasets\training\rgb\00000238.jpg,ok
freihand_00000239,freihand,5,datasets\training\rgb\00000239.jpg,ok
freihand_00000240,freihand,7,datasets\training\rgb\00000240.jpg,ok
freihand_00000241,freihand,7,datasets\training\rgb\00000241.jpg,ok
freihand_00000242,freihand,6,datasets\training\rgb\00000242.jpg,ok
freihand_00000243,freihand,7,datasets\training\rgb\00000243.jpg,ok
freihand_00000244,freihand,,datasets\training\rgb\00000244.jpg,error:No se detecto mano
freihand_00000245,freihand,8,datasets\training\rgb\00000245.jpg,ok
freihand_00000246,freihand,6,datasets\training\rgb\00000246.jpg,ok
freihand_00000247,freihand,7,datasets\training\rgb\00000247.jpg,ok
freihand_00000248,freihand,7,datasets\training\rgb\00000248.jpg,ok
freihand_00000249,freihand,7,datasets\training\rgb\00000249.jpg,ok
freihand_00000250,freihand,8,datasets\training\rgb\00000250.jpg,ok
freihand_00000251,freihand,8,datasets\training\rgb\00000251.jpg,ok
freihand_00000252,freihand,4,datasets\training\rgb\00000252.jpg,ok
freihand_00000253,freihand,8,datasets\training\rgb\00000253.jpg,ok
freihand_00000254,freihand,7,datasets\training\rgb\00000254.jpg,ok
freihand_00000255,freihand,,datasets\training\rgb\00000255.jpg,error:No se detecto mano
freihand_00000256,freihand,9,datasets\training\rgb\00000256.jpg,ok
freihand_00000257,freihand,6,datasets\training\rgb\00000257.jpg,ok
freihand_00000258,freihand,8,datasets\training\rgb\00000258.jpg,ok
freihand_00000259,freihand,8,datasets\training\rgb\00000259.jpg,ok
freihand_00000260,freihand,6,datasets\training\rgb\00000260.jpg,ok
freihand_00000261,freihand,6,datasets\training\rgb\00000261.jpg,ok
freihand_00000262,freihand,6,datasets\training\rgb\00000262.jpg,ok
freihand_00000263,freihand,5,datasets\training\rgb\00000263.jpg,ok
freihand_00000264,freihand,5,datasets\training\rgb\00000264.jpg,ok
freihand_00000265,freihand,5,datasets\training\rgb\00000265.jpg,ok
freihand_00000266,freihand,6,datasets\training\rgb\00000266.jpg,ok
freihand_00000267,freihand,6,datasets\training\rgb\00000267.jpg,ok
freihand_00000268,freihand,8,datasets\training\rgb\00000268.jpg,ok
freihand_00000269,freihand,5,datasets\training\rgb\00000269.jpg,ok
freihand_00000270,freihand,7,datasets\training\rgb\00000270.jpg,ok
freihand_00000271,freihand,6,datasets\training\rgb\00000271.jpg,ok
freihand_00000272,freihand,7,datasets\training\rgb\00000272.jpg,ok
freihand_00000273,freihand,6,datasets\training\rgb\00000273.jpg,ok
freihand_00000274,freihand,5,datasets\training\rgb\00000274.jpg,ok
freihand_00000275,freihand,,datasets\training\rgb\00000275.jpg,error:No se detecto mano
freihand_00000276,freihand,7,datasets\training\rgb\00000276.jpg,ok
freihand_00000277,freihand,,datasets\training\rgb\00000277.jpg,error:No se detecto mano
freihand_00000278,freihand,6,datasets\training\rgb\00000278.jpg,ok
freihand_00000279,freihand,,datasets\training\rgb\00000279.jpg,error:No se detecto mano
freihand_00000280,freihand,7,datasets\training\rgb\00000280.jpg,ok
freihand_00000281,freihand,6,datasets\training\rgb\00000281.jpg,ok
freihand_00000282,freihand,5,datasets\training\rgb\00000282.jpg,ok
freihand_00000283,freihand,7,datasets\training\rgb\00000283.jpg,ok
freihand_00000284,freihand,6,datasets\training\rgb\00000284.jpg,ok
freihand_00000285,freihand,5,datasets\training\rgb\00000285.jpg,ok
freihand_00000286,freihand,6,datasets\training\rgb\00000286.jpg,ok
freihand_00000287,freihand,8,datasets\training\rgb\00000287.jpg,ok
freihand_00000288,freihand,7,datasets\training\rgb\00000288.jpg,ok
freihand_00000289,freihand,6,datasets\training\rgb\00000289.jpg,ok
freihand_00000290,freihand,6,datasets\training\rgb\00000290.jpg,ok
freihand_00000291,freihand,8,datasets\training\rgb\00000291.jpg,ok
freihand_00000292,freihand,6,datasets\training\rgb\00000292.jpg,ok
freihand_00000293,freihand,8,datasets\training\rgb\00000293.jpg,ok
freihand_00000294,freihand,8,datasets\training\rgb\00000294.jpg,ok
freihand_00000295,freihand,7,datasets\training\rgb\00000295.jpg,ok
freihand_00000296,freihand,6,datasets\training\rgb\00000296.jpg,ok
freihand_00000297,freihand,6,datasets\training\rgb\00000297.jpg,ok
freihand_00000298,freihand,8,datasets\training\rgb\00000298.jpg,ok
freihand_00000299,freihand,,datasets\training\rgb\00000299.jpg,error:No se detecto mano
freihand_00000300,freihand,6,datasets\training\rgb\00000300.jpg,ok
freihand_00000301,freihand,6,datasets\training\rgb\00000301.jpg,ok
freihand_00000302,freihand,8,datasets\training\rgb\00000302.jpg,ok
freihand_00000303,freihand,8,datasets\training\rgb\00000303.jpg,ok
freihand_00000304,freihand,6,datasets\training\rgb\00000304.jpg,ok
freihand_00000305,freihand,6,datasets\training\rgb\00000305.jpg,ok
freihand_00000306,freihand,5,datasets\training\rgb\00000306.jpg,ok
freihand_00000307,freihand,7,datasets\training\rgb\00000307.jpg,ok
freihand_00000308,freihand,9,datasets\training\rgb\00000308.jpg,ok
freihand_00000309,freihand,7,datasets\training\rgb\00000309.jpg,ok
freihand_00000310,freihand,8,datasets\training\rgb\00000310.jpg,ok
freihand_00000311,freihand,,datasets\training\rgb\00000311.jpg,error:No se detecto mano
freihand_00000312,freihand,7,datasets\training\rgb\00000312.jpg,ok
freihand_00000313,freihand,5,datasets\training\rgb\00000313.jpg,ok
freihand_00000314,freihand,,datasets\training\rgb\00000314.jpg,error:No se detecto mano
freihand_00000315,freihand,5,datasets\training\rgb\00000315.jpg,ok
freihand_00000316,freihand,5,datasets\training\rgb\00000316.jpg,ok
freihand_00000317,freihand,5,datasets\training\rgb\00000317.jpg,ok
freihand_00000318,freihand,6,datasets\training\rgb\00000318.jpg,ok
freihand_00000319,freihand,,datasets\training\rgb\00000319.jpg,error:No se detecto mano
freihand_00000320,freihand,6,datasets\training\rgb\00000320.jpg,ok
freihand_00000321,freihand,6,datasets\training\rgb\00000321.jpg,ok
freihand_00000322,freihand,6,datasets\training\rgb\00000322.jpg,ok
freihand_00000323,freihand,7,datasets\training\rgb\00000323.jpg,ok
freihand_00000324,freihand,8,datasets\training\rgb\00000324.jpg,ok
freihand_00000325,freihand,6,datasets\training\rgb\00000325.jpg,ok
freihand_00000326,freihand,6,datasets\training\rgb\00000326.jpg,ok
freihand_00000327,freihand,5,datasets\training\rgb\00000327.jpg,ok
freihand_00000328,freihand,5,datasets\training\rgb\00000328.jpg,ok
freihand_00000329,freihand,8,datasets\training\rgb\00000329.jpg,ok
freihand_00000330,freihand,,datasets\training\rgb\00000330.jpg,error:No se detecto mano
freihand_00000331,freihand,7,datasets\training\rgb\00000331.jpg,ok
freihand_00000332,freihand,5,datasets\training\rgb\00000332.jpg,ok
freihand_00000333,freihand,8,datasets\training\rgb\00000333.jpg,ok
freihand_00000334,freihand,7,datasets\training\rgb\00000334.jpg,ok
freihand_00000335,freihand,6,datasets\training\rgb\00000335.jpg,ok
freihand_00000336,freihand,6,datasets\training\rgb\00000336.jpg,ok
freihand_00000337,freihand,6,datasets\training\rgb\00000337.jpg,ok
freihand_00000338,freihand,7,datasets\training\rgb\00000338.jpg,ok
freihand_00000339,freihand,,datasets\training\rgb\00000339.jpg,error:No se detecto mano
freihand_00000340,freihand,7,datasets\training\rgb\00000340.jpg,ok
freihand_00000341,freihand,5,datasets\training\rgb\00000341.jpg,ok
freihand_00000342,freihand,7,datasets\training\rgb\00000342.jpg,ok
freihand_00000343,freihand,5,datasets\training\rgb\00000343.jpg,ok
freihand_00000344,freihand,6,datasets\training\rgb\00000344.jpg,ok
freihand_00000345,freihand,5,datasets\training\rgb\00000345.jpg,ok
freihand_00000346,freihand,5,datasets\training\rgb\00000346.jpg,ok
freihand_00000347,freihand,7,datasets\training\rgb\00000347.jpg,ok
freihand_00000348,freihand,7,datasets\training\rgb\00000348.jpg,ok
freihand_00000349,freihand,7,datasets\training\rgb\00000349.jpg,ok
freihand_00000350,freihand,5,datasets\training\rgb\00000350.jpg,ok
freihand_00000351,freihand,8,datasets\training\rgb\00000351.jpg,ok
freihand_00000352,freihand,,datasets\training\rgb\00000352.jpg,error:No se detecto mano
freihand_00000353,freihand,6,datasets\training\rgb\00000353.jpg,ok
freihand_00000354,freihand,5,datasets\training\rgb\00000354.jpg,ok
freihand_00000355,freihand,7,datasets\training\rgb\00000355.jpg,ok
freihand_00000356,freihand,8,datasets\training\rgb\00000356.jpg,ok
freihand_00000357,freihand,6,datasets\training\rgb\00000357.jpg,ok
freihand_00000358,freihand,6,datasets\training\rgb\00000358.jpg,ok
freihand_00000359,freihand,5,datasets\training\rgb\00000359.jpg,ok
freihand_00000360,freihand,8,datasets\training\rgb\00000360.jpg,ok
freihand_00000361,freihand,,datasets\training\rgb\00000361.jpg,error:Fallo en segmentacion
freihand_00000362,freihand,7,datasets\training\rgb\00000362.jpg,ok
freihand_00000363,freihand,7,datasets\training\rgb\00000363.jpg,ok
freihand_00000364,freihand,10,datasets\training\rgb\00000364.jpg,ok
freihand_00000365,freihand,8,datasets\training\rgb\00000365.jpg,ok
freihand_00000366,freihand,6,datasets\training\rgb\00000366.jpg,ok
freihand_00000367,freihand,5,datasets\training\rgb\00000367.jpg,ok
freihand_00000368,freihand,6,datasets\training\rgb\00000368.jpg,ok
freihand_00000369,freihand,,datasets\training\rgb\00000369.jpg,error:No se detecto mano
freihand_00000370,freihand,6,datasets\training\rgb\00000370.jpg,ok
freihand_00000371,freihand,7,datasets\training\rgb\00000371.jpg,ok
freihand_00000372,freihand,8,datasets\training\rgb\00000372.jpg,ok
freihand_00000373,freihand,6,datasets\training\rgb\00000373.jpg,ok
freihand_00000374,freihand,7,datasets\training\rgb\00000374.jpg,ok
freihand_00000375,freihand,,datasets\training\rgb\00000375.jpg,error:No se detecto mano
freihand_00000376,freihand,8,datasets\training\rgb\00000376.jpg,ok
freihand_00000377,freihand,,datasets\training\rgb\00000377.jpg,error:No se detecto mano
freihand_00000378,freihand,8,datasets\training\rgb\00000378.jpg,ok
freihand_00000379,freihand,9,datasets\training\rgb\00000379.jpg,ok
freihand_00000380,freihand,7,datasets\training\rgb\00000380.jpg,ok
freihand_00000381,freihand,6,datasets\training\rgb\00000381.jpg,ok
freihand_00000382,freihand,,datasets\training\rgb\00000382.jpg,error:No se detecto mano
freihand_00000383,freihand,,datasets\training\rgb\00000383.jpg,error:No se detecto mano
freihand_00000384,freihand,,datasets\training\rgb\00000384.jpg,error:No se detecto mano
freihand_00000385,freihand,7,datasets\training\rgb\00000385.jpg,ok
freihand_00000386,freihand,9,datasets\training\rgb\00000386.jpg,ok
freihand_00000387,freihand,7,datasets\training\rgb\00000387.jpg,ok
freihand_00000388,freihand,8,datasets\training\rgb\00000388.jpg,ok
freihand_00000389,freihand,5,datasets\training\rgb\00000389.jpg,ok
freihand_00000390,freihand,8,datasets\training\rgb\00000390.jpg,ok
freihand_00000391,freihand,6,datasets\training\rgb\00000391.jpg,ok
