sample_id,path_landmarks,label,condition,dataset,mst,mst_origin,split
freihand_00008682,data/processed/landmarks/freihand_00008682.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00016390,data/processed/landmarks/freihand_00016390.npy,unknown,claro,freihand,2,imputed,train
freihand_00015957,data/processed/landmarks/freihand_00015957.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00016491,data/processed/landmarks/freihand_00016491.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00026721,data/processed/landmarks/freihand_00026721.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00002176,data/processed/landmarks/freihand_00002176.npy,unknown,claro,freihand,4,imputed,train
freihand_00004517,data/processed/landmarks/freihand_00004517.npy,unknown,medio,freihand,5,imputed,train
freihand_00031618,data/processed/landmarks/freihand_00031618.npy,unknown,claro,freihand,3,imputed,train
freihand_00024669,data/processed/landmarks/freihand_00024669.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00009969,data/processed/landmarks/freihand_00009969.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00014898,data/processed/landmarks/freihand_00014898.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00001814,data/processed/landmarks/freihand_00001814.npy,unknown,medio,freihand,7,imputed,train
freihand_00028743,data/processed/landmarks/freihand_00028743.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00012742,data/processed/landmarks/freihand_00012742.npy,unknown,claro,freihand,2,imputed,train
freihand_00007494,data/processed/landmarks/freihand_00007494.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00016147,data/processed/landmarks/freihand_00016147.npy,unknown,claro,freihand,4,imputed,train
freihand_00020440,data/processed/landmarks/freihand_00020440.npy,unknown,claro,freihand,4,imputed,train
freihand_00006995,data/processed/landmarks/freihand_00006995.npy,unknown,medio,freihand,7,imputed,train
freihand_00007582,data/processed/landmarks/freihand_00007582.npy,unknown,claro,freihand,4,imputed,train
freihand_00009474,data/processed/landmarks/freihand_00009474.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00001277,data/processed/landmarks/freihand_00001277.npy,unknown,medio,freihand,5,imputed,train
freihand_00018522,data/processed/landmarks/freihand_00018522.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00023152,data/processed/landmarks/freihand_00023152.npy,unknown,claro,freihand,2,imputed,train
freihand_00008601,data/processed/landmarks/freihand_00008601.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00007659,data/processed/landmarks/freihand_00007659.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00010023,data/processed/landmarks/freihand_00010023.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00009869,data/processed/landmarks/freihand_00009869.npy,unknown,medio,freihand,6,imputed,train
freihand_00004795,data/processed/landmarks/freihand_00004795.npy,unknown,claro,freihand,2,imputed,train
freihand_00028858,data/processed/landmarks/freihand_00028858.npy,unknown,claro,freihand,3,imputed,train
freihand_00006918,data/processed/landmarks/freihand_00006918.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00027983,data/processed/landmarks/freihand_00027983.npy,unknown,medio,freihand,5,imputed,train
freihand_00022594,data/processed/landmarks/freihand_00022594.npy,unknown,claro,freihand,3,imputed,train
freihand_00030589,data/processed/landmarks/freihand_00030589.npy,unknown,claro,freihand,3,imputed,train
freihand_00004070,data/processed/landmarks/freihand_00004070.npy,unknown,medio,freihand,5,imputed,train
freihand_00019018,data/processed/landmarks/freihand_00019018.npy,unknown,claro,freihand,3,imputed,train
freihand_00017260,data/processed/landmarks/freihand_00017260.npy,unknown,claro,freihand,4,imputed,train
freihand_00012961,data/processed/landmarks/freihand_00012961.npy,unknown,claro,freihand,3,imputed,train
freihand_00017921,data/processed/landmarks/freihand_00017921.npy,unknown,medio,freihand,5,imputed,train
freihand_00030608,data/processed/landmarks/freihand_00030608.npy,unknown,medio,freihand,7,imputed,train
freihand_00006044,data/processed/landmarks/freihand_00006044.npy,unknown,medio,freihand,6,imputed,train
freihand_00020272,data/processed/landmarks/freihand_00020272.npy,unknown,claro,freihand,1,imputed,train
freihand_00008259,data/processed/landmarks/freihand_00008259.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00014103,data/processed/landmarks/freihand_00014103.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00008693,data/processed/landmarks/freihand_00008693.npy,unknown,medio,freihand,6,imputed,train
freihand_00008627,data/processed/landmarks/freihand_00008627.npy,unknown,medio,freihand,6,imputed,train
freihand_00002081,data/processed/landmarks/freihand_00002081.npy,unknown,medio,freihand,6,imputed,train
freihand_00007170,data/processed/landmarks/freihand_00007170.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00014596,data/processed/landmarks/freihand_00014596.npy,unknown,claro,freihand,2,imputed,train
freihand_00016584,data/processed/landmarks/freihand_00016584.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00016195,data/processed/landmarks/freihand_00016195.npy,unknown,claro,freihand,2,imputed,train
freihand_00032115,data/processed/landmarks/freihand_00032115.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00001855,data/processed/landmarks/freihand_00001855.npy,unknown,claro,freihand,2,imputed,train
freihand_00018776,data/processed/landmarks/freihand_00018776.npy,unknown,medio,freihand,5,imputed,train
freihand_00020155,data/processed/landmarks/freihand_00020155.npy,unknown,claro,freihand,2,imputed,train
freihand_00024183,data/processed/landmarks/freihand_00024183.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00007032,data/processed/landmarks/freihand_00007032.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00003333,data/processed/landmarks/freihand_00003333.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00013321,data/processed/landmarks/freihand_00013321.npy,unknown,claro,freihand,1,imputed,train
freihand_00004396,data/processed/landmarks/freihand_00004396.npy,unknown,claro,freihand,1,imputed,train
freihand_00000065,data/processed/landmarks/freihand_00000065.npy,unknown,medio,freihand,6,imputed,train
freihand_00010908,data/processed/landmarks/freihand_00010908.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00026995,data/processed/landmarks/freihand_00026995.npy,unknown,claro,freihand,2,imputed,train
freihand_00022829,data/processed/landmarks/freihand_00022829.npy,unknown,medio,freihand,6,imputed,train
freihand_00014489,data/processed/landmarks/freihand_00014489.npy,unknown,medio,freihand,5,imputed,train
freihand_00027100,data/processed/landmarks/freihand_00027100.npy,unknown,claro,freihand,4,imputed,train
freihand_00032506,data/processed/landmarks/freihand_00032506.npy,unknown,claro,freihand,1,imputed,train
freihand_00011609,data/processed/landmarks/freihand_00011609.npy,unknown,medio,freihand,7,imputed,train
freihand_00028044,data/processed/landmarks/freihand_00028044.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00028882,data/processed/landmarks/freihand_00028882.npy,unknown,claro,freihand,3,imputed,train
freihand_00018727,data/processed/landmarks/freihand_00018727.npy,unknown,claro,freihand,2,imputed,train
freihand_00026545,data/processed/landmarks/freihand_00026545.npy,unknown,claro,freihand,1,imputed,train
freihand_00023181,data/processed/landmarks/freihand_00023181.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00002402,data/processed/landmarks/freihand_00002402.npy,unknown,medio,freihand,6,imputed,train
freihand_00024633,data/processed/landmarks/freihand_00024633.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00028343,data/processed/landmarks/freihand_00028343.npy,unknown,medio,freihand,5,imputed,train
freihand_00011870,data/processed/landmarks/freihand_00011870.npy,unknown,medio,freihand,7,imputed,train
freihand_00020831,data/processed/landmarks/freihand_00020831.npy,unknown,medio,freihand,7,imputed,train
freihand_00013804,data/processed/landmarks/freihand_00013804.npy,unknown,claro,freihand,2,imputed,train
freihand_00020501,data/processed/landmarks/freihand_00020501.npy,unknown,medio,freihand,5,imputed,train
freihand_00032055,data/processed/landmarks/freihand_00032055.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00024000,data/processed/landmarks/freihand_00024000.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00031115,data/processed/landmarks/freihand_00031115.npy,unknown,medio,freihand,5,imputed,train
freihand_00032511,data/processed/landmarks/freihand_00032511.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00026656,data/processed/landmarks/freihand_00026656.npy,unknown,claro,freihand,1,imputed,train
freihand_00018340,data/processed/landmarks/freihand_00018340.npy,unknown,claro,freihand,1,imputed,train
freihand_00015032,data/processed/landmarks/freihand_00015032.npy,unknown,medio,freihand,7,imputed,train
freihand_00000925,data/processed/landmarks/freihand_00000925.npy,unknown,claro,freihand,3,imputed,train
freihand_00029874,data/processed/landmarks/freihand_00029874.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00016123,data/processed/landmarks/freihand_00016123.npy,unknown,claro,freihand,3,imputed,train
freihand_00008128,data/processed/landmarks/freihand_00008128.npy,unknown,claro,freihand,3,imputed,train
freihand_00011318,data/processed/landmarks/freihand_00011318.npy,unknown,medio,freihand,5,imputed,train
freihand_00005247,data/processed/landmarks/freihand_00005247.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00028256,data/processed/landmarks/freihand_00028256.npy,unknown,medio,freihand,5,imputed,train
freihand_00019867,data/processed/landmarks/freihand_00019867.npy,unknown,claro,freihand,4,imputed,train
freihand_00012616,data/processed/landmarks/freihand_00012616.npy,unknown,claro,freihand,3,imputed,train
freihand_00000380,data/processed/landmarks/freihand_00000380.npy,unknown,medio,freihand,5,imputed,train
freihand_00028536,data/processed/landmarks/freihand_00028536.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00027079,data/processed/landmarks/freihand_00027079.npy,unknown,claro,freihand,1,imputed,train
freihand_00027193,data/processed/landmarks/freihand_00027193.npy,unknown,claro,freihand,1,imputed,train
freihand_00028268,data/processed/landmarks/freihand_00028268.npy,unknown,medio,freihand,6,imputed,train
freihand_00007371,data/processed/landmarks/freihand_00007371.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00004527,data/processed/landmarks/freihand_00004527.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00025680,data/processed/landmarks/freihand_00025680.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00009075,data/processed/landmarks/freihand_00009075.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00010974,data/processed/landmarks/freihand_00010974.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00027652,data/processed/landmarks/freihand_00027652.npy,unknown,claro,freihand,4,imputed,train
freihand_00023795,data/processed/landmarks/freihand_00023795.npy,unknown,medio,freihand,7,imputed,train
freihand_00003693,data/processed/landmarks/freihand_00003693.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00024966,data/processed/landmarks/freihand_00024966.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00028568,data/processed/landmarks/freihand_00028568.npy,unknown,medio,freihand,6,imputed,train
freihand_00024885,data/processed/landmarks/freihand_00024885.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00006086,data/processed/landmarks/freihand_00006086.npy,unknown,medio,freihand,6,imputed,train
freihand_00013372,data/processed/landmarks/freihand_00013372.npy,unknown,claro,freihand,2,imputed,train
freihand_00027203,data/processed/landmarks/freihand_00027203.npy,unknown,medio,freihand,5,imputed,train
freihand_00015599,data/processed/landmarks/freihand_00015599.npy,unknown,medio,freihand,7,imputed,train
freihand_00019532,data/processed/landmarks/freihand_00019532.npy,unknown,medio,freihand,5,imputed,train
freihand_00030451,data/processed/landmarks/freihand_00030451.npy,unknown,claro,freihand,2,imputed,train
freihand_00001802,data/processed/landmarks/freihand_00001802.npy,unknown,medio,freihand,7,imputed,train
freihand_00013364,data/processed/landmarks/freihand_00013364.npy,unknown,medio,freihand,6,imputed,train
freihand_00004619,data/processed/landmarks/freihand_00004619.npy,unknown,medio,freihand,7,imputed,train
freihand_00010636,data/processed/landmarks/freihand_00010636.npy,unknown,claro,freihand,2,imputed,train
freihand_00000532,data/processed/landmarks/freihand_00000532.npy,unknown,claro,freihand,3,imputed,train
freihand_00009937,data/processed/landmarks/freihand_00009937.npy,unknown,claro,freihand,1,imputed,train
freihand_00003271,data/processed/landmarks/freihand_00003271.npy,unknown,claro,freihand,2,imputed,train
freihand_00016686,data/processed/landmarks/freihand_00016686.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00032287,data/processed/landmarks/freihand_00032287.npy,unknown,claro,freihand,4,imputed,train
freihand_00030806,data/processed/landmarks/freihand_00030806.npy,unknown,medio,freihand,7,imputed,train
freihand_00020050,data/processed/landmarks/freihand_00020050.npy,unknown,claro,freihand,2,imputed,train
freihand_00002803,data/processed/landmarks/freihand_00002803.npy,unknown,claro,freihand,4,imputed,train
freihand_00008630,data/processed/landmarks/freihand_00008630.npy,unknown,medio,freihand,6,imputed,train
freihand_00007819,data/processed/landmarks/freihand_00007819.npy,unknown,claro,freihand,1,imputed,train
freihand_00005773,data/processed/landmarks/freihand_00005773.npy,unknown,claro,freihand,3,imputed,train
freihand_00007131,data/processed/landmarks/freihand_00007131.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00031757,data/processed/landmarks/freihand_00031757.npy,unknown,medio,freihand,6,imputed,train
freihand_00029544,data/processed/landmarks/freihand_00029544.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00024291,data/processed/landmarks/freihand_00024291.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00012204,data/processed/landmarks/freihand_00012204.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00022168,data/processed/landmarks/freihand_00022168.npy,unknown,claro,freihand,3,imputed,train
freihand_00008522,data/processed/landmarks/freihand_00008522.npy,unknown,medio,freihand,7,imputed,train
freihand_00020200,data/processed/landmarks/freihand_00020200.npy,unknown,claro,freihand,3,imputed,train
freihand_00004685,data/processed/landmarks/freihand_00004685.npy,unknown,medio,freihand,6,imputed,train
freihand_00032406,data/processed/landmarks/freihand_00032406.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00016671,data/processed/landmarks/freihand_00016671.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00028044,data/processed/landmarks/freihand_00028044.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00006237,data/processed/landmarks/freihand_00006237.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00024899,data/processed/landmarks/freihand_00024899.npy,unknown,medio,freihand,6,imputed,train
freihand_00027397,data/processed/landmarks/freihand_00027397.npy,unknown,claro,freihand,1,imputed,train
freihand_00012863,data/processed/landmarks/freihand_00012863.npy,unknown,medio,freihand,7,imputed,train
freihand_00005431,data/processed/landmarks/freihand_00005431.npy,unknown,claro,freihand,1,imputed,train
freihand_00009159,data/processed/landmarks/freihand_00009159.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00031132,data/processed/landmarks/freihand_00031132.npy,unknown,claro,freihand,1,imputed,train
freihand_00013131,data/processed/landmarks/freihand_00013131.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00031329,data/processed/landmarks/freihand_00031329.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00023258,data/processed/landmarks/freihand_00023258.npy,unknown,medio,freihand,5,imputed,train
freihand_00000862,data/processed/landmarks/freihand_00000862.npy,unknown,claro,freihand,1,imputed,train
freihand_00031238,data/processed/landmarks/freihand_00031238.npy,unknown,medio,freihand,6,imputed,train
freihand_00004668,data/processed/landmarks/freihand_00004668.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00019942,data/processed/landmarks/freihand_00019942.npy,unknown,claro,freihand,1,imputed,train
freihand_00031579,data/processed/landmarks/freihand_00031579.npy,unknown,claro,freihand,1,imputed,train
freihand_00031919,data/processed/landmarks/freihand_00031919.npy,unknown,medio,freihand,7,imputed,train
freihand_00025377,data/processed/landmarks/freihand_00025377.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00010007,data/processed/landmarks/freihand_00010007.npy,unknown,medio,freihand,5,imputed,train
freihand_00014719,data/processed/landmarks/freihand_00014719.npy,unknown,claro,freihand,2,imputed,train
freihand_00024693,data/processed/landmarks/freihand_00024693.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00007477,data/processed/landmarks/freihand_00007477.npy,unknown,claro,freihand,1,imputed,train
freihand_00006363,data/processed/landmarks/freihand_00006363.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00030057,data/processed/landmarks/freihand_00030057.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00027924,data/processed/landmarks/freihand_00027924.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00019222,data/processed/landmarks/freihand_00019222.npy,unknown,claro,freihand,1,imputed,train
freihand_00030598,data/processed/landmarks/freihand_00030598.npy,unknown,claro,freihand,1,imputed,train
freihand_00003932,data/processed/landmarks/freihand_00003932.npy,unknown,medio,freihand,7,imputed,train
freihand_00019818,data/processed/landmarks/freihand_00019818.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00028282,data/processed/landmarks/freihand_00028282.npy,unknown,claro,freihand,3,imputed,train
freihand_00021226,data/processed/landmarks/freihand_00021226.npy,unknown,claro,freihand,2,imputed,train
freihand_00029288,data/processed/landmarks/freihand_00029288.npy,unknown,medio,freihand,6,imputed,train
freihand_00014611,data/processed/landmarks/freihand_00014611.npy,unknown,claro,freihand,3,imputed,train
freihand_00002044,data/processed/landmarks/freihand_00002044.npy,unknown,claro,freihand,3,imputed,train
freihand_00002980,data/processed/landmarks/freihand_00002980.npy,unknown,claro,freihand,1,imputed,train
freihand_00000524,data/processed/landmarks/freihand_00000524.npy,unknown,medio,freihand,7,imputed,train
freihand_00004107,data/processed/landmarks/freihand_00004107.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00010225,data/processed/landmarks/freihand_00010225.npy,unknown,claro,freihand,3,imputed,train
freihand_00025719,data/processed/landmarks/freihand_00025719.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00025945,data/processed/landmarks/freihand_00025945.npy,unknown,claro,freihand,2,imputed,train
freihand_00030764,data/processed/landmarks/freihand_00030764.npy,unknown,medio,freihand,7,imputed,train
freihand_00015790,data/processed/landmarks/freihand_00015790.npy,unknown,claro,freihand,1,imputed,train
freihand_00014715,data/processed/landmarks/freihand_00014715.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00021599,data/processed/landmarks/freihand_00021599.npy,unknown,medio,freihand,5,imputed,train
freihand_00003463,data/processed/landmarks/freihand_00003463.npy,unknown,claro,freihand,1,imputed,train
freihand_00008704,data/processed/landmarks/freihand_00008704.npy,unknown,claro,freihand,4,imputed,train
freihand_00026185,data/processed/landmarks/freihand_00026185.npy,unknown,claro,freihand,4,imputed,train
freihand_00008042,data/processed/landmarks/freihand_00008042.npy,unknown,medio,freihand,7,imputed,train
freihand_00002180,data/processed/landmarks/freihand_00002180.npy,unknown,medio,freihand,5,imputed,train
freihand_00025504,data/processed/landmarks/freihand_00025504.npy,unknown,claro,freihand,2,imputed,train
freihand_00010467,data/processed/landmarks/freihand_00010467.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00014285,data/processed/landmarks/freihand_00014285.npy,unknown,medio,freihand,6,imputed,train
freihand_00010547,data/processed/landmarks/freihand_00010547.npy,unknown,medio,freihand,6,imputed,train
freihand_00020141,data/processed/landmarks/freihand_00020141.npy,unknown,medio,freihand,5,imputed,train
freihand_00029509,data/processed/landmarks/freihand_00029509.npy,unknown,claro,freihand,4,imputed,train
freihand_00000632,data/processed/landmarks/freihand_00000632.npy,unknown,medio,freihand,6,imputed,train
freihand_00025192,data/processed/landmarks/freihand_00025192.npy,unknown,claro,freihand,1,imputed,train
freihand_00030354,data/processed/landmarks/freihand_00030354.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00021235,data/processed/landmarks/freihand_00021235.npy,unknown,claro,freihand,1,imputed,train
freihand_00007615,data/processed/landmarks/freihand_00007615.npy,unknown,claro,freihand,1,imputed,train
freihand_00011814,data/processed/landmarks/freihand_00011814.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00013640,data/processed/landmarks/freihand_00013640.npy,unknown,medio,freihand,6,imputed,train
freihand_00013452,data/processed/landmarks/freihand_00013452.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00027681,data/processed/landmarks/freihand_00027681.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00017624,data/processed/landmarks/freihand_00017624.npy,unknown,medio,freihand,5,imputed,train
freihand_00019182,data/processed/landmarks/freihand_00019182.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00010220,data/processed/landmarks/freihand_00010220.npy,unknown,medio,freihand,6,imputed,train
freihand_00014719,data/processed/landmarks/freihand_00014719.npy,unknown,claro,freihand,2,imputed,train
freihand_00009667,data/processed/landmarks/freihand_00009667.npy,unknown,claro,freihand,4,imputed,train
freihand_00016711,data/processed/landmarks/freihand_00016711.npy,unknown,claro,freihand,1,imputed,train
freihand_00018446,data/processed/landmarks/freihand_00018446.npy,unknown,medio,freihand,7,imputed,train
freihand_00029817,data/processed/landmarks/freihand_00029817.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00009352,data/processed/landmarks/freihand_00009352.npy,unknown,claro,freihand,2,imputed,train
freihand_00013744,data/processed/landmarks/freihand_00013744.npy,unknown,claro,freihand,4,imputed,train
freihand_00020438,data/processed/landmarks/freihand_00020438.npy,unknown,medio,freihand,7,imputed,train
freihand_00014121,data/processed/landmarks/freihand_00014121.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00000904,data/processed/landmarks/freihand_00000904.npy,unknown,claro,freihand,3,imputed,train
freihand_00023745,data/processed/landmarks/freihand_00023745.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00016253,data/processed/landmarks/freihand_00016253.npy,unknown,medio,freihand,7,imputed,train
freihand_00013824,data/processed/landmarks/freihand_00013824.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00009457,data/processed/landmarks/freihand_00009457.npy,unknown,claro,freihand,1,imputed,train
freihand_00019865,data/processed/landmarks/freihand_00019865.npy,unknown,medio,freihand,7,imputed,train
freihand_00011112,data/processed/landmarks/freihand_00011112.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00008069,data/processed/landmarks/freihand_00008069.npy,unknown,medio,freihand,5,imputed,train
freihand_00006353,data/processed/landmarks/freihand_00006353.npy,unknown,medio,freihand,5,imputed,train
freihand_00031514,data/processed/landmarks/freihand_00031514.npy,unknown,medio,freihand,7,imputed,train
freihand_00018757,data/processed/landmarks/freihand_00018757.npy,unknown,claro,freihand,2,imputed,train
freihand_00031897,data/processed/landmarks/freihand_00031897.npy,unknown,claro,freihand,2,imputed,train
freihand_00017735,data/processed/landmarks/freihand_00017735.npy,unknown,medio,freihand,5,imputed,train
freihand_00010153,data/processed/landmarks/freihand_00010153.npy,unknown,claro,freihand,1,imputed,train
freihand_00011543,data/processed/landmarks/freihand_00011543.npy,unknown,medio,freihand,7,imputed,train
freihand_00019975,data/processed/landmarks/freihand_00019975.npy,unknown,claro,freihand,4,imputed,train
freihand_00028204,data/processed/landmarks/freihand_00028204.npy,unknown,claro,freihand,1,imputed,train
freihand_00017544,data/processed/landmarks/freihand_00017544.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00014861,data/processed/landmarks/freihand_00014861.npy,unknown,medio,freihand,5,imputed,train
freihand_00023869,data/processed/landmarks/freihand_00023869.npy,unknown,claro,freihand,2,imputed,train
freihand_00006504,data/processed/landmarks/freihand_00006504.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00028192,data/processed/landmarks/freihand_00028192.npy,unknown,claro,freihand,3,imputed,train
freihand_00022367,data/processed/landmarks/freihand_00022367.npy,unknown,medio,freihand,7,imputed,train
freihand_00015153,data/processed/landmarks/freihand_00015153.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00010647,data/processed/landmarks/freihand_00010647.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00023932,data/processed/landmarks/freihand_00023932.npy,unknown,claro,freihand,3,imputed,train
freihand_00017930,data/processed/landmarks/freihand_00017930.npy,unknown,medio,freihand,6,imputed,train
