sample_id,source,gesture,mst,split
freihand_00002632,freihand,unknown,3,train
047a4713-aa9c-479d-9fdd-8edcd82b9d04,hagrid,rock,1,train
08df4a1d-0e1f-4fd8-8c35-86d173dcddf5,hagrid,stop_inverted,1,train
freihand_00014233,freihand,unknown,3,train
0064f9a1-322a-4530-a1bf-2440bcdd2dc0,hagrid,ok,1,train
02f102d2-72bd-4300-8fc2-0da222e6a09c,hagrid,rock,4,train
freihand_00020950,freihand,unknown,1,train
freihand_00020494,freihand,unknown,3,train
3f2f6ce5-fb83-4abd-bd00-ecfa22acc134,hagrid,three2,2,train
freihand_00007408,freihand,unknown,3,train
88cf984f-c50b-4f64-9dc9-0ebbadf5d4fa,hagrid,peace_inverted,4,train
freihand_00031114,freihand,unknown,3,train
053b2a52-0606-48ca-a6e4-e98b8afe78e0,hagrid,three,3,train
freihand_00003182,freihand,unknown,3,train
02b382be-6523-4322-8e19-50fc196288e5,hagrid,peace,1,train
636f1764-f5c9-4449-9ca9-56d0f8b92e5f,hagrid,two_up_inverted,1,train
0588d4a9-93c5-4d94-a051-00a16b424f8b,hagrid,mute,1,train
freihand_00021766,freihand,unknown,3,train
freihand_00002770,freihand,unknown,1,train
0322d3d9-ae02-49c1-8380-e96332d25c97,hagrid,stop,3,train
freihand_00004743,freihand,unknown,4,train
