sample_id,path_secuencia,path_landmarks,label,condition,dataset,mst,mst_origin,split
freihand_00016186,secuencias_stgcn/freihand/freihand_00016186.npy,data/processed/landmarks/freihand_00016186.npy,unknown,claro,freihand,2,imputed,train
freihand_00005402,secuencias_stgcn/freihand/freihand_00005402.npy,data/processed/landmarks/freihand_00005402.npy,unknown,medio,freihand,6,imputed,train
freihand_00018044,secuencias_stgcn/freihand/freihand_00018044.npy,data/processed/landmarks/freihand_00018044.npy,unknown,medio,freihand,6,imputed,train
freihand_00028014,secuencias_stgcn/freihand/freihand_00028014.npy,data/processed/landmarks/freihand_00028014.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00022476,secuencias_stgcn/freihand/freihand_00022476.npy,data/processed/landmarks/freihand_00022476.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00018597,secuencias_stgcn/freihand/freihand_00018597.npy,data/processed/landmarks/freihand_00018597.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00000325,secuencias_stgcn/freihand/freihand_00000325.npy,data/processed/landmarks/freihand_00000325.npy,unknown,claro,freihand,3,imputed,train
freihand_00027358,secuencias_stgcn/freihand/freihand_00027358.npy,data/processed/landmarks/freihand_00027358.npy,unknown,claro,freihand,1,imputed,train
freihand_00006159,secuencias_stgcn/freihand/freihand_00006159.npy,data/processed/landmarks/freihand_00006159.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00006880,secuencias_stgcn/freihand/freihand_00006880.npy,data/processed/landmarks/freihand_00006880.npy,unknown,claro,freihand,1,imputed,train
freihand_00017918,secuencias_stgcn/freihand/freihand_00017918.npy,data/processed/landmarks/freihand_00017918.npy,unknown,medio,freihand,7,imputed,train
freihand_00011536,secuencias_stgcn/freihand/freihand_00011536.npy,data/processed/landmarks/freihand_00011536.npy,unknown,claro,freihand,1,imputed,train
freihand_00001800,secuencias_stgcn/freihand/freihand_00001800.npy,data/processed/landmarks/freihand_00001800.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00025854,secuencias_stgcn/freihand/freihand_00025854.npy,data/processed/landmarks/freihand_00025854.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00012154,secuencias_stgcn/freihand/freihand_00012154.npy,data/processed/landmarks/freihand_00012154.npy,unknown,claro,freihand,2,imputed,train
freihand_00008454,secuencias_stgcn/freihand/freihand_00008454.npy,data/processed/landmarks/freihand_00008454.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00030534,secuencias_stgcn/freihand/freihand_00030534.npy,data/processed/landmarks/freihand_00030534.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00003850,secuencias_stgcn/freihand/freihand_00003850.npy,data/processed/landmarks/freihand_00003850.npy,unknown,claro,freihand,1,imputed,train
freihand_00027437,secuencias_stgcn/freihand/freihand_00027437.npy,data/processed/landmarks/freihand_00027437.npy,unknown,medio,freihand,7,imputed,train
freihand_00017549,secuencias_stgcn/freihand/freihand_00017549.npy,data/processed/landmarks/freihand_00017549.npy,unknown,medio,freihand,7,imputed,train
freihand_00027199,secuencias_stgcn/freihand/freihand_00027199.npy,data/processed/landmarks/freihand_00027199.npy,unknown,claro,freihand,3,imputed,train
freihand_00003986,secuencias_stgcn/freihand/freihand_00003986.npy,data/processed/landmarks/freihand_00003986.npy,unknown,medio,freihand,5,imputed,train
freihand_00027350,secuencias_stgcn/freihand/freihand_00027350.npy,data/processed/landmarks/freihand_00027350.npy,unknown,medio,freihand,6,imputed,train
freihand_00008682,secuencias_stgcn/freihand/freihand_00008682.npy,data/processed/landmarks/freihand_00008682.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00016390,secuencias_stgcn/freihand/freihand_00016390.npy,data/processed/landmarks/freihand_00016390.npy,unknown,claro,freihand,2,imputed,train
freihand_00015957,secuencias_stgcn/freihand/freihand_00015957.npy,data/processed/landmarks/freihand_00015957.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00016491,secuencias_stgcn/freihand/freihand_00016491.npy,data/processed/landmarks/freihand_00016491.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00026721,secuencias_stgcn/freihand/freihand_00026721.npy,data/processed/landmarks/freihand_00026721.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00002176,secuencias_stgcn/freihand/freihand_00002176.npy,data/processed/landmarks/freihand_00002176.npy,unknown,claro,freihand,4,imputed,train
freihand_00004517,secuencias_stgcn/freihand/freihand_00004517.npy,data/processed/landmarks/freihand_00004517.npy,unknown,medio,freihand,5,imputed,train
freihand_00031618,secuencias_stgcn/freihand/freihand_00031618.npy,data/processed/landmarks/freihand_00031618.npy,unknown,claro,freihand,3,imputed,train
freihand_00024669,secuencias_stgcn/freihand/freihand_00024669.npy,data/processed/landmarks/freihand_00024669.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00009969,secuencias_stgcn/freihand/freihand_00009969.npy,data/processed/landmarks/freihand_00009969.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00014898,secuencias_stgcn/freihand/freihand_00014898.npy,data/processed/landmarks/freihand_00014898.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00001814,secuencias_stgcn/freihand/freihand_00001814.npy,data/processed/landmarks/freihand_00001814.npy,unknown,medio,freihand,7,imputed,train
freihand_00028743,secuencias_stgcn/freihand/freihand_00028743.npy,data/processed/landmarks/freihand_00028743.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00012742,secuencias_stgcn/freihand/freihand_00012742.npy,data/processed/landmarks/freihand_00012742.npy,unknown,claro,freihand,2,imputed,train
freihand_00007494,secuencias_stgcn/freihand/freihand_00007494.npy,data/processed/landmarks/freihand_00007494.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00016147,secuencias_stgcn/freihand/freihand_00016147.npy,data/processed/landmarks/freihand_00016147.npy,unknown,claro,freihand,4,imputed,train
freihand_00020440,secuencias_stgcn/freihand/freihand_00020440.npy,data/processed/landmarks/freihand_00020440.npy,unknown,claro,freihand,4,imputed,train
freihand_00006995,secuencias_stgcn/freihand/freihand_00006995.npy,data/processed/landmarks/freihand_00006995.npy,unknown,medio,freihand,7,imputed,train
freihand_00007582,secuencias_stgcn/freihand/freihand_00007582.npy,data/processed/landmarks/freihand_00007582.npy,unknown,claro,freihand,4,imputed,train
freihand_00009474,secuencias_stgcn/freihand/freihand_00009474.npy,data/processed/landmarks/freihand_00009474.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00001277,secuencias_stgcn/freihand/freihand_00001277.npy,data/processed/landmarks/freihand_00001277.npy,unknown,medio,freihand,5,imputed,train
freihand_00018522,secuencias_stgcn/freihand/freihand_00018522.npy,data/processed/landmarks/freihand_00018522.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00023152,secuencias_stgcn/freihand/freihand_00023152.npy,data/processed/landmarks/freihand_00023152.npy,unknown,claro,freihand,2,imputed,train
freihand_00008601,secuencias_stgcn/freihand/freihand_00008601.npy,data/processed/landmarks/freihand_00008601.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00007659,secuencias_stgcn/freihand/freihand_00007659.npy,data/processed/landmarks/freihand_00007659.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00010023,secuencias_stgcn/freihand/freihand_00010023.npy,data/processed/landmarks/freihand_00010023.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00009869,secuencias_stgcn/freihand/freihand_00009869.npy,data/processed/landmarks/freihand_00009869.npy,unknown,medio,freihand,6,imputed,train
freihand_00004795,secuencias_stgcn/freihand/freihand_00004795.npy,data/processed/landmarks/freihand_00004795.npy,unknown,claro,freihand,2,imputed,train
freihand_00028858,secuencias_stgcn/freihand/freihand_00028858.npy,data/processed/landmarks/freihand_00028858.npy,unknown,claro,freihand,3,imputed,train
freihand_00006918,secuencias_stgcn/freihand/freihand_00006918.npy,data/processed/landmarks/freihand_00006918.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00027983,secuencias_stgcn/freihand/freihand_00027983.npy,data/processed/landmarks/freihand_00027983.npy,unknown,medio,freihand,5,imputed,train
freihand_00022594,secuencias_stgcn/freihand/freihand_00022594.npy,data/processed/landmarks/freihand_00022594.npy,unknown,claro,freihand,3,imputed,train
freihand_00030589,secuencias_stgcn/freihand/freihand_00030589.npy,data/processed/landmarks/freihand_00030589.npy,unknown,claro,freihand,3,imputed,train
freihand_00004070,secuencias_stgcn/freihand/freihand_00004070.npy,data/processed/landmarks/freihand_00004070.npy,unknown,medio,freihand,5,imputed,train
freihand_00019018,secuencias_stgcn/freihand/freihand_00019018.npy,data/processed/landmarks/freihand_00019018.npy,unknown,claro,freihand,3,imputed,train
freihand_00017260,secuencias_stgcn/freihand/freihand_00017260.npy,data/processed/landmarks/freihand_00017260.npy,unknown,claro,freihand,4,imputed,train
freihand_00012961,secuencias_stgcn/freihand/freihand_00012961.npy,data/processed/landmarks/freihand_00012961.npy,unknown,claro,freihand,3,imputed,train
freihand_00017921,secuencias_stgcn/freihand/freihand_00017921.npy,data/processed/landmarks/freihand_00017921.npy,unknown,medio,freihand,5,imputed,train
freihand_00030608,secuencias_stgcn/freihand/freihand_00030608.npy,data/processed/landmarks/freihand_00030608.npy,unknown,medio,freihand,7,imputed,train
freihand_00006044,secuencias_stgcn/freihand/freihand_00006044.npy,data/processed/landmarks/freihand_00006044.npy,unknown,medio,freihand,6,imputed,train
freihand_00020272,secuencias_stgcn/freihand/freihand_00020272.npy,data/processed/landmarks/freihand_00020272.npy,unknown,claro,freihand,1,imputed,train
freihand_00008259,secuencias_stgcn/freihand/freihand_00008259.npy,data/processed/landmarks/freihand_00008259.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00014103,secuencias_stgcn/freihand/freihand_00014103.npy,data/processed/landmarks/freihand_00014103.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00008693,secuencias_stgcn/freihand/freihand_00008693.npy,data/processed/landmarks/freihand_00008693.npy,unknown,medio,freihand,6,imputed,train
freihand_00008627,secuencias_stgcn/freihand/freihand_00008627.npy,data/processed/landmarks/freihand_00008627.npy,unknown,medio,freihand,6,imputed,train
freihand_00002081,secuencias_stgcn/freihand/freihand_00002081.npy,data/processed/landmarks/freihand_00002081.npy,unknown,medio,freihand,6,imputed,train
freihand_00007170,secuencias_stgcn/freihand/freihand_00007170.npy,data/processed/landmarks/freihand_00007170.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00014596,secuencias_stgcn/freihand/freihand_00014596.npy,data/processed/landmarks/freihand_00014596.npy,unknown,claro,freihand,2,imputed,train
freihand_00016584,secuencias_stgcn/freihand/freihand_00016584.npy,data/processed/landmarks/freihand_00016584.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00016195,secuencias_stgcn/freihand/freihand_00016195.npy,data/processed/landmarks/freihand_00016195.npy,unknown,claro,freihand,2,imputed,train
freihand_00032115,secuencias_stgcn/freihand/freihand_00032115.npy,data/processed/landmarks/freihand_00032115.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00001855,secuencias_stgcn/freihand/freihand_00001855.npy,data/processed/landmarks/freihand_00001855.npy,unknown,claro,freihand,2,imputed,train
freihand_00018776,secuencias_stgcn/freihand/freihand_00018776.npy,data/processed/landmarks/freihand_00018776.npy,unknown,medio,freihand,5,imputed,train
freihand_00020155,secuencias_stgcn/freihand/freihand_00020155.npy,data/processed/landmarks/freihand_00020155.npy,unknown,claro,freihand,2,imputed,train
freihand_00024183,secuencias_stgcn/freihand/freihand_00024183.npy,data/processed/landmarks/freihand_00024183.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00007032,secuencias_stgcn/freihand/freihand_00007032.npy,data/processed/landmarks/freihand_00007032.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00003333,secuencias_stgcn/freihand/freihand_00003333.npy,data/processed/landmarks/freihand_00003333.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00013321,secuencias_stgcn/freihand/freihand_00013321.npy,data/processed/landmarks/freihand_00013321.npy,unknown,claro,freihand,1,imputed,train
freihand_00004396,secuencias_stgcn/freihand/freihand_00004396.npy,data/processed/landmarks/freihand_00004396.npy,unknown,claro,freihand,1,imputed,train
freihand_00000065,secuencias_stgcn/freihand/freihand_00000065.npy,data/processed/landmarks/freihand_00000065.npy,unknown,medio,freihand,6,imputed,train
freihand_00010908,secuencias_stgcn/freihand/freihand_00010908.npy,data/processed/landmarks/freihand_00010908.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00026995,secuencias_stgcn/freihand/freihand_00026995.npy,data/processed/landmarks/freihand_00026995.npy,unknown,claro,freihand,2,imputed,train
freihand_00022829,secuencias_stgcn/freihand/freihand_00022829.npy,data/processed/landmarks/freihand_00022829.npy,unknown,medio,freihand,6,imputed,train
freihand_00014489,secuencias_stgcn/freihand/freihand_00014489.npy,data/processed/landmarks/freihand_00014489.npy,unknown,medio,freihand,5,imputed,train
freihand_00027100,secuencias_stgcn/freihand/freihand_00027100.npy,data/processed/landmarks/freihand_00027100.npy,unknown,claro,freihand,4,imputed,train
freihand_00032506,secuencias_stgcn/freihand/freihand_00032506.npy,data/processed/landmarks/freihand_00032506.npy,unknown,claro,freihand,1,imputed,train
freihand_00011609,secuencias_stgcn/freihand/freihand_00011609.npy,data/processed/landmarks/freihand_00011609.npy,unknown,medio,freihand,7,imputed,train
freihand_00028044,secuencias_stgcn/freihand/freihand_00028044.npy,data/processed/landmarks/freihand_00028044.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00028882,secuencias_stgcn/freihand/freihand_00028882.npy,data/processed/landmarks/freihand_00028882.npy,unknown,claro,freihand,3,imputed,train
freihand_00018727,secuencias_stgcn/freihand/freihand_00018727.npy,data/processed/landmarks/freihand_00018727.npy,unknown,claro,freihand,2,imputed,train
freihand_00026545,secuencias_stgcn/freihand/freihand_00026545.npy,data/processed/landmarks/freihand_00026545.npy,unknown,claro,freihand,1,imputed,train
freihand_00023181,secuencias_stgcn/freihand/freihand_00023181.npy,data/processed/landmarks/freihand_00023181.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00002402,secuencias_stgcn/freihand/freihand_00002402.npy,data/processed/landmarks/freihand_00002402.npy,unknown,medio,freihand,6,imputed,train
freihand_00024633,secuencias_stgcn/freihand/freihand_00024633.npy,data/processed/landmarks/freihand_00024633.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00028343,secuencias_stgcn/freihand/freihand_00028343.npy,data/processed/landmarks/freihand_00028343.npy,unknown,medio,freihand,5,imputed,train
freihand_00011870,secuencias_stgcn/freihand/freihand_00011870.npy,data/processed/landmarks/freihand_00011870.npy,unknown,medio,freihand,7,imputed,train
freihand_00020831,secuencias_stgcn/freihand/freihand_00020831.npy,data/processed/landmarks/freihand_00020831.npy,unknown,medio,freihand,7,imputed,train
freihand_00013804,secuencias_stgcn/freihand/freihand_00013804.npy,data/processed/landmarks/freihand_00013804.npy,unknown,claro,freihand,2,imputed,train
freihand_00020501,secuencias_stgcn/freihand/freihand_00020501.npy,data/processed/landmarks/freihand_00020501.npy,unknown,medio,freihand,5,imputed,train
freihand_00032055,secuencias_stgcn/freihand/freihand_00032055.npy,data/processed/landmarks/freihand_00032055.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00024000,secuencias_stgcn/freihand/freihand_00024000.npy,data/processed/landmarks/freihand_00024000.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00031115,secuencias_stgcn/freihand/freihand_00031115.npy,data/processed/landmarks/freihand_00031115.npy,unknown,medio,freihand,5,imputed,train
freihand_00032511,secuencias_stgcn/freihand/freihand_00032511.npy,data/processed/landmarks/freihand_00032511.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00026656,secuencias_stgcn/freihand/freihand_00026656.npy,data/processed/landmarks/freihand_00026656.npy,unknown,claro,freihand,1,imputed,train
freihand_00018340,secuencias_stgcn/freihand/freihand_00018340.npy,data/processed/landmarks/freihand_00018340.npy,unknown,claro,freihand,1,imputed,train
freihand_00015032,secuencias_stgcn/freihand/freihand_00015032.npy,data/processed/landmarks/freihand_00015032.npy,unknown,medio,freihand,7,imputed,train
freihand_00000925,secuencias_stgcn/freihand/freihand_00000925.npy,data/processed/landmarks/freihand_00000925.npy,unknown,claro,freihand,3,imputed,train
freihand_00029874,secuencias_stgcn/freihand/freihand_00029874.npy,data/processed/landmarks/freihand_00029874.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00016123,secuencias_stgcn/freihand/freihand_00016123.npy,data/processed/landmarks/freihand_00016123.npy,unknown,claro,freihand,3,imputed,train
freihand_00008128,secuencias_stgcn/freihand/freihand_00008128.npy,data/processed/landmarks/freihand_00008128.npy,unknown,claro,freihand,3,imputed,train
freihand_00011318,secuencias_stgcn/freihand/freihand_00011318.npy,data/processed/landmarks/freihand_00011318.npy,unknown,medio,freihand,5,imputed,train
freihand_00005247,secuencias_stgcn/freihand/freihand_00005247.npy,data/processed/landmarks/freihand_00005247.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00028256,secuencias_stgcn/freihand/freihand_00028256.npy,data/processed/landmarks/freihand_00028256.npy,unknown,medio,freihand,5,imputed,train
freihand_00019867,secuencias_stgcn/freihand/freihand_00019867.npy,data/processed/landmarks/freihand_00019867.npy,unknown,claro,freihand,4,imputed,train
freihand_00012616,secuencias_stgcn/freihand/freihand_00012616.npy,data/processed/landmarks/freihand_00012616.npy,unknown,claro,freihand,3,imputed,train
freihand_00000380,secuencias_stgcn/freihand/freihand_00000380.npy,data/processed/landmarks/freihand_00000380.npy,unknown,medio,freihand,5,imputed,train
freihand_00028536,secuencias_stgcn/freihand/freihand_00028536.npy,data/processed/landmarks/freihand_00028536.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00027079,secuencias_stgcn/freihand/freihand_00027079.npy,data/processed/landmarks/freihand_00027079.npy,unknown,claro,freihand,1,imputed,train
freihand_00027193,secuencias_stgcn/freihand/freihand_00027193.npy,data/processed/landmarks/freihand_00027193.npy,unknown,claro,freihand,1,imputed,train
freihand_00028268,secuencias_stgcn/freihand/freihand_00028268.npy,data/processed/landmarks/freihand_00028268.npy,unknown,medio,freihand,6,imputed,train
freihand_00007371,secuencias_stgcn/freihand/freihand_00007371.npy,data/processed/landmarks/freihand_00007371.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00004527,secuencias_stgcn/freihand/freihand_00004527.npy,data/processed/landmarks/freihand_00004527.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00025680,secuencias_stgcn/freihand/freihand_00025680.npy,data/processed/landmarks/freihand_00025680.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00009075,secuencias_stgcn/freihand/freihand_00009075.npy,data/processed/landmarks/freihand_00009075.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00010974,secuencias_stgcn/freihand/freihand_00010974.npy,data/processed/landmarks/freihand_00010974.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00027652,secuencias_stgcn/freihand/freihand_00027652.npy,data/processed/landmarks/freihand_00027652.npy,unknown,claro,freihand,4,imputed,train
freihand_00023795,secuencias_stgcn/freihand/freihand_00023795.npy,data/processed/landmarks/freihand_00023795.npy,unknown,medio,freihand,7,imputed,train
freihand_00003693,secuencias_stgcn/freihand/freihand_00003693.npy,data/processed/landmarks/freihand_00003693.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00024966,secuencias_stgcn/freihand/freihand_00024966.npy,data/processed/landmarks/freihand_00024966.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00028568,secuencias_stgcn/freihand/freihand_00028568.npy,data/processed/landmarks/freihand_00028568.npy,unknown,medio,freihand,6,imputed,train
freihand_00024885,secuencias_stgcn/freihand/freihand_00024885.npy,data/processed/landmarks/freihand_00024885.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00006086,secuencias_stgcn/freihand/freihand_00006086.npy,data/processed/landmarks/freihand_00006086.npy,unknown,medio,freihand,6,imputed,train
freihand_00013372,secuencias_stgcn/freihand/freihand_00013372.npy,data/processed/landmarks/freihand_00013372.npy,unknown,claro,freihand,2,imputed,train
freihand_00027203,secuencias_stgcn/freihand/freihand_00027203.npy,data/processed/landmarks/freihand_00027203.npy,unknown,medio,freihand,5,imputed,train
freihand_00015599,secuencias_stgcn/freihand/freihand_00015599.npy,data/processed/landmarks/freihand_00015599.npy,unknown,medio,freihand,7,imputed,train
freihand_00019532,secuencias_stgcn/freihand/freihand_00019532.npy,data/processed/landmarks/freihand_00019532.npy,unknown,medio,freihand,5,imputed,train
freihand_00030451,secuencias_stgcn/freihand/freihand_00030451.npy,data/processed/landmarks/freihand_00030451.npy,unknown,claro,freihand,2,imputed,train
freihand_00001802,secuencias_stgcn/freihand/freihand_00001802.npy,data/processed/landmarks/freihand_00001802.npy,unknown,medio,freihand,7,imputed,train
freihand_00013364,secuencias_stgcn/freihand/freihand_00013364.npy,data/processed/landmarks/freihand_00013364.npy,unknown,medio,freihand,6,imputed,train
freihand_00004619,secuencias_stgcn/freihand/freihand_00004619.npy,data/processed/landmarks/freihand_00004619.npy,unknown,medio,freihand,7,imputed,train
freihand_00010636,secuencias_stgcn/freihand/freihand_00010636.npy,data/processed/landmarks/freihand_00010636.npy,unknown,claro,freihand,2,imputed,train
freihand_00000532,secuencias_stgcn/freihand/freihand_00000532.npy,data/processed/landmarks/freihand_00000532.npy,unknown,claro,freihand,3,imputed,train
freihand_00009937,secuencias_stgcn/freihand/freihand_00009937.npy,data/processed/landmarks/freihand_00009937.npy,unknown,claro,freihand,1,imputed,train
freihand_00003271,secuencias_stgcn/freihand/freihand_00003271.npy,data/processed/landmarks/freihand_00003271.npy,unknown,claro,freihand,2,imputed,train
freihand_00016686,secuencias_stgcn/freihand/freihand_00016686.npy,data/processed/landmarks/freihand_00016686.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00032287,secuencias_stgcn/freihand/freihand_00032287.npy,data/processed/landmarks/freihand_00032287.npy,unknown,claro,freihand,4,imputed,train
freihand_00030806,secuencias_stgcn/freihand/freihand_00030806.npy,data/processed/landmarks/freihand_00030806.npy,unknown,medio,freihand,7,imputed,train
freihand_00020050,secuencias_stgcn/freihand/freihand_00020050.npy,data/processed/landmarks/freihand_00020050.npy,unknown,claro,freihand,2,imputed,train
freihand_00002803,secuencias_stgcn/freihand/freihand_00002803.npy,data/processed/landmarks/freihand_00002803.npy,unknown,claro,freihand,4,imputed,train
freihand_00008630,secuencias_stgcn/freihand/freihand_00008630.npy,data/processed/landmarks/freihand_00008630.npy,unknown,medio,freihand,6,imputed,train
freihand_00007819,secuencias_stgcn/freihand/freihand_00007819.npy,data/processed/landmarks/freihand_00007819.npy,unknown,claro,freihand,1,imputed,train
freihand_00005773,secuencias_stgcn/freihand/freihand_00005773.npy,data/processed/landmarks/freihand_00005773.npy,unknown,claro,freihand,3,imputed,train
freihand_00007131,secuencias_stgcn/freihand/freihand_00007131.npy,data/processed/landmarks/freihand_00007131.npy,unknown,oscuro,freihand,9,imputed,train
freihand_00031757,secuencias_stgcn/freihand/freihand_00031757.npy,data/processed/landmarks/freihand_00031757.npy,unknown,medio,freihand,6,imputed,train
freihand_00029544,secuencias_stgcn/freihand/freihand_00029544.npy,data/processed/landmarks/freihand_00029544.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00024291,secuencias_stgcn/freihand/freihand_00024291.npy,data/processed/landmarks/freihand_00024291.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00012204,secuencias_stgcn/freihand/freihand_00012204.npy,data/processed/landmarks/freihand_00012204.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00022168,secuencias_stgcn/freihand/freihand_00022168.npy,data/processed/landmarks/freihand_00022168.npy,unknown,claro,freihand,3,imputed,train
freihand_00008522,secuencias_stgcn/freihand/freihand_00008522.npy,data/processed/landmarks/freihand_00008522.npy,unknown,medio,freihand,7,imputed,train
freihand_00020200,secuencias_stgcn/freihand/freihand_00020200.npy,data/processed/landmarks/freihand_00020200.npy,unknown,claro,freihand,3,imputed,train
freihand_00004685,secuencias_stgcn/freihand/freihand_00004685.npy,data/processed/landmarks/freihand_00004685.npy,unknown,medio,freihand,6,imputed,train
freihand_00032406,secuencias_stgcn/freihand/freihand_00032406.npy,data/processed/landmarks/freihand_00032406.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00016671,secuencias_stgcn/freihand/freihand_00016671.npy,data/processed/landmarks/freihand_00016671.npy,unknown,oscuro,freihand,8,imputed,train
freihand_00028044,secuencias_stgcn/freihand/freihand_00028044.npy,data/processed/landmarks/freihand_00028044.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00006237,secuencias_stgcn/freihand/freihand_00006237.npy,data/processed/landmarks/freihand_00006237.npy,unknown,oscuro,freihand,10,imputed,train
freihand_00024899,secuencias_stgcn/freihand/freihand_00024899.npy,data/processed/landmarks/freihand_00024899.npy,unknown,medio,freihand,6,imputed,train
freihand_00027397,secuencias_stgcn/freihand/freihand_00027397.npy,data/processed/landmarks/freihand_00027397.npy,unknown,claro,freihand,1,imputed,train
freihand_00012863,secuencias_stgcn/freihand/freihand_00012863.npy,data/processed/landmarks/freihand_00012863.npy,unknown,medio,freihand,7,imputed,train
freihand_00005431,secuencias_stgcn/freihand/freihand_00005431.npy,data/processed/landmarks/freihand_00005431.npy,unknown,claro,freihand,1,imputed,train
